ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508363479,RX,REL,1,1571772022,,,recv,,77
1762508363479,RX,REL,1,,,,deliver,,0
1762508363482,RX,REL,0,1571771990,,,recv,,77
1762508363482,RX,REL,0,,,,dup,,0
1762508363506,RX,REL,2,1571772056,,,recv,,78
1762508363506,RX,REL,2,,,,deliver,,0
1762508363549,RX,REL,3,1571772089,,,recv,,77
1762508363549,RX,REL,3,,,,deliver,,0
1762508363603,RX,REL,5,1571772156,,,recv,,77
1762508363603,RX,REL,5,,,,buffer,,0
1762508363643,RX,UNREL,,1571772189,,,recv,,76
1762508363643,RX,REL,6,1571772222,,,recv,,78
1762508363643,RX,REL,6,,,,buffer,,0
1762508363651,RX,REL,4,1571772122,,,recv,,76
1762508363651,RX,REL,4,,,,deliver,,0
1762508363651,RX,REL,5,,,,deliver,,0
1762508363651,RX,REL,6,,,,deliver,,0
1762508363696,RX,REL,7,1571772256,,,recv,,76
1762508363697,RX,REL,7,,,,deliver,,0
1762508363767,RX,REL,9,1571772322,,,recv,,77
1762508363767,RX,REL,9,,,,buffer,,0
1762508363796,RX,REL,10,1571772356,,,recv,,78
1762508363796,RX,REL,10,,,,buffer,,0
1762508363813,RX,REL,8,1571772289,,,recv,,77
1762508363813,RX,REL,8,,,,deliver,,0
1762508363814,RX,REL,9,,,,deliver,,0
1762508363814,RX,REL,10,,,,deliver,,0
1762508363832,RX,UNREL,,1571772389,,,recv,,76
1762508363942,RX,REL,11,1571772422,,,recv,,77
1762508363942,RX,REL,11,,,,deliver,,0
1762508363946,RX,REL,13,1571772489,,,recv,,77
1762508363946,RX,REL,13,,,,buffer,,0
1762508363973,RX,REL,14,1571772523,,,recv,,77
1762508363973,RX,REL,14,,,,buffer,,0
1762508363982,RX,REL,12,1571772456,,,recv,,78
1762508363982,RX,REL,12,,,,deliver,,0
1762508363982,RX,REL,13,,,,deliver,,0
1762508363982,RX,REL,14,,,,deliver,,0
1762508364033,RX,REL,15,1571772556,,,recv,,78
1762508364033,RX,REL,15,,,,deliver,,0
1762508364102,RX,REL,16,1571772589,,,recv,,76
1762508364102,RX,REL,16,,,,deliver,,0
1762508364114,RX,REL,18,1571772656,,,recv,,74
1762508364114,RX,REL,18,,,,buffer,,0
1762508364193,RX,REL,19,1571772689,,,recv,,78
1762508364193,RX,REL,19,,,,buffer,,0
1762508364242,RX,UNREL,,1571772722,,,recv,,78
1762508364247,RX,REL,21,1571772789,,,recv,,77
1762508364247,RX,REL,21,,,,buffer,,0
1762508364270,RX,REL,20,1571772756,,,recv,,77
1762508364270,RX,REL,20,,,,buffer,,0
1762508364287,RX,REL,23,1571772856,,,recv,,77
1762508364287,RX,REL,23,,,,buffer,,0
1762508364317,RX,REL,22,1571772823,,,recv,,77
1762508364317,RX,REL,17,,,,skip,,0
1762508364317,RX,REL,18,,,,deliver,,0
1762508364318,RX,REL,19,,,,deliver,,0
1762508364318,RX,REL,20,,,,deliver,,0
1762508364318,RX,REL,21,,,,deliver,,0
1762508364318,RX,REL,22,,,,deliver,,0
1762508364318,RX,REL,23,,,,deliver,,0
1762508364339,RX,REL,24,1571772889,,,recv,,78
1762508364340,RX,REL,24,,,,deliver,,0
1762508364415,RX,REL,25,1571772956,,,recv,,77
1762508364415,RX,REL,25,,,,deliver,,0
1762508364504,RX,REL,27,1571773056,,,recv,,77
1762508364504,RX,REL,27,,,,buffer,,0
1762508364520,RX,REL,26,1571772989,,,recv,,77
1762508364520,RX,REL,26,,,,deliver,,0
1762508364520,RX,REL,27,,,,deliver,,0
1762508364532,RX,REL,28,1571773089,,,recv,,79
1762508364532,RX,REL,28,,,,deliver,,0
1762508364537,RX,UNREL,,1571773023,,,recv,,77
1762508364605,RX,REL,29,1571773122,,,recv,,78
1762508364605,RX,REL,29,,,,deliver,,0
1762508364661,RX,UNREL,,1571773189,,,recv,,78
1762508364667,RX,REL,30,1571773223,,,recv,,78
1762508364668,RX,REL,30,,,,deliver,,0
1762508364683,RX,UNREL,,1571773156,,,recv,,77
1762508364716,RX,REL,32,1571773289,,,recv,,77
1762508364716,RX,REL,32,,,,buffer,,0
1762508364766,RX,REL,31,1571773256,,,recv,,77
1762508364766,RX,REL,31,,,,deliver,,0
1762508364766,RX,REL,32,,,,deliver,,0
1762508364796,RX,REL,33,1571773322,,,recv,,77
1762508364796,RX,REL,33,,,,deliver,,0
1762508364852,RX,UNREL,,1571773356,,,recv,,77
1762508364867,RX,REL,34,1571773389,,,recv,,77
1762508364868,RX,REL,34,,,,deliver,,0
1762508364900,RX,REL,35,1571773423,,,recv,,78
1762508364901,RX,REL,35,,,,deliver,,0
