ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508363351,TX,REL,0,1762508363351,,0,send,200,77
1762508363383,TX,REL,1,1762508363383,,0,send,200,77
1762508363416,TX,REL,2,1762508363416,,0,send,200,78
1762508363450,TX,REL,3,1762508363450,,0,send,200,77
1762508363482,TX,REL,4,1762508363482,,0,send,200,76
1762508363516,TX,REL,5,1762508363516,,0,send,200,77
1762508363549,TX,UNREL,,1762508363549,,0,send,,76
1762508363553,TX,REL,0,1762508363553,,0,expire,200,77
1762508363578,RX,ACK,1,1571772022,196.0,,ack,,4
1762508363579,RX,ACK,0,1571771990,228.0,,ack,,4
1762508363582,TX,REL,6,1762508363582,,0,send,300,78
1762508363616,TX,REL,7,1762508363616,,0,send,300,76
1762508363622,RX,ACK,3,1571772089,173.0,,ack,,4
1762508363624,TX,REL,2,1762508363624,,0,expire,200,78
1762508363632,RX,ACK,2,1571772056,216.0,,ack,,4
1762508363649,TX,REL,8,1762508363649,,0,send,300,77
1762508363683,TX,REL,9,1762508363683,,0,send,300,77
1762508363686,TX,REL,4,1762508363686,,0,expire,200,76
1762508363716,TX,REL,10,1762508363716,,0,send,300,78
1762508363718,TX,REL,5,1762508363718,,0,expire,200,77
1762508363749,TX,UNREL,,1762508363749,,0,send,,76
1762508363753,RX,ACK,5,1571772156,237.0,,ack,,4
1762508363783,TX,REL,11,1762508363783,,0,send,300,77
1762508363797,RX,ACK,4,1571772122,315.0,,ack,,4
1762508363803,RX,ACK,6,1571772222,221.0,,ack,,4
1762508363816,TX,REL,12,1762508363816,,0,send,300,78
1762508363833,RX,ACK,7,1571772256,216.0,,ack,,4
1762508363849,TX,REL,13,1762508363849,,0,send,300,77
1762508363873,RX,ACK,9,1571772322,190.0,,ack,,4
1762508363883,TX,REL,14,1762508363883,,0,send,300,77
1762508363916,TX,REL,15,1762508363916,,0,send,300,78
1762508363942,RX,ACK,10,1571772356,226.0,,ack,,4
1762508363949,TX,REL,16,1762508363949,,0,send,300,76
1762508363956,TX,REL,8,1762508363956,,0,expire,300,77
1762508363975,RX,ACK,8,1571772289,325.0,,ack,,4
1762508363982,TX,REL,17,1762508363982,,0,send,300,78
1762508364016,TX,REL,18,1762508364016,,0,send,300,74
1762508364049,TX,REL,19,1762508364049,,0,send,300,78
1762508364057,RX,ACK,11,1571772422,275.0,,ack,,4
1762508364083,TX,UNREL,,1762508364083,,0,send,,78
1762508364104,RX,ACK,13,1571772489,255.0,,ack,,4
1762508364115,RX,ACK,12,1571772456,298.0,,ack,,4
1762508364116,TX,REL,20,1762508364116,,0,send,300,77
1762508364149,TX,REL,21,1762508364149,,0,send,300,77
1762508364183,TX,REL,22,1762508364183,,0,send,300,77
1762508364183,TX,REL,14,1762508364183,,0,expire,300,77
1762508364208,RX,ACK,15,1571772556,292.0,,ack,,4
1762508364216,TX,REL,23,1762508364216,,0,send,300,77
1762508364228,RX,ACK,16,1571772589,279.0,,ack,,4
1762508364249,TX,REL,24,1762508364249,,0,send,300,78
