ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508343233,RX,REL,1,1571751724,,,recv,,78
1762508343233,RX,REL,1,,,,deliver,,0
1762508343256,RX,REL,2,1571751757,,,recv,,76
1762508343256,RX,REL,2,,,,deliver,,0
1762508343302,RX,UNREL,,1571751790,,,recv,,77
1762508343354,RX,REL,3,1571751824,,,recv,,78
1762508343354,RX,REL,3,,,,deliver,,0
1762508343360,RX,UNREL,,1571751890,,,recv,,76
1762508343384,RX,REL,4,1571751857,,,recv,,77
1762508343385,RX,REL,4,,,,deliver,,0
1762508343423,RX,REL,6,1571751990,,,recv,,75
1762508343423,RX,REL,6,,,,buffer,,0
1762508343451,RX,UNREL,,1571751924,,,recv,,76
1762508343458,RX,REL,7,1571752023,,,recv,,78
1762508343458,RX,REL,7,,,,buffer,,0
1762508343482,RX,REL,5,1571751957,,,recv,,76
1762508343482,RX,REL,5,,,,deliver,,0
1762508343482,RX,REL,6,,,,deliver,,0
1762508343482,RX,REL,7,,,,deliver,,0
1762508343519,RX,REL,8,1571752057,,,recv,,78
1762508343519,RX,REL,8,,,,deliver,,0
1762508343552,RX,REL,9,1571752090,,,recv,,77
1762508343552,RX,REL,9,,,,deliver,,0
1762508343610,RX,UNREL,,1571752123,,,recv,,80
1762508343611,RX,REL,10,1571752157,,,recv,,77
1762508343611,RX,REL,10,,,,deliver,,0
1762508343654,RX,UNREL,,1571752223,,,recv,,77
1762508343715,RX,REL,11,1571752257,,,recv,,78
1762508343715,RX,REL,11,,,,deliver,,0
1762508343716,RX,UNREL,,1571752190,,,recv,,76
1762508343795,RX,REL,12,1571752290,,,recv,,77
1762508343795,RX,REL,12,,,,deliver,,0
1762508343822,RX,UNREL,,1571752324,,,recv,,78
1762508343843,RX,REL,14,1571752391,,,recv,,78
1762508343843,RX,REL,14,,,,buffer,,0
1762508343888,RX,REL,16,1571752457,,,recv,,77
1762508343889,RX,REL,16,,,,buffer,,0
1762508343894,RX,REL,13,1571752357,,,recv,,78
1762508343894,RX,REL,13,,,,deliver,,0
1762508343894,RX,REL,14,,,,deliver,,0
1762508343924,RX,REL,17,1571752490,,,recv,,77
1762508343924,RX,REL,17,,,,buffer,,0
1762508343954,RX,REL,15,1571752423,,,recv,,78
1762508343954,RX,REL,15,,,,deliver,,0
1762508343954,RX,REL,16,,,,deliver,,0
1762508343954,RX,REL,17,,,,deliver,,0
1762508344054,RX,REL,18,1571752523,,,recv,,78
1762508344054,RX,REL,18,,,,deliver,,0
1762508344086,RX,REL,19,1571752557,,,recv,,77
1762508344087,RX,REL,19,,,,deliver,,0
1762508344098,RX,REL,22,1571752657,,,recv,,79
1762508344098,RX,REL,22,,,,buffer,,0
1762508344117,RX,REL,20,1571752590,,,recv,,77
1762508344118,RX,REL,20,,,,deliver,,0
1762508344139,RX,REL,23,1571752690,,,recv,,78
1762508344139,RX,REL,23,,,,buffer,,0
1762508344157,RX,REL,21,1571752623,,,recv,,78
1762508344157,RX,REL,21,,,,deliver,,0
1762508344157,RX,REL,22,,,,deliver,,0
1762508344157,RX,REL,23,,,,deliver,,0
1762508344212,RX,UNREL,,1571752790,,,recv,,77
1762508344212,RX,UNREL,,1571752723,,,recv,,78
1762508344263,RX,REL,24,1571752757,,,recv,,77
1762508344263,RX,REL,24,,,,deliver,,0
1762508344306,RX,REL,25,1571752824,,,recv,,76
1762508344306,RX,REL,25,,,,deliver,,0
1762508344336,RX,REL,26,1571752857,,,recv,,77
1762508344336,RX,REL,26,,,,deliver,,0
1762508344348,RX,REL,27,1571752890,,,recv,,78
1762508344348,RX,REL,27,,,,deliver,,0
1762508344417,RX,UNREL,,1571752957,,,recv,,77
1762508344422,RX,REL,28,1571752923,,,recv,,78
1762508344423,RX,REL,28,,,,deliver,,0
