ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508343050,TX,REL,0,1762508343050,,0,send,200,76
1762508343084,TX,REL,1,1762508343084,,0,send,200,78
1762508343117,TX,REL,2,1762508343117,,0,send,200,76
1762508343150,TX,UNREL,,1762508343150,,0,send,,77
1762508343184,TX,REL,3,1762508343184,,0,send,200,78
1762508343217,TX,REL,4,1762508343217,,0,send,200,77
1762508343250,TX,UNREL,,1762508343250,,0,send,,76
1762508343255,TX,REL,0,1762508343255,,0,expire,200,76
1762508343284,TX,UNREL,,1762508343284,,0,send,,76
1762508343286,TX,REL,1,1762508343286,,0,expire,200,78
1762508343317,TX,REL,2,1762508343317,,0,expire,200,76
1762508343317,TX,REL,5,1762508343317,,0,send,200,76
1762508343334,RX,ACK,2,1571751757,217.0,,ack,,4
1762508343350,TX,REL,6,1762508343350,,0,send,200,75
1762508343356,RX,ACK,1,1571751724,272.0,,ack,,4
1762508343383,TX,REL,7,1762508343383,,0,send,200,78
1762508343389,TX,REL,3,1762508343389,,0,expire,200,78
1762508343417,TX,REL,8,1762508343417,,0,send,200,78
1762508343421,TX,REL,4,1762508343421,,0,expire,200,77
1762508343450,TX,REL,9,1762508343450,,0,send,200,77
1762508343483,TX,UNREL,,1762508343483,,0,send,,80
1762508343484,RX,ACK,6,1571751990,134.0,,ack,,4
1762508343501,RX,ACK,3,1571751824,317.0,,ack,,4
1762508343517,TX,REL,10,1762508343517,,0,send,200,77
1762508343524,TX,REL,5,1762508343524,,0,expire,200,76
1762508343529,RX,ACK,4,1571751857,312.0,,ack,,4
1762508343550,TX,UNREL,,1762508343550,,0,send,,76
1762508343583,TX,UNREL,,1762508343583,,0,send,,77
1762508343586,TX,REL,7,1762508343586,,0,expire,200,78
1762508343599,RX,ACK,5,1571751957,282.0,,ack,,4
1762508343608,RX,ACK,8,1571752057,191.0,,ack,,4
1762508343617,TX,REL,11,1762508343617,,0,send,200,78
1762508343638,RX,ACK,7,1571752023,255.0,,ack,,4
1762508343650,TX,REL,12,1762508343650,,0,send,200,77
1762508343658,TX,REL,9,1762508343658,,0,expire,200,77
1762508343684,TX,UNREL,,1762508343684,,0,send,,78
1762508343715,RX,ACK,9,1571752090,265.0,,ack,,4
1762508343717,TX,REL,13,1762508343717,,0,send,200,78
1762508343720,TX,REL,10,1762508343720,,0,expire,200,77
1762508343751,TX,REL,14,1762508343751,,0,send,200,78
1762508343758,RX,ACK,10,1571752157,241.0,,ack,,4
1762508343784,TX,REL,15,1762508343784,,0,send,200,78
1762508343798,RX,ACK,11,1571752257,181.0,,ack,,4
1762508343817,TX,REL,16,1762508343817,,0,send,200,77
1762508343850,TX,REL,17,1762508343850,,0,send,200,77
1762508343855,TX,REL,12,1762508343855,,0,expire,200,77
1762508343875,RX,ACK,12,1571752290,225.0,,ack,,4
1762508343883,TX,REL,18,1762508343883,,0,send,200,78
1762508343917,TX,REL,19,1762508343917,,0,send,200,77
1762508343918,TX,REL,13,1762508343918,,0,expire,200,78
1762508343951,TX,REL,20,1762508343951,,0,send,200,77
1762508343959,TX,REL,14,1762508343959,,0,expire,200,78
1762508343974,RX,ACK,14,1571752391,223.0,,ack,,4
1762508343977,RX,ACK,16,1571752457,160.0,,ack,,4
1762508343984,TX,REL,21,1762508343984,,0,send,200,78
1762508343990,TX,REL,15,1762508343990,,0,expire,200,78
1762508343998,RX,ACK,13,1571752357,281.0,,ack,,4
1762508344017,TX,REL,22,1762508344017,,0,send,200,79
1762508344050,TX,REL,23,1762508344050,,0,send,200,78
1762508344052,TX,REL,17,1762508344052,,0,expire,200,77
1762508344076,RX,ACK,17,1571752490,226.0,,ack,,4
1762508344084,TX,UNREL,,1762508344084,,0,send,,78
1762508344084,TX,REL,18,1762508344084,,0,expire,200,78
1762508344092,RX,ACK,15,1571752423,309.0,,ack,,4
1762508344117,TX,REL,24,1762508344117,,0,send,200,77
1762508344122,RX,ACK,18,1571752523,239.0,,ack,,4
1762508344126,TX,REL,19,1762508344126,,0,expire,200,77
1762508344150,TX,UNREL,,1762508344150,,0,send,,77
1762508344157,TX,REL,20,1762508344157,,0,expire,200,77
1762508344178,RX,ACK,19,1571752557,261.0,,ack,,4
1762508344184,TX,REL,25,1762508344184,,0,send,200,76
1762508344188,TX,REL,21,1762508344188,,0,expire,200,78
1762508344217,TX,REL,26,1762508344217,,0,send,200,77
1762508344220,TX,REL,22,1762508344220,,0,expire,200,79
1762508344235,RX,ACK,22,1571752657,218.0,,ack,,4
1762508344250,TX,REL,27,1762508344250,,0,send,200,78
1762508344251,TX,REL,23,1762508344251,,0,expire,200,78
1762508344284,TX,REL,28,1762508344284,,0,send,200,78
1762508344290,RX,ACK,20,1571752590,340.0,,ack,,4
1762508344309,RX,ACK,21,1571752623,326.0,,ack,,4
1762508344317,TX,UNREL,,1762508344317,,0,send,,77
1762508344323,TX,REL,24,1762508344323,,0,expire,200,77
1762508344346,RX,ACK,24,1571752757,229.0,,ack,,4
1762508344350,TX,REL,29,1762508344350,,0,send,200,78
1762508344384,TX,REL,30,1762508344384,,0,send,200,77
1762508344386,TX,REL,25,1762508344386,,0,expire,200,76
1762508344397,RX,ACK,26,1571752857,180.0,,ack,,4
1762508344417,TX,REL,31,1762508344417,,0,send,200,77
1762508344448,RX,ACK,25,1571752824,264.0,,ack,,4
1762508344450,TX,REL,32,1762508344450,,0,send,200,77
1762508344458,TX,REL,27,1762508344458,,0,expire,200,78
1762508344465,RX,ACK,27,1571752890,215.0,,ack,,4
1762508344484,TX,REL,33,1762508344484,,0,send,200,77
1762508344488,TX,REL,28,1762508344488,,0,expire,200,78
1762508344517,TX,UNREL,,1762508344517,,0,send,,78
1762508344550,TX,REL,29,1762508344550,,0,expire,200,78
1762508344550,TX,REL,34,1762508344550,,0,send,200,76
1762508344555,RX,ACK,30,1571753024,171.0,,ack,,4
1762508344583,TX,REL,35,1762508344583,,0,send,200,77
1762508344583,RX,ACK,28,1571752923,300.0,,ack,,4
1762508344617,RX,ACK,29,1571752990,266.0,,ack,,4
1762508344617,TX,REL,36,1762508344617,,0,send,200,78
1762508344622,TX,REL,31,1762508344622,,0,expire,200,77
1762508344651,TX,REL,37,1762508344651,,0,send,200,76
1762508344654,TX,REL,32,1762508344654,,0,expire,200,77
1762508344684,TX,REL,38,1762508344684,,0,send,200,78
1762508344685,RX,ACK,31,1571753057,267.0,,ack,,4
1762508344685,TX,REL,33,1762508344685,,0,expire,200,77
1762508344717,TX,REL,39,1762508344717,,0,send,200,77
1762508344740,RX,ACK,32,1571753090,290.0,,ack,,4
1762508344750,TX,UNREL,,1762508344750,,0,send,,77
1762508344758,TX,REL,34,1762508344758,,0,expire,200,76
1762508344784,TX,REL,40,1762508344784,,0,send,200,78
1762508344789,TX,REL,35,1762508344789,,0,expire,200,77
1762508344793,RX,ACK,36,1571753257,176.0,,ack,,4
1762508344812,RX,ACK,34,1571753190,262.0,,ack,,4
1762508344817,TX,REL,41,1762508344817,,0,send,200,78
1762508344827,RX,ACK,35,1571753223,244.0,,ack,,4
1762508344850,TX,REL,37,1762508344850,,0,expire,200,76
1762508344851,TX,REL,42,1762508344851,,0,send,200,77
