ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508241803,RX,REL,0,1571650443,,,recv,,75
1762508241803,RX,REL,0,,,,deliver,,0
1762508241837,RX,REL,1,1571650477,,,recv,,78
1762508241837,RX,REL,1,,,,deliver,,0
1762508241870,RX,REL,2,1571650510,,,recv,,76
1762508241871,RX,REL,2,,,,deliver,,0
1762508241903,RX,UNREL,,1571650543,,,recv,,77
1762508241937,RX,REL,3,1571650577,,,recv,,78
1762508241937,RX,REL,3,,,,deliver,,0
1762508241970,RX,REL,4,1571650610,,,recv,,77
1762508241970,RX,REL,4,,,,deliver,,0
1762508242003,RX,REL,5,1571650643,,,recv,,77
1762508242004,RX,REL,5,,,,deliver,,0
1762508242037,RX,UNREL,,1571650677,,,recv,,76
1762508242070,RX,REL,6,1571650710,,,recv,,77
1762508242070,RX,REL,6,,,,deliver,,0
1762508242103,RX,REL,7,1571650743,,,recv,,76
1762508242103,RX,REL,7,,,,deliver,,0
1762508242137,RX,REL,8,1571650776,,,recv,,80
1762508242137,RX,REL,8,,,,deliver,,0
1762508242170,RX,UNREL,,1571650810,,,recv,,79
1762508242203,RX,UNREL,,1571650843,,,recv,,79
1762508242237,RX,REL,9,1571650876,,,recv,,77
1762508242244,RX,REL,9,,,,deliver,,0
1762508242270,RX,REL,10,1571650910,,,recv,,77
1762508242270,RX,REL,10,,,,deliver,,0
1762508242303,RX,UNREL,,1571650943,,,recv,,77
1762508242337,RX,UNREL,,1571650976,,,recv,,78
1762508242370,RX,REL,11,1571651010,,,recv,,78
1762508242370,RX,REL,11,,,,deliver,,0
1762508242403,RX,REL,12,1571651043,,,recv,,77
1762508242404,RX,REL,12,,,,deliver,,0
1762508242437,RX,REL,13,1571651076,,,recv,,77
1762508242437,RX,REL,13,,,,deliver,,0
1762508242470,RX,REL,14,1571651110,,,recv,,77
1762508242470,RX,REL,14,,,,deliver,,0
1762508242503,RX,REL,15,1571651143,,,recv,,78
1762508242503,RX,REL,15,,,,deliver,,0
1762508242537,RX,REL,16,1571651176,,,recv,,78
1762508242537,RX,REL,16,,,,deliver,,0
1762508242570,RX,REL,17,1571651210,,,recv,,77
1762508242570,RX,REL,17,,,,deliver,,0
1762508242604,RX,REL,18,1571651243,,,recv,,77
1762508242604,RX,REL,18,,,,deliver,,0
1762508242637,RX,REL,19,1571651276,,,recv,,79
1762508242637,RX,REL,19,,,,deliver,,0
1762508242670,RX,UNREL,,1571651310,,,recv,,78
1762508242737,RX,REL,21,1571651376,,,recv,,77
1762508242737,RX,REL,21,,,,buffer,,0
1762508242770,RX,REL,22,1571651410,,,recv,,79
1762508242770,RX,REL,22,,,,buffer,,0
1762508242803,RX,REL,23,1571651443,,,recv,,79
1762508242803,RX,REL,23,,,,buffer,,0
1762508242837,RX,REL,24,1571651476,,,recv,,77
1762508242837,RX,REL,24,,,,buffer,,0
1762508242870,RX,UNREL,,1571651510,,,recv,,77
1762508242903,RX,REL,25,1571651543,,,recv,,75
1762508242904,RX,REL,25,,,,buffer,,0
1762508242937,RX,UNREL,,1571651576,,,recv,,77
1762508242970,RX,REL,26,1571651610,,,recv,,77
1762508242970,RX,REL,20,,,,skip,,0
1762508242970,RX,REL,21,,,,deliver,,0
1762508242971,RX,REL,22,,,,deliver,,0
1762508242971,RX,REL,23,,,,deliver,,0
1762508242971,RX,REL,24,,,,deliver,,0
1762508242971,RX,REL,25,,,,deliver,,0
1762508242971,RX,REL,26,,,,deliver,,0
1762508243003,RX,REL,27,1571651643,,,recv,,78
1762508243003,RX,REL,27,,,,deliver,,0
1762508243037,RX,REL,28,1571651677,,,recv,,78
1762508243037,RX,REL,28,,,,deliver,,0
1762508243070,RX,UNREL,,1571651710,,,recv,,77
1762508243137,RX,UNREL,,1571651776,,,recv,,78
1762508243170,RX,REL,30,1571651810,,,recv,,77
1762508243170,RX,REL,30,,,,buffer,,0
1762508243203,RX,REL,31,1571651843,,,recv,,77
1762508243203,RX,REL,31,,,,buffer,,0
1762508243237,RX,REL,32,1571651877,,,recv,,78
1762508243237,RX,REL,32,,,,buffer,,0
1762508243270,RX,REL,33,1571651910,,,recv,,78
1762508243270,RX,REL,33,,,,buffer,,0
1762508243303,RX,REL,34,1571651943,,,recv,,79
1762508243303,RX,REL,34,,,,buffer,,0
1762508243337,RX,REL,35,1571651977,,,recv,,77
1762508243337,RX,REL,35,,,,buffer,,0
1762508243370,RX,REL,36,1571652010,,,recv,,77
1762508243370,RX,REL,29,,,,skip,,0
1762508243370,RX,REL,30,,,,deliver,,0
1762508243370,RX,REL,31,,,,deliver,,0
1762508243370,RX,REL,32,,,,deliver,,0
1762508243370,RX,REL,33,,,,deliver,,0
1762508243370,RX,REL,34,,,,deliver,,0
1762508243371,RX,REL,35,,,,deliver,,0
1762508243371,RX,REL,36,,,,deliver,,0
1762508243403,RX,REL,37,1571652043,,,recv,,78
1762508243403,RX,REL,37,,,,deliver,,0
1762508243437,RX,REL,38,1571652077,,,recv,,78
1762508243437,RX,REL,38,,,,deliver,,0
1762508243470,RX,REL,39,1571652110,,,recv,,76
1762508243470,RX,REL,39,,,,deliver,,0
1762508243503,RX,REL,40,1571652143,,,recv,,77
1762508243503,RX,REL,40,,,,deliver,,0
1762508243537,RX,UNREL,,1571652176,,,recv,,78
1762508243570,RX,REL,41,1571652210,,,recv,,79
1762508243570,RX,REL,41,,,,deliver,,0
1762508243603,RX,REL,42,1571652243,,,recv,,79
1762508243604,RX,REL,42,,,,deliver,,0
1762508243637,RX,REL,43,1571652276,,,recv,,75
1762508243637,RX,REL,43,,,,deliver,,0
1762508243670,RX,REL,44,1571652310,,,recv,,77
1762508243670,RX,REL,44,,,,deliver,,0
1762508243704,RX,REL,45,1571652343,,,recv,,77
1762508243704,RX,REL,45,,,,deliver,,0
1762508243737,RX,REL,46,1571652376,,,recv,,77
1762508243737,RX,REL,46,,,,deliver,,0
1762508243770,RX,REL,47,1571652410,,,recv,,78
1762508243770,RX,REL,47,,,,deliver,,0
1762508243803,RX,UNREL,,1571652443,,,recv,,77
1762508243837,RX,REL,48,1571652476,,,recv,,78
1762508243837,RX,REL,48,,,,deliver,,0
1762508243870,RX,REL,49,1571652510,,,recv,,77
1762508243870,RX,REL,49,,,,deliver,,0
1762508243903,RX,REL,50,1571652543,,,recv,,80
1762508243903,RX,REL,50,,,,deliver,,0
1762508243937,RX,REL,51,1571652576,,,recv,,77
1762508243937,RX,REL,51,,,,deliver,,0
1762508243970,RX,UNREL,,1571652610,,,recv,,78
1762508244003,RX,REL,52,1571652643,,,recv,,77
1762508244003,RX,REL,52,,,,deliver,,0
1762508244037,RX,REL,53,1571652677,,,recv,,77
1762508244037,RX,REL,53,,,,deliver,,0
1762508244070,RX,REL,54,1571652710,,,recv,,78
1762508244070,RX,REL,54,,,,deliver,,0
1762508244170,RX,REL,57,1571652810,,,recv,,81
1762508244170,RX,REL,57,,,,buffer,,0
1762508244270,RX,REL,60,1571652910,,,recv,,79
1762508244270,RX,REL,60,,,,buffer,,0
1762508244303,RX,REL,61,1571652943,,,recv,,77
