ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508241803,TX,REL,0,1762508241803,,0,send,200,75
1762508241803,RX,ACK,0,1571650443,0.0,,ack,,4
1762508241837,TX,REL,1,1762508241837,,0,send,120,78
1762508241837,RX,ACK,1,1571650477,0.0,,ack,,4
1762508241870,TX,REL,2,1762508241870,,0,send,120,76
1762508241871,RX,ACK,2,1571650510,0.0,,ack,,4
1762508241903,TX,UNREL,,1762508241903,,0,send,,77
1762508241937,TX,REL,3,1762508241937,,0,send,120,78
1762508241937,RX,ACK,3,1571650577,0.0,,ack,,4
1762508241970,TX,REL,4,1762508241970,,0,send,120,77
1762508242003,TX,REL,5,1762508242003,,0,send,120,77
1762508242004,RX,ACK,5,1571650643,1.0,,ack,,4
1762508242037,TX,UNREL,,1762508242037,,0,send,,76
1762508242070,TX,REL,6,1762508242070,,0,send,120,77
1762508242070,RX,ACK,6,1571650710,0.0,,ack,,4
1762508242091,TX,REL,4,1762508242091,,0,expire,120,77
1762508242103,TX,REL,7,1762508242103,,0,send,120,76
1762508242103,RX,ACK,7,1571650743,0.0,,ack,,4
1762508242137,TX,REL,8,1762508242137,,0,send,120,80
1762508242137,RX,ACK,8,1571650776,1.0,,ack,,4
1762508242170,TX,UNREL,,1762508242170,,0,send,,79
1762508242203,TX,UNREL,,1762508242203,,0,send,,79
1762508242236,TX,REL,9,1762508242236,,0,send,120,77
1762508242244,RX,ACK,9,1571650876,8.0,,ack,,4
1762508242270,TX,REL,10,1762508242270,,0,send,120,77
1762508242270,RX,ACK,10,1571650910,0.0,,ack,,4
1762508242303,TX,UNREL,,1762508242303,,0,send,,77
1762508242337,TX,UNREL,,1762508242337,,0,send,,78
1762508242370,TX,REL,11,1762508242370,,0,send,120,78
1762508242370,RX,ACK,11,1571651010,0.0,,ack,,4
1762508242403,TX,REL,12,1762508242403,,0,send,120,77
1762508242404,RX,ACK,12,1571651043,1.0,,ack,,4
1762508242437,TX,REL,13,1762508242437,,0,send,120,77
1762508242437,RX,ACK,13,1571651076,1.0,,ack,,4
1762508242470,TX,REL,14,1762508242470,,0,send,120,77
1762508242470,RX,ACK,14,1571651110,0.0,,ack,,4
1762508242503,TX,REL,15,1762508242503,,0,send,120,78
1762508242503,RX,ACK,15,1571651143,0.0,,ack,,4
1762508242537,TX,REL,16,1762508242537,,0,send,120,78
1762508242537,RX,ACK,16,1571651176,1.0,,ack,,4
1762508242570,TX,REL,17,1762508242570,,0,send,120,77
1762508242570,RX,ACK,17,1571651210,0.0,,ack,,4
1762508242604,TX,REL,18,1762508242604,,0,send,120,77
1762508242604,RX,ACK,18,1571651243,1.0,,ack,,4
1762508242637,TX,REL,19,1762508242637,,0,send,120,79
1762508242637,RX,ACK,19,1571651276,1.0,,ack,,4
1762508242670,TX,UNREL,,1762508242670,,0,send,,78
1762508242703,TX,REL,20,1762508242703,,0,send,120,77
1762508242737,TX,REL,21,1762508242737,,0,send,120,77
1762508242737,RX,ACK,21,1571651376,1.0,,ack,,4
1762508242770,TX,REL,22,1762508242770,,0,send,120,79
1762508242770,RX,ACK,22,1571651410,0.0,,ack,,4
1762508242803,TX,REL,23,1762508242803,,0,send,120,79
1762508242803,RX,ACK,23,1571651443,0.0,,ack,,4
1762508242827,TX,REL,20,1762508242827,,0,expire,120,77
1762508242837,TX,REL,24,1762508242837,,0,send,120,77
1762508242837,RX,ACK,24,1571651476,1.0,,ack,,4
1762508242870,TX,UNREL,,1762508242870,,0,send,,77
1762508242903,TX,REL,25,1762508242903,,0,send,120,75
1762508242904,RX,ACK,25,1571651543,1.0,,ack,,4
1762508242937,TX,UNREL,,1762508242937,,0,send,,77
1762508242970,TX,REL,26,1762508242970,,0,send,120,77
1762508242970,RX,ACK,26,1571651610,0.0,,ack,,4
1762508243003,TX,REL,27,1762508243003,,0,send,120,78
1762508243003,RX,ACK,27,1571651643,0.0,,ack,,4
1762508243037,TX,REL,28,1762508243037,,0,send,120,78
1762508243037,RX,ACK,28,1571651677,0.0,,ack,,4
1762508243070,TX,UNREL,,1762508243070,,0,send,,77
1762508243103,TX,REL,29,1762508243103,,0,send,120,78
1762508243137,TX,UNREL,,1762508243137,,0,send,,78
1762508243170,TX,REL,30,1762508243170,,0,send,120,77
1762508243170,RX,ACK,30,1571651810,0.0,,ack,,4
1762508243203,TX,REL,31,1762508243203,,0,send,120,77
1762508243203,RX,ACK,31,1571651843,0.0,,ack,,4
1762508243226,TX,REL,29,1762508243226,,0,expire,120,78
1762508243237,TX,REL,32,1762508243237,,0,send,120,78
1762508243237,RX,ACK,32,1571651877,0.0,,ack,,4
1762508243270,TX,REL,33,1762508243270,,0,send,120,78
1762508243270,RX,ACK,33,1571651910,0.0,,ack,,4
1762508243303,TX,REL,34,1762508243303,,0,send,120,79
1762508243303,RX,ACK,34,1571651943,0.0,,ack,,4
1762508243337,TX,REL,35,1762508243337,,0,send,120,77
1762508243337,RX,ACK,35,1571651977,0.0,,ack,,4
1762508243370,TX,REL,36,1762508243370,,0,send,120,77
1762508243370,RX,ACK,36,1571652010,0.0,,ack,,4
1762508243403,TX,REL,37,1762508243403,,0,send,120,78
1762508243403,RX,ACK,37,1571652043,0.0,,ack,,4
1762508243437,TX,REL,38,1762508243437,,0,send,120,78
1762508243437,RX,ACK,38,1571652077,0.0,,ack,,4
1762508243470,TX,REL,39,1762508243470,,0,send,120,76
1762508243470,RX,ACK,39,1571652110,0.0,,ack,,4
1762508243503,TX,REL,40,1762508243503,,0,send,120,77
1762508243503,RX,ACK,40,1571652143,0.0,,ack,,4
1762508243537,TX,UNREL,,1762508243537,,0,send,,78
1762508243570,TX,REL,41,1762508243570,,0,send,120,79
1762508243570,RX,ACK,41,1571652210,0.0,,ack,,4
1762508243603,TX,REL,42,1762508243603,,0,send,120,79
1762508243604,RX,ACK,42,1571652243,1.0,,ack,,4
1762508243637,TX,REL,43,1762508243637,,0,send,120,75
1762508243637,RX,ACK,43,1571652276,1.0,,ack,,4
1762508243670,TX,REL,44,1762508243670,,0,send,120,77
1762508243670,RX,ACK,44,1571652310,0.0,,ack,,4
1762508243704,TX,REL,45,1762508243704,,0,send,120,77
1762508243737,TX,REL,46,1762508243737,,0,send,120,77
1762508243737,RX,ACK,46,1571652376,1.0,,ack,,4
1762508243770,TX,REL,47,1762508243770,,0,send,120,78
1762508243770,RX,ACK,47,1571652410,0.0,,ack,,4
1762508243803,TX,UNREL,,1762508243803,,0,send,,77
1762508243828,TX,REL,45,1762508243828,,0,expire,120,77
1762508243837,TX,REL,48,1762508243837,,0,send,120,78
1762508243837,RX,ACK,48,1571652476,1.0,,ack,,4
1762508243870,TX,REL,49,1762508243870,,0,send,120,77
1762508243870,RX,ACK,49,1571652510,0.0,,ack,,4
1762508243903,TX,REL,50,1762508243903,,0,send,120,80
1762508243903,RX,ACK,50,1571652543,0.0,,ack,,4
1762508243937,TX,REL,51,1762508243937,,0,send,120,77
1762508243937,RX,ACK,51,1571652576,1.0,,ack,,4
1762508243970,TX,UNREL,,1762508243970,,0,send,,78
1762508244003,TX,REL,52,1762508244003,,0,send,120,77
1762508244003,RX,ACK,52,1571652643,0.0,,ack,,4
1762508244037,TX,REL,53,1762508244037,,0,send,120,77
1762508244037,RX,ACK,53,1571652677,0.0,,ack,,4
1762508244070,TX,REL,54,1762508244070,,0,send,120,78
1762508244070,RX,ACK,54,1571652710,0.0,,ack,,4
1762508244103,TX,REL,55,1762508244103,,0,send,120,75
1762508244137,TX,REL,56,1762508244137,,0,send,120,77
1762508244170,TX,REL,57,1762508244170,,0,send,120,81
1762508244170,RX,ACK,57,1571652810,0.0,,ack,,4
1762508244203,TX,REL,58,1762508244203,,0,send,120,78
1762508244226,TX,REL,55,1762508244226,,0,expire,120,75
1762508244237,TX,REL,59,1762508244237,,0,send,120,77
1762508244257,TX,REL,56,1762508244257,,0,expire,120,77
1762508244270,TX,REL,60,1762508244270,,0,send,120,79
1762508244270,RX,ACK,60,1571652910,0.0,,ack,,4
1762508244303,TX,REL,61,1762508244303,,0,send,120,77
