ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508218550,RX,REL,0,1571627189,,,recv,,77
1762508218550,RX,REL,0,,,,deliver,,0
1762508218583,RX,REL,1,1571627223,,,recv,,77
1762508218584,RX,REL,1,,,,deliver,,0
1762508218617,RX,REL,2,1571627256,,,recv,,76
1762508218617,RX,REL,2,,,,deliver,,0
1762508218650,RX,REL,3,1571627290,,,recv,,76
1762508218650,RX,REL,3,,,,deliver,,0
1762508218683,RX,UNREL,,1571627323,,,recv,,77
1762508218716,RX,REL,4,1571627356,,,recv,,77
1762508218717,RX,REL,4,,,,deliver,,0
1762508218750,RX,REL,5,1571627390,,,recv,,76
1762508218750,RX,REL,5,,,,deliver,,0
1762508218773,RX,REL,3,1571627413,,,recv,,76
1762508218773,RX,REL,3,,,,dup,,0
1762508218783,RX,REL,6,1571627423,,,recv,,76
1762508218784,RX,REL,6,,,,deliver,,0
1762508218816,RX,REL,7,1571627456,,,recv,,76
1762508218817,RX,REL,7,,,,deliver,,0
1762508218850,RX,UNREL,,1571627490,,,recv,,77
1762508218883,RX,UNREL,,1571627523,,,recv,,78
1762508218917,RX,REL,8,1571627556,,,recv,,79
1762508218917,RX,REL,8,,,,deliver,,0
1762508218950,RX,UNREL,,1571627590,,,recv,,77
1762508218983,RX,REL,9,1571627623,,,recv,,78
1762508218983,RX,REL,9,,,,deliver,,0
1762508219016,RX,REL,10,1571627656,,,recv,,78
1762508219017,RX,REL,10,,,,deliver,,0
1762508219083,RX,UNREL,,1571627723,,,recv,,76
1762508219150,RX,UNREL,,1571627790,,,recv,,79
1762508219183,RX,REL,13,1571627823,,,recv,,77
1762508219183,RX,REL,13,,,,buffer,,0
1762508219217,RX,REL,14,1571627856,,,recv,,78
1762508219217,RX,REL,14,,,,buffer,,0
1762508219245,RX,REL,12,1571627885,,,recv,,78
1762508219245,RX,REL,12,,,,buffer,,0
1762508219250,RX,REL,15,1571627890,,,recv,,77
1762508219250,RX,REL,15,,,,buffer,,0
1762508219283,RX,REL,16,1571627923,,,recv,,77
1762508219284,RX,REL,16,,,,buffer,,0
1762508219317,RX,UNREL,,1571627956,,,recv,,78
1762508219350,RX,REL,17,1571627990,,,recv,,77
1762508219350,RX,REL,17,,,,buffer,,0
1762508219450,RX,REL,20,1571628090,,,recv,,80
1762508219450,RX,REL,11,,,,skip,,0
1762508219450,RX,REL,12,,,,deliver,,0
1762508219450,RX,REL,13,,,,deliver,,0
1762508219450,RX,REL,14,,,,deliver,,0
1762508219450,RX,REL,15,,,,deliver,,0
1762508219450,RX,REL,16,,,,deliver,,0
1762508219450,RX,REL,17,,,,deliver,,0
1762508219450,RX,REL,20,,,,buffer,,0
1762508219483,RX,REL,21,1571628123,,,recv,,79
1762508219483,RX,REL,21,,,,buffer,,0
1762508219512,RX,REL,18,1571628152,,,recv,,76
1762508219512,RX,REL,18,,,,deliver,,0
1762508219516,RX,REL,22,1571628156,,,recv,,78
1762508219517,RX,REL,22,,,,buffer,,0
1762508219550,RX,UNREL,,1571628190,,,recv,,75
1762508219583,RX,REL,23,1571628223,,,recv,,78
1762508219583,RX,REL,23,,,,buffer,,0
1762508219617,RX,UNREL,,1571628256,,,recv,,77
1762508219645,RX,REL,22,1571628285,,,recv,,78
1762508219650,RX,REL,24,1571628290,,,recv,,77
1762508219650,RX,REL,19,,,,skip,,0
