ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508218550,TX,REL,0,1762508218550,,0,send,200,77
1762508218550,RX,ACK,0,1571627189,1.0,,ack,,4
1762508218583,TX,REL,1,1762508218583,,0,send,200,77
1762508218584,RX,ACK,1,1571627223,1.0,,ack,,4
1762508218617,TX,REL,2,1762508218617,,0,send,200,76
1762508218617,RX,ACK,2,1571627256,1.0,,ack,,4
1762508218650,TX,REL,3,1762508218650,,0,send,200,76
1762508218683,TX,UNREL,,1762508218683,,0,send,,77
1762508218716,TX,REL,4,1762508218716,,0,send,200,77
1762508218717,RX,ACK,4,1571627356,1.0,,ack,,4
1762508218750,TX,REL,5,1762508218750,,0,send,200,76
1762508218751,RX,ACK,5,1571627390,1.0,,ack,,4
1762508218773,TX,REL,3,1762508218773,,1,retransmit,,76
1762508218774,RX,ACK,3,1571627413,1.0,,ack,,4
1762508218783,TX,REL,6,1762508218783,,0,send,200,76
1762508218784,RX,ACK,6,1571627423,1.0,,ack,,4
1762508218816,TX,REL,7,1762508218816,,0,send,200,76
1762508218817,RX,ACK,7,1571627456,1.0,,ack,,4
1762508218850,TX,UNREL,,1762508218850,,0,send,,77
1762508218883,TX,UNREL,,1762508218883,,0,send,,78
1762508218917,TX,REL,8,1762508218917,,0,send,200,79
1762508218917,RX,ACK,8,1571627556,1.0,,ack,,4
1762508218950,TX,UNREL,,1762508218950,,0,send,,77
1762508218983,TX,REL,9,1762508218983,,0,send,200,78
1762508218984,RX,ACK,9,1571627623,0.0,,ack,,4
1762508219016,TX,REL,10,1762508219016,,0,send,200,78
1762508219017,RX,ACK,10,1571627656,1.0,,ack,,4
1762508219050,TX,REL,11,1762508219050,,0,send,200,78
1762508219083,TX,UNREL,,1762508219083,,0,send,,76
1762508219116,TX,REL,12,1762508219116,,0,send,200,78
1762508219150,TX,UNREL,,1762508219150,,0,send,,79
1762508219173,TX,REL,11,1762508219173,,1,retransmit,,78
1762508219183,TX,REL,13,1762508219183,,0,send,200,77
1762508219184,RX,ACK,13,1571627823,0.0,,ack,,4
1762508219216,TX,REL,14,1762508219216,,0,send,200,78
1762508219217,RX,ACK,14,1571627856,1.0,,ack,,4
1762508219245,TX,REL,12,1762508219245,,1,retransmit,,78
1762508219245,RX,ACK,12,1571627885,0.0,,ack,,4
1762508219250,TX,REL,15,1762508219250,,0,send,200,77
1762508219250,RX,ACK,15,1571627890,0.0,,ack,,4
1762508219255,TX,REL,11,1762508219255,,1,expire,200,78
1762508219283,TX,REL,16,1762508219283,,0,send,200,77
1762508219284,RX,ACK,16,1571627923,1.0,,ack,,4
1762508219316,TX,UNREL,,1762508219316,,0,send,,78
1762508219350,TX,REL,17,1762508219350,,0,send,200,77
1762508219350,RX,ACK,17,1571627990,0.0,,ack,,4
1762508219383,TX,REL,18,1762508219383,,0,send,200,76
1762508219416,TX,REL,19,1762508219416,,0,send,200,78
1762508219450,TX,REL,20,1762508219450,,0,send,200,80
1762508219450,RX,ACK,20,1571628090,0.0,,ack,,4
1762508219483,TX,REL,21,1762508219483,,0,send,200,79
