ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508182797,RX,REL,0,1571591436,,,recv,,76
1762508182797,RX,REL,0,,,,deliver,,0
1762508182830,RX,UNREL,,1571591470,,,recv,,76
1762508182864,RX,REL,1,1571591504,,,recv,,78
1762508182865,RX,REL,1,,,,deliver,,0
1762508182897,RX,REL,2,1571591537,,,recv,,76
1762508182897,RX,REL,2,,,,deliver,,0
1762508182931,RX,REL,3,1571591571,,,recv,,76
1762508182931,RX,REL,3,,,,deliver,,0
1762508182964,RX,UNREL,,1571591604,,,recv,,76
1762508182997,RX,REL,4,1571591637,,,recv,,78
1762508182998,RX,REL,4,,,,deliver,,0
1762508183031,RX,REL,5,1571591671,,,recv,,77
1762508183031,RX,REL,5,,,,deliver,,0
1762508183064,RX,REL,6,1571591704,,,recv,,76
1762508183064,RX,REL,6,,,,deliver,,0
1762508183097,RX,REL,7,1571591737,,,recv,,77
1762508183097,RX,REL,7,,,,deliver,,0
1762508183131,RX,REL,8,1571591771,,,recv,,78
1762508183131,RX,REL,8,,,,deliver,,0
1762508183165,RX,REL,9,1571591804,,,recv,,79
1762508183165,RX,REL,9,,,,deliver,,0
1762508183197,RX,UNREL,,1571591837,,,recv,,77
1762508183231,RX,REL,10,1571591871,,,recv,,78
1762508183231,RX,REL,10,,,,deliver,,0
1762508183264,RX,REL,11,1571591904,,,recv,,77
1762508183265,RX,REL,11,,,,deliver,,0
1762508183297,RX,UNREL,,1571591937,,,recv,,79
1762508183330,RX,UNREL,,1571591970,,,recv,,78
1762508183364,RX,REL,12,1571592003,,,recv,,77
1762508183364,RX,REL,12,,,,deliver,,0
1762508183397,RX,REL,13,1571592037,,,recv,,77
1762508183397,RX,REL,13,,,,deliver,,0
1762508183430,RX,REL,14,1571592070,,,recv,,76
1762508183430,RX,REL,14,,,,deliver,,0
1762508183464,RX,UNREL,,1571592104,,,recv,,78
1762508183498,RX,UNREL,,1571592137,,,recv,,80
1762508183531,RX,UNREL,,1571592171,,,recv,,77
1762508183564,RX,REL,15,1571592204,,,recv,,77
1762508183564,RX,REL,15,,,,deliver,,0
1762508183597,RX,REL,16,1571592237,,,recv,,79
1762508183598,RX,REL,16,,,,deliver,,0
1762508183631,RX,REL,17,1571592271,,,recv,,76
1762508183631,RX,REL,17,,,,deliver,,0
1762508183664,RX,REL,18,1571592304,,,recv,,75
1762508183665,RX,REL,18,,,,deliver,,0
1762508183697,RX,REL,19,1571592337,,,recv,,77
1762508183698,RX,REL,19,,,,deliver,,0
1762508183731,RX,REL,20,1571592371,,,recv,,74
1762508183731,RX,REL,20,,,,deliver,,0
1762508183764,RX,REL,21,1571592404,,,recv,,77
1762508183764,RX,REL,21,,,,deliver,,0
1762508183797,RX,REL,22,1571592437,,,recv,,77
1762508183798,RX,REL,22,,,,deliver,,0
1762508183831,RX,REL,23,1571592471,,,recv,,77
1762508183831,RX,REL,23,,,,deliver,,0
1762508183864,RX,UNREL,,1571592504,,,recv,,78
1762508183897,RX,REL,24,1571592537,,,recv,,76
1762508183897,RX,REL,24,,,,deliver,,0
1762508183931,RX,REL,25,1571592571,,,recv,,77
1762508183931,RX,REL,25,,,,deliver,,0
1762508183964,RX,REL,26,1571592604,,,recv,,79
1762508183964,RX,REL,26,,,,deliver,,0
1762508183997,RX,REL,27,1571592637,,,recv,,78
1762508183997,RX,REL,27,,,,deliver,,0
1762508184031,RX,REL,28,1571592671,,,recv,,78
1762508184031,RX,REL,28,,,,deliver,,0
1762508184064,RX,REL,29,1571592704,,,recv,,77
1762508184064,RX,REL,29,,,,deliver,,0
1762508184097,RX,REL,30,1571592737,,,recv,,78
1762508184098,RX,REL,30,,,,deliver,,0
1762508184131,RX,UNREL,,1571592770,,,recv,,77
1762508184164,RX,REL,31,1571592804,,,recv,,78
1762508184164,RX,REL,31,,,,deliver,,0
1762508184197,RX,UNREL,,1571592837,,,recv,,76
1762508184231,RX,REL,32,1571592871,,,recv,,78
1762508184231,RX,REL,32,,,,deliver,,0
1762508184264,RX,REL,33,1571592904,,,recv,,78
1762508184264,RX,REL,33,,,,deliver,,0
1762508184298,RX,REL,34,1571592937,,,recv,,79
1762508184298,RX,REL,34,,,,deliver,,0
1762508184331,RX,REL,35,1571592971,,,recv,,76
1762508184331,RX,REL,35,,,,deliver,,0
1762508184364,RX,UNREL,,1571593004,,,recv,,78
1762508184397,RX,REL,36,1571593037,,,recv,,77
1762508184397,RX,REL,36,,,,deliver,,0
1762508184431,RX,UNREL,,1571593070,,,recv,,79
1762508184464,RX,REL,37,1571593104,,,recv,,77
1762508184465,RX,REL,37,,,,deliver,,0
1762508184497,RX,REL,38,1571593137,,,recv,,78
1762508184498,RX,REL,38,,,,deliver,,0
1762508184531,RX,REL,39,1571593171,,,recv,,78
1762508184531,RX,REL,39,,,,deliver,,0
