ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508182797,TX,REL,0,1762508182797,,0,send,200,76
1762508182797,RX,ACK,0,1571591436,1.0,,ack,,4
1762508182830,TX,UNREL,,1762508182830,,0,send,,76
1762508182865,TX,REL,1,1762508182865,,0,send,120,78
1762508182865,RX,ACK,1,1571591504,1.0,,ack,,4
1762508182897,TX,REL,2,1762508182897,,0,send,120,76
1762508182897,RX,ACK,2,1571591537,0.0,,ack,,4
1762508182931,TX,REL,3,1762508182931,,0,send,120,76
1762508182931,RX,ACK,3,1571591571,0.0,,ack,,4
1762508182964,TX,UNREL,,1762508182964,,0,send,,76
1762508182997,TX,REL,4,1762508182997,,0,send,120,78
1762508182998,RX,ACK,4,1571591637,1.0,,ack,,4
1762508183031,TX,REL,5,1762508183031,,0,send,120,77
1762508183031,RX,ACK,5,1571591671,0.0,,ack,,4
1762508183064,TX,REL,6,1762508183064,,0,send,120,76
1762508183064,RX,ACK,6,1571591704,0.0,,ack,,4
1762508183097,TX,REL,7,1762508183097,,0,send,120,77
1762508183097,RX,ACK,7,1571591737,0.0,,ack,,4
1762508183131,TX,REL,8,1762508183131,,0,send,120,78
1762508183131,RX,ACK,8,1571591771,0.0,,ack,,4
1762508183164,TX,REL,9,1762508183164,,0,send,120,79
1762508183165,RX,ACK,9,1571591804,1.0,,ack,,4
1762508183197,TX,UNREL,,1762508183197,,0,send,,77
1762508183231,TX,REL,10,1762508183231,,0,send,120,78
1762508183231,RX,ACK,10,1571591871,0.0,,ack,,4
1762508183264,TX,REL,11,1762508183264,,0,send,120,77
1762508183265,RX,ACK,11,1571591904,1.0,,ack,,4
1762508183297,TX,UNREL,,1762508183297,,0,send,,79
1762508183330,TX,UNREL,,1762508183330,,0,send,,78
1762508183364,TX,REL,12,1762508183364,,0,send,120,77
1762508183364,RX,ACK,12,1571592003,1.0,,ack,,4
1762508183397,TX,REL,13,1762508183397,,0,send,120,77
1762508183397,RX,ACK,13,1571592037,0.0,,ack,,4
1762508183430,TX,REL,14,1762508183430,,0,send,120,76
1762508183431,RX,ACK,14,1571592070,0.0,,ack,,4
1762508183464,TX,UNREL,,1762508183464,,0,send,,78
1762508183498,TX,UNREL,,1762508183498,,0,send,,80
1762508183531,TX,UNREL,,1762508183531,,0,send,,77
1762508183564,TX,REL,15,1762508183564,,0,send,120,77
1762508183564,RX,ACK,15,1571592204,0.0,,ack,,4
1762508183597,TX,REL,16,1762508183597,,0,send,120,79
1762508183598,RX,ACK,16,1571592237,1.0,,ack,,4
1762508183631,TX,REL,17,1762508183631,,0,send,120,76
1762508183631,RX,ACK,17,1571592271,0.0,,ack,,4
1762508183664,TX,REL,18,1762508183664,,0,send,120,75
1762508183665,RX,ACK,18,1571592304,1.0,,ack,,4
1762508183697,TX,REL,19,1762508183697,,0,send,120,77
1762508183698,RX,ACK,19,1571592337,1.0,,ack,,4
1762508183731,TX,REL,20,1762508183731,,0,send,120,74
1762508183731,RX,ACK,20,1571592371,0.0,,ack,,4
1762508183764,TX,REL,21,1762508183764,,0,send,120,77
1762508183764,RX,ACK,21,1571592404,0.0,,ack,,4
1762508183797,TX,REL,22,1762508183797,,0,send,120,77
1762508183798,RX,ACK,22,1571592437,1.0,,ack,,4
1762508183831,TX,REL,23,1762508183831,,0,send,120,77
1762508183831,RX,ACK,23,1571592471,0.0,,ack,,4
1762508183864,TX,UNREL,,1762508183864,,0,send,,78
1762508183897,TX,REL,24,1762508183897,,0,send,120,76
1762508183897,RX,ACK,24,1571592537,0.0,,ack,,4
1762508183931,TX,REL,25,1762508183931,,0,send,120,77
1762508183931,RX,ACK,25,1571592571,0.0,,ack,,4
1762508183964,TX,REL,26,1762508183964,,0,send,120,79
1762508183964,RX,ACK,26,1571592604,0.0,,ack,,4
1762508183997,TX,REL,27,1762508183997,,0,send,120,78
1762508183998,RX,ACK,27,1571592637,1.0,,ack,,4
1762508184031,TX,REL,28,1762508184031,,0,send,120,78
1762508184031,RX,ACK,28,1571592671,0.0,,ack,,4
1762508184064,TX,REL,29,1762508184064,,0,send,120,77
1762508184064,RX,ACK,29,1571592704,0.0,,ack,,4
1762508184097,TX,REL,30,1762508184097,,0,send,120,78
1762508184098,RX,ACK,30,1571592737,1.0,,ack,,4
1762508184131,TX,UNREL,,1762508184131,,0,send,,77
1762508184164,TX,REL,31,1762508184164,,0,send,120,78
1762508184164,RX,ACK,31,1571592804,0.0,,ack,,4
1762508184197,TX,UNREL,,1762508184197,,0,send,,76
1762508184231,TX,REL,32,1762508184231,,0,send,120,78
1762508184231,RX,ACK,32,1571592871,0.0,,ack,,4
1762508184264,TX,REL,33,1762508184264,,0,send,120,78
1762508184265,RX,ACK,33,1571592904,0.0,,ack,,4
1762508184298,TX,REL,34,1762508184298,,0,send,120,79
1762508184298,RX,ACK,34,1571592937,1.0,,ack,,4
1762508184331,TX,REL,35,1762508184331,,0,send,120,76
1762508184331,RX,ACK,35,1571592971,0.0,,ack,,4
1762508184364,TX,UNREL,,1762508184364,,0,send,,78
1762508184397,TX,REL,36,1762508184397,,0,send,120,77
1762508184397,RX,ACK,36,1571593037,0.0,,ack,,4
1762508184430,TX,UNREL,,1762508184430,,0,send,,79
1762508184464,TX,REL,37,1762508184464,,0,send,120,77
1762508184464,RX,ACK,37,1571593104,0.0,,ack,,4
1762508184497,TX,REL,38,1762508184497,,0,send,120,78
1762508184498,RX,ACK,38,1571593137,1.0,,ack,,4
1762508184531,TX,REL,39,1762508184531,,0,send,120,78
1762508184531,RX,ACK,39,1571593171,0.0,,ack,,4
1762508184564,TX,REL,40,1762508184564,,0,send,120,80
1762508184565,RX,ACK,40,1571593204,1.0,,ack,,4
1762508184598,TX,REL,41,1762508184598,,0,send,120,78
1762508184598,RX,ACK,41,1571593237,1.0,,ack,,4
1762508184631,TX,REL,42,1762508184631,,0,send,120,76
1762508184631,RX,ACK,42,1571593271,0.0,,ack,,4
1762508184664,TX,REL,43,1762508184664,,0,send,120,78
1762508184665,RX,ACK,43,1571593304,0.0,,ack,,4
1762508184698,TX,UNREL,,1762508184698,,0,send,,77
1762508184730,TX,REL,44,1762508184730,,0,send,120,78
1762508184730,RX,ACK,44,1571593370,0.0,,ack,,4
1762508184763,TX,REL,45,1762508184763,,0,send,120,78
1762508184764,RX,ACK,45,1571593403,1.0,,ack,,4
1762508184797,TX,REL,46,1762508184797,,0,send,120,77
1762508184797,RX,ACK,46,1571593437,0.0,,ack,,4
1762508184831,TX,REL,47,1762508184831,,0,send,120,77
1762508184831,RX,ACK,47,1571593470,1.0,,ack,,4
1762508184864,TX,REL,48,1762508184864,,0,send,120,78
1762508184864,RX,ACK,48,1571593503,1.0,,ack,,4
1762508184897,TX,REL,49,1762508184897,,0,send,120,77
1762508184897,RX,ACK,49,1571593537,0.0,,ack,,4
1762508184930,TX,REL,50,1762508184930,,0,send,120,78
1762508184931,RX,ACK,50,1571593570,1.0,,ack,,4
1762508184963,TX,REL,51,1762508184963,,0,send,120,77
1762508184964,RX,ACK,51,1571593603,1.0,,ack,,4
1762508184997,TX,REL,52,1762508184997,,0,send,120,76
1762508184997,RX,ACK,52,1571593637,0.0,,ack,,4
