ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508167525,RX,REL,0,1571576165,,,recv,,76
1762508167525,RX,REL,0,,,,deliver,,0
1762508167558,RX,REL,1,1571576198,,,recv,,76
1762508167558,RX,REL,1,,,,deliver,,0
1762508167592,RX,REL,2,1571576232,,,recv,,77
1762508167592,RX,REL,2,,,,deliver,,0
1762508167625,RX,REL,3,1571576265,,,recv,,76
1762508167625,RX,REL,3,,,,deliver,,0
1762508167659,RX,REL,4,1571576298,,,recv,,77
1762508167659,RX,REL,4,,,,deliver,,0
1762508167692,RX,REL,5,1571576332,,,recv,,77
1762508167692,RX,REL,5,,,,deliver,,0
1762508167725,RX,REL,6,1571576365,,,recv,,77
1762508167725,RX,REL,6,,,,deliver,,0
1762508167758,RX,UNREL,,1571576398,,,recv,,77
1762508167792,RX,REL,7,1571576432,,,recv,,76
1762508167792,RX,REL,7,,,,deliver,,0
1762508167825,RX,REL,8,1571576465,,,recv,,76
1762508167825,RX,REL,8,,,,deliver,,0
1762508167859,RX,REL,9,1571576498,,,recv,,78
1762508167859,RX,REL,9,,,,deliver,,0
1762508167892,RX,REL,10,1571576532,,,recv,,75
1762508167892,RX,REL,10,,,,deliver,,0
1762508167925,RX,REL,11,1571576565,,,recv,,80
1762508167925,RX,REL,11,,,,deliver,,0
1762508167958,RX,REL,12,1571576598,,,recv,,78
1762508167959,RX,REL,12,,,,deliver,,0
1762508167992,RX,REL,13,1571576632,,,recv,,77
1762508167992,RX,REL,13,,,,deliver,,0
1762508168025,RX,REL,14,1571576665,,,recv,,78
1762508168025,RX,REL,14,,,,deliver,,0
1762508168059,RX,REL,15,1571576698,,,recv,,78
1762508168059,RX,REL,15,,,,deliver,,0
1762508168092,RX,REL,16,1571576732,,,recv,,78
1762508168092,RX,REL,16,,,,deliver,,0
1762508168125,RX,REL,17,1571576765,,,recv,,79
1762508168125,RX,REL,17,,,,deliver,,0
1762508168158,RX,REL,18,1571576798,,,recv,,77
