ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508167525,TX,REL,0,1762508167525,,0,send,200,76
1762508167526,RX,ACK,0,1571576165,1.0,,ack,,4
1762508167558,TX,REL,1,1762508167558,,0,send,200,76
1762508167559,RX,ACK,1,1571576198,0.0,,ack,,4
1762508167592,TX,REL,2,1762508167592,,0,send,200,77
1762508167592,RX,ACK,2,1571576232,0.0,,ack,,4
1762508167625,TX,REL,3,1762508167625,,0,send,200,76
1762508167625,RX,ACK,3,1571576265,0.0,,ack,,4
1762508167658,TX,REL,4,1762508167658,,0,send,200,77
1762508167659,RX,ACK,4,1571576298,1.0,,ack,,4
1762508167692,TX,REL,5,1762508167692,,0,send,200,77
1762508167692,RX,ACK,5,1571576332,0.0,,ack,,4
1762508167725,TX,REL,6,1762508167725,,0,send,200,77
1762508167726,RX,ACK,6,1571576365,1.0,,ack,,4
1762508167758,TX,UNREL,,1762508167758,,0,send,,77
1762508167792,TX,REL,7,1762508167792,,0,send,200,76
1762508167792,RX,ACK,7,1571576432,0.0,,ack,,4
1762508167825,TX,REL,8,1762508167825,,0,send,200,76
1762508167825,RX,ACK,8,1571576465,0.0,,ack,,4
1762508167859,TX,REL,9,1762508167859,,0,send,200,78
1762508167859,RX,ACK,9,1571576498,1.0,,ack,,4
1762508167892,TX,REL,10,1762508167892,,0,send,200,75
1762508167892,RX,ACK,10,1571576532,0.0,,ack,,4
1762508167925,TX,REL,11,1762508167925,,0,send,200,80
1762508167926,RX,ACK,11,1571576565,0.0,,ack,,4
1762508167958,TX,REL,12,1762508167958,,0,send,200,78
1762508167959,RX,ACK,12,1571576598,1.0,,ack,,4
1762508167992,TX,REL,13,1762508167992,,0,send,200,77
1762508167992,RX,ACK,13,1571576632,0.0,,ack,,4
1762508168025,TX,REL,14,1762508168025,,0,send,200,78
1762508168025,RX,ACK,14,1571576665,0.0,,ack,,4
1762508168059,TX,REL,15,1762508168059,,0,send,200,78
1762508168059,RX,ACK,15,1571576698,1.0,,ack,,4
1762508168092,TX,REL,16,1762508168092,,0,send,200,78
1762508168092,RX,ACK,16,1571576732,0.0,,ack,,4
1762508168125,TX,REL,17,1762508168125,,0,send,200,79
1762508168125,RX,ACK,17,1571576765,0.0,,ack,,4
1762508168159,TX,REL,18,1762508168159,,0,send,200,77
1762508168159,RX,ACK,18,1571576798,1.0,,ack,,4
1762508168192,TX,REL,19,1762508168192,,0,send,200,79
1762508168192,RX,ACK,19,1571576832,0.0,,ack,,4
1762508168225,TX,REL,20,1762508168225,,0,send,200,78
1762508168225,RX,ACK,20,1571576865,0.0,,ack,,4
1762508168258,TX,REL,21,1762508168258,,0,send,200,77
1762508168259,RX,ACK,21,1571576898,1.0,,ack,,4
1762508168292,TX,REL,22,1762508168292,,0,send,200,77
1762508168292,RX,ACK,22,1571576932,0.0,,ack,,4
1762508168325,TX,REL,23,1762508168325,,0,send,200,78
1762508168325,RX,ACK,23,1571576965,0.0,,ack,,4
1762508168358,TX,UNREL,,1762508168358,,0,send,,77
1762508168392,TX,REL,24,1762508168392,,0,send,200,77
1762508168392,RX,ACK,24,1571577032,0.0,,ack,,4
1762508168425,TX,REL,25,1762508168425,,0,send,200,78
1762508168425,RX,ACK,25,1571577065,0.0,,ack,,4
1762508168458,TX,REL,26,1762508168458,,0,send,200,78
1762508168458,RX,ACK,26,1571577098,0.0,,ack,,4
1762508168492,TX,REL,27,1762508168492,,0,send,200,77
1762508168492,RX,ACK,27,1571577131,1.0,,ack,,4
1762508168525,TX,REL,28,1762508168525,,0,send,200,78
1762508168525,RX,ACK,28,1571577165,0.0,,ack,,4
1762508168559,TX,REL,29,1762508168559,,0,send,200,77
1762508168559,RX,ACK,29,1571577198,1.0,,ack,,4
1762508168592,TX,REL,30,1762508168592,,0,send,200,77
1762508168592,RX,ACK,30,1571577232,0.0,,ack,,4
1762508168625,TX,REL,31,1762508168625,,0,send,200,78
1762508168626,RX,ACK,31,1571577265,1.0,,ack,,4
1762508168658,TX,UNREL,,1762508168658,,0,send,,78
1762508168691,TX,UNREL,,1762508168691,,0,send,,79
1762508168725,TX,REL,32,1762508168725,,0,send,200,77
1762508168725,RX,ACK,32,1571577365,0.0,,ack,,4
1762508168758,TX,UNREL,,1762508168758,,0,send,,79
1762508168792,TX,REL,33,1762508168792,,0,send,200,78
1762508168792,RX,ACK,33,1571577431,1.0,,ack,,4
1762508168825,TX,REL,34,1762508168825,,0,send,200,78
1762508168825,RX,ACK,34,1571577465,0.0,,ack,,4
1762508168858,TX,REL,35,1762508168858,,0,send,200,79
