ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508304715,RX,REL,0,1571713355,,,recv,,78
1762508304715,RX,REL,0,,,,deliver,,0
1762508304749,RX,REL,1,1571713389,,,recv,,74
1762508304749,RX,REL,1,,,,deliver,,0
1762508304782,RX,UNREL,,1571713422,,,recv,,76
1762508304815,RX,REL,2,1571713455,,,recv,,77
1762508304815,RX,REL,2,,,,deliver,,0
1762508304849,RX,REL,3,1571713488,,,recv,,77
1762508304849,RX,REL,3,,,,deliver,,0
1762508304882,RX,REL,4,1571713522,,,recv,,74
1762508304882,RX,REL,4,,,,deliver,,0
1762508304916,RX,REL,5,1571713555,,,recv,,77
1762508304916,RX,REL,5,,,,deliver,,0
1762508304949,RX,REL,6,1571713589,,,recv,,76
1762508304949,RX,REL,6,,,,deliver,,0
1762508304983,RX,REL,7,1571713622,,,recv,,77
1762508304983,RX,REL,7,,,,deliver,,0
1762508305016,RX,REL,8,1571713656,,,recv,,75
1762508305016,RX,REL,8,,,,deliver,,0
1762508305049,RX,REL,9,1571713689,,,recv,,77
1762508305049,RX,REL,9,,,,deliver,,0
1762508305082,RX,REL,10,1571713722,,,recv,,76
1762508305083,RX,REL,10,,,,deliver,,0
1762508305116,RX,REL,11,1571713756,,,recv,,76
1762508305116,RX,REL,11,,,,deliver,,0
1762508305149,RX,REL,12,1571713789,,,recv,,78
1762508305149,RX,REL,12,,,,deliver,,0
1762508305183,RX,UNREL,,1571713822,,,recv,,78
1762508305216,RX,REL,13,1571713856,,,recv,,77
1762508305216,RX,REL,13,,,,deliver,,0
1762508305249,RX,UNREL,,1571713889,,,recv,,78
1762508305283,RX,REL,14,1571713922,,,recv,,76
1762508305283,RX,REL,14,,,,deliver,,0
1762508305316,RX,REL,15,1571713956,,,recv,,77
1762508305316,RX,REL,15,,,,deliver,,0
1762508305349,RX,REL,16,1571713989,,,recv,,77
1762508305350,RX,REL,16,,,,deliver,,0
1762508305383,RX,REL,17,1571714022,,,recv,,77
1762508305383,RX,REL,17,,,,deliver,,0
1762508305416,RX,REL,18,1571714056,,,recv,,78
1762508305416,RX,REL,18,,,,deliver,,0
1762508305449,RX,UNREL,,1571714089,,,recv,,77
1762508305483,RX,REL,19,1571714122,,,recv,,78
1762508305483,RX,REL,19,,,,deliver,,0
1762508305516,RX,UNREL,,1571714156,,,recv,,78
1762508305549,RX,REL,20,1571714189,,,recv,,77
1762508305549,RX,REL,20,,,,deliver,,0
1762508305582,RX,REL,21,1571714222,,,recv,,76
1762508305582,RX,REL,21,,,,deliver,,0
1762508305615,RX,REL,22,1571714255,,,recv,,76
1762508305615,RX,REL,22,,,,deliver,,0
1762508305649,RX,REL,23,1571714289,,,recv,,78
1762508305649,RX,REL,23,,,,deliver,,0
1762508305682,RX,REL,24,1571714322,,,recv,,77
1762508305682,RX,REL,24,,,,deliver,,0
1762508305715,RX,REL,25,1571714355,,,recv,,77
1762508305715,RX,REL,25,,,,deliver,,0
1762508305749,RX,REL,26,1571714388,,,recv,,77
1762508305749,RX,REL,26,,,,deliver,,0
1762508305782,RX,REL,27,1571714422,,,recv,,77
1762508305782,RX,REL,27,,,,deliver,,0
1762508305815,RX,REL,28,1571714455,,,recv,,78
1762508305815,RX,REL,28,,,,deliver,,0
1762508305849,RX,REL,29,1571714488,,,recv,,79
1762508305849,RX,REL,29,,,,deliver,,0
1762508305883,RX,REL,30,1571714522,,,recv,,78
1762508305883,RX,REL,30,,,,deliver,,0
1762508305916,RX,REL,31,1571714556,,,recv,,78
1762508305916,RX,REL,31,,,,deliver,,0
1762508305949,RX,REL,32,1571714589,,,recv,,78
1762508305949,RX,REL,32,,,,deliver,,0
1762508305982,RX,REL,33,1571714622,,,recv,,77
1762508305983,RX,REL,33,,,,deliver,,0
1762508306016,RX,REL,34,1571714656,,,recv,,78
1762508306016,RX,REL,34,,,,deliver,,0
1762508306049,RX,REL,35,1571714689,,,recv,,78
1762508306050,RX,REL,35,,,,deliver,,0
1762508306083,RX,UNREL,,1571714722,,,recv,,78
1762508306116,RX,REL,36,1571714756,,,recv,,77
1762508306116,RX,REL,36,,,,deliver,,0
1762508306149,RX,REL,37,1571714789,,,recv,,76
1762508306149,RX,REL,37,,,,deliver,,0
1762508306182,RX,REL,38,1571714822,,,recv,,79
1762508306183,RX,REL,38,,,,deliver,,0
1762508306216,RX,UNREL,,1571714855,,,recv,,80
1762508306249,RX,REL,39,1571714889,,,recv,,76
1762508306249,RX,REL,39,,,,deliver,,0
1762508306282,RX,UNREL,,1571714922,,,recv,,77
1762508306316,RX,UNREL,,1571714956,,,recv,,78
1762508306349,RX,UNREL,,1571714989,,,recv,,78
1762508306382,RX,REL,40,1571715022,,,recv,,78
1762508306383,RX,REL,40,,,,deliver,,0
1762508306416,RX,REL,41,1571715056,,,recv,,79
1762508306416,RX,REL,41,,,,deliver,,0
1762508306449,RX,REL,42,1571715089,,,recv,,76
1762508306449,RX,REL,42,,,,deliver,,0
1762508306483,RX,REL,43,1571715123,,,recv,,78
1762508306483,RX,REL,43,,,,deliver,,0
1762508306516,RX,REL,44,1571715156,,,recv,,75
1762508306517,RX,REL,44,,,,deliver,,0
1762508306549,RX,REL,45,1571715189,,,recv,,78
1762508306550,RX,REL,45,,,,deliver,,0
1762508306583,RX,REL,46,1571715222,,,recv,,77
1762508306583,RX,REL,46,,,,deliver,,0
1762508306616,RX,REL,47,1571715255,,,recv,,77
1762508306616,RX,REL,47,,,,deliver,,0
1762508306649,RX,REL,48,1571715289,,,recv,,77
1762508306649,RX,REL,48,,,,deliver,,0
1762508306682,RX,REL,49,1571715322,,,recv,,78
1762508306683,RX,REL,49,,,,deliver,,0
1762508306715,RX,REL,50,1571715355,,,recv,,78
1762508306716,RX,REL,50,,,,deliver,,0
1762508306749,RX,UNREL,,1571715389,,,recv,,78
1762508306782,RX,REL,51,1571715422,,,recv,,77
1762508306783,RX,REL,51,,,,deliver,,0
1762508306815,RX,REL,52,1571715455,,,recv,,77
1762508306815,RX,REL,52,,,,deliver,,0
1762508306849,RX,REL,53,1571715489,,,recv,,78
1762508306849,RX,REL,53,,,,deliver,,0
1762508306882,RX,REL,54,1571715522,,,recv,,79
1762508306882,RX,REL,54,,,,deliver,,0
1762508306915,RX,REL,55,1571715555,,,recv,,77
1762508306915,RX,REL,55,,,,deliver,,0
1762508306949,RX,UNREL,,1571715589,,,recv,,77
1762508306982,RX,REL,56,1571715622,,,recv,,77
1762508306983,RX,REL,56,,,,deliver,,0
1762508307016,RX,UNREL,,1571715656,,,recv,,77
1762508307049,RX,UNREL,,1571715689,,,recv,,78
1762508307082,RX,REL,57,1571715722,,,recv,,77
1762508307082,RX,REL,57,,,,deliver,,0
1762508307116,RX,REL,58,1571715756,,,recv,,77
1762508307116,RX,REL,58,,,,deliver,,0
1762508307149,RX,REL,59,1571715789,,,recv,,79
1762508307149,RX,REL,59,,,,deliver,,0
1762508307182,RX,UNREL,,1571715822,,,recv,,77
1762508307215,RX,REL,60,1571715855,,,recv,,77
1762508307216,RX,REL,60,,,,deliver,,0
1762508307249,RX,REL,61,1571715889,,,recv,,79
1762508307249,RX,REL,61,,,,deliver,,0
1762508307282,RX,REL,62,1571715922,,,recv,,78
1762508307283,RX,REL,62,,,,deliver,,0
1762508307316,RX,REL,63,1571715956,,,recv,,72
1762508307316,RX,REL,63,,,,deliver,,0
1762508307349,RX,REL,64,1571715989,,,recv,,78
1762508307349,RX,REL,64,,,,deliver,,0
1762508307382,RX,UNREL,,1571716022,,,recv,,77
1762508306678,RX,REL,65,1571715318,,,recv,,77
1762508306678,RX,REL,65,,,,deliver,,0
1762508307449,RX,UNREL,,1571716089,,,recv,,78
1762508307482,RX,UNREL,,1571716122,,,recv,,78
1762508307515,RX,REL,66,1571716155,,,recv,,78
1762508307516,RX,REL,66,,,,deliver,,0
1762508307549,RX,REL,67,1571716189,,,recv,,78
1762508307549,RX,REL,67,,,,deliver,,0
1762508307582,RX,UNREL,,1571716222,,,recv,,77
1762508307616,RX,UNREL,,1571716256,,,recv,,77
1762508307649,RX,REL,68,1571716289,,,recv,,77
1762508307649,RX,REL,68,,,,deliver,,0
1762508307682,RX,REL,69,1571716322,,,recv,,76
1762508307683,RX,REL,69,,,,deliver,,0
1762508307716,RX,REL,70,1571716356,,,recv,,79
1762508307716,RX,REL,70,,,,deliver,,0
1762508307749,RX,REL,71,1571716388,,,recv,,77
1762508307749,RX,REL,71,,,,deliver,,0
1762508307782,RX,UNREL,,1571716422,,,recv,,78
1762508307816,RX,REL,72,1571716456,,,recv,,77
1762508307816,RX,REL,72,,,,deliver,,0
1762508307849,RX,REL,73,1571716489,,,recv,,78
1762508307849,RX,REL,73,,,,deliver,,0
1762508307882,RX,REL,74,1571716522,,,recv,,77
1762508307882,RX,REL,74,,,,deliver,,0
1762508307916,RX,REL,75,1571716556,,,recv,,77
1762508307916,RX,REL,75,,,,deliver,,0
1762508307949,RX,REL,76,1571716589,,,recv,,78
1762508307949,RX,REL,76,,,,deliver,,0
1762508307982,RX,REL,77,1571716622,,,recv,,77
1762508307982,RX,REL,77,,,,deliver,,0
1762508308016,RX,REL,78,1571716656,,,recv,,77
1762508308016,RX,REL,78,,,,deliver,,0
1762508308049,RX,UNREL,,1571716689,,,recv,,80
1762508308082,RX,REL,79,1571716722,,,recv,,77
1762508308082,RX,REL,79,,,,deliver,,0
1762508308116,RX,UNREL,,1571716756,,,recv,,78
1762508308150,RX,UNREL,,1571716789,,,recv,,79
1762508308182,RX,REL,80,1571716822,,,recv,,80
1762508308183,RX,REL,80,,,,deliver,,0
1762508308216,RX,UNREL,,1571716856,,,recv,,78
1762508308249,RX,REL,81,1571716889,,,recv,,80
1762508308249,RX,REL,81,,,,deliver,,0
1762508308283,RX,REL,82,1571716922,,,recv,,78
1762508308283,RX,REL,82,,,,deliver,,0
1762508308316,RX,REL,83,1571716956,,,recv,,78
1762508308316,RX,REL,83,,,,deliver,,0
1762508308349,RX,REL,84,1571716989,,,recv,,80
1762508308349,RX,REL,84,,,,deliver,,0
1762508308382,RX,REL,85,1571717022,,,recv,,78
1762508308383,RX,REL,85,,,,deliver,,0
1762508308416,RX,REL,86,1571717055,,,recv,,79
1762508308416,RX,REL,86,,,,deliver,,0
1762508308449,RX,UNREL,,1571717089,,,recv,,79
1762508308482,RX,REL,87,1571717122,,,recv,,80
1762508308483,RX,REL,87,,,,deliver,,0
1762508308516,RX,REL,88,1571717156,,,recv,,79
1762508308516,RX,REL,88,,,,deliver,,0
1762508308549,RX,UNREL,,1571717189,,,recv,,80
1762508308582,RX,REL,89,1571717222,,,recv,,78
1762508308583,RX,REL,89,,,,deliver,,0
1762508308616,RX,REL,90,1571717256,,,recv,,79
1762508308616,RX,REL,90,,,,deliver,,0
1762508308649,RX,REL,91,1571717289,,,recv,,78
1762508308649,RX,REL,91,,,,deliver,,0
1762508308682,RX,REL,92,1571717322,,,recv,,78
1762508308683,RX,REL,92,,,,deliver,,0
1762508308716,RX,REL,93,1571717356,,,recv,,79
1762508308716,RX,REL,93,,,,deliver,,0
1762508308749,RX,REL,94,1571717388,,,recv,,77
1762508308749,RX,REL,94,,,,deliver,,0
1762508308782,RX,REL,95,1571717422,,,recv,,77
1762508308783,RX,REL,95,,,,deliver,,0
1762508308815,RX,UNREL,,1571717455,,,recv,,76
1762508308849,RX,REL,96,1571717489,,,recv,,79
1762508308849,RX,REL,96,,,,deliver,,0
1762508308882,RX,REL,97,1571717522,,,recv,,78
1762508308883,RX,REL,97,,,,deliver,,0
1762508308916,RX,REL,98,1571717556,,,recv,,78
1762508308916,RX,REL,98,,,,deliver,,0
1762508308949,RX,REL,99,1571717589,,,recv,,79
1762508308950,RX,REL,99,,,,deliver,,0
1762508308982,RX,REL,100,1571717622,,,recv,,80
1762508308983,RX,REL,100,,,,deliver,,0
1762508309016,RX,REL,101,1571717656,,,recv,,78
1762508309016,RX,REL,101,,,,deliver,,0
1762508309049,RX,REL,102,1571717689,,,recv,,78
1762508309049,RX,REL,102,,,,deliver,,0
1762508309082,RX,UNREL,,1571717722,,,recv,,77
1762508309115,RX,UNREL,,1571717755,,,recv,,77
1762508309149,RX,REL,103,1571717789,,,recv,,78
1762508309149,RX,REL,103,,,,deliver,,0
1762508309182,RX,UNREL,,1571717822,,,recv,,79
1762508309215,RX,REL,104,1571717855,,,recv,,78
1762508309215,RX,REL,104,,,,deliver,,0
1762508309249,RX,REL,105,1571717888,,,recv,,78
1762508309249,RX,REL,105,,,,deliver,,0
1762508309282,RX,REL,106,1571717922,,,recv,,78
1762508309283,RX,REL,106,,,,deliver,,0
1762508309315,RX,UNREL,,1571717955,,,recv,,79
1762508309349,RX,REL,107,1571717988,,,recv,,78
1762508309349,RX,REL,107,,,,deliver,,0
1762508309382,RX,REL,108,1571718022,,,recv,,80
1762508309382,RX,REL,108,,,,deliver,,0
1762508309415,RX,REL,109,1571718055,,,recv,,78
1762508309415,RX,REL,109,,,,deliver,,0
1762508309449,RX,REL,110,1571718088,,,recv,,78
1762508309449,RX,REL,110,,,,deliver,,0
1762508309482,RX,UNREL,,1571718122,,,recv,,78
1762508309515,RX,REL,111,1571718155,,,recv,,79
