ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508304715,TX,REL,0,1762508304715,,0,send,200,78
1762508304715,RX,ACK,0,1571713355,0.0,,ack,,4
1762508304749,TX,REL,1,1762508304749,,0,send,120,74
1762508304749,RX,ACK,1,1571713389,0.0,,ack,,4
1762508304782,TX,UNREL,,1762508304782,,0,send,,76
1762508304815,TX,REL,2,1762508304815,,0,send,120,77
1762508304816,RX,ACK,2,1571713455,0.0,,ack,,4
1762508304849,TX,REL,3,1762508304849,,0,send,120,77
1762508304849,RX,ACK,3,1571713488,1.0,,ack,,4
1762508304882,TX,REL,4,1762508304882,,0,send,120,74
1762508304882,RX,ACK,4,1571713522,0.0,,ack,,4
1762508304916,TX,REL,5,1762508304916,,0,send,120,77
1762508304916,RX,ACK,5,1571713555,1.0,,ack,,4
1762508304949,TX,REL,6,1762508304949,,0,send,120,76
1762508304949,RX,ACK,6,1571713589,0.0,,ack,,4
1762508304983,TX,REL,7,1762508304983,,0,send,120,77
1762508304983,RX,ACK,7,1571713622,1.0,,ack,,4
1762508305016,TX,REL,8,1762508305016,,0,send,120,75
1762508305016,RX,ACK,8,1571713656,0.0,,ack,,4
1762508305049,TX,REL,9,1762508305049,,0,send,120,77
1762508305049,RX,ACK,9,1571713689,0.0,,ack,,4
1762508305082,TX,REL,10,1762508305082,,0,send,120,76
1762508305083,RX,ACK,10,1571713722,1.0,,ack,,4
1762508305116,TX,REL,11,1762508305116,,0,send,120,76
1762508305116,RX,ACK,11,1571713756,0.0,,ack,,4
1762508305149,TX,REL,12,1762508305149,,0,send,120,78
1762508305149,RX,ACK,12,1571713789,0.0,,ack,,4
1762508305183,TX,UNREL,,1762508305183,,0,send,,78
1762508305216,TX,REL,13,1762508305216,,0,send,120,77
1762508305216,RX,ACK,13,1571713856,0.0,,ack,,4
1762508305249,TX,UNREL,,1762508305249,,0,send,,78
1762508305282,TX,REL,14,1762508305282,,0,send,120,76
1762508305283,RX,ACK,14,1571713922,1.0,,ack,,4
1762508305316,TX,REL,15,1762508305316,,0,send,120,77
1762508305316,RX,ACK,15,1571713956,0.0,,ack,,4
1762508305349,TX,REL,16,1762508305349,,0,send,120,77
1762508305350,RX,ACK,16,1571713989,1.0,,ack,,4
1762508305382,TX,REL,17,1762508305382,,0,send,120,77
1762508305383,RX,ACK,17,1571714022,1.0,,ack,,4
1762508305416,TX,REL,18,1762508305416,,0,send,120,78
1762508305416,RX,ACK,18,1571714056,0.0,,ack,,4
1762508305449,TX,UNREL,,1762508305449,,0,send,,77
1762508305483,TX,REL,19,1762508305483,,0,send,120,78
