ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508283678,RX,UNREL,,1571692318,,,recv,,77
1762508283712,RX,UNREL,,1571692351,,,recv,,76
1762508283745,RX,REL,0,1571692385,,,recv,,77
1762508283745,RX,REL,0,,,,deliver,,0
1762508283778,RX,REL,1,1571692418,,,recv,,76
1762508283779,RX,REL,1,,,,deliver,,0
1762508283812,RX,REL,2,1571692451,,,recv,,78
1762508283812,RX,REL,2,,,,deliver,,0
1762508283845,RX,REL,3,1571692485,,,recv,,78
1762508283845,RX,REL,3,,,,deliver,,0
1762508283879,RX,REL,4,1571692519,,,recv,,78
1762508283879,RX,REL,4,,,,deliver,,0
1762508283912,RX,UNREL,,1571692552,,,recv,,77
1762508283945,RX,REL,5,1571692585,,,recv,,77
1762508283946,RX,REL,5,,,,deliver,,0
1762508283979,RX,REL,6,1571692619,,,recv,,77
1762508283979,RX,REL,6,,,,deliver,,0
1762508284012,RX,REL,7,1571692652,,,recv,,77
1762508284012,RX,REL,7,,,,deliver,,0
1762508284045,RX,UNREL,,1571692685,,,recv,,78
1762508284078,RX,REL,8,1571692718,,,recv,,77
1762508284079,RX,REL,8,,,,deliver,,0
1762508284112,RX,REL,9,1571692752,,,recv,,77
1762508284112,RX,REL,9,,,,deliver,,0
1762508284146,RX,REL,10,1571692785,,,recv,,79
1762508284146,RX,REL,10,,,,deliver,,0
1762508284178,RX,REL,11,1571692818,,,recv,,79
1762508284178,RX,REL,11,,,,deliver,,0
1762508284212,RX,REL,12,1571692852,,,recv,,77
1762508284212,RX,REL,12,,,,deliver,,0
1762508284245,RX,UNREL,,1571692885,,,recv,,78
1762508284278,RX,REL,13,1571692918,,,recv,,78
1762508284278,RX,REL,13,,,,deliver,,0
1762508284312,RX,REL,14,1571692951,,,recv,,78
1762508284312,RX,REL,14,,,,deliver,,0
1762508284345,RX,REL,15,1571692985,,,recv,,79
1762508284345,RX,REL,15,,,,deliver,,0
1762508284379,RX,UNREL,,1571693018,,,recv,,78
1762508284411,RX,REL,16,1571693051,,,recv,,78
1762508284412,RX,REL,16,,,,deliver,,0
1762508284445,RX,REL,17,1571693085,,,recv,,77
1762508284446,RX,REL,17,,,,deliver,,0
1762508284478,RX,REL,18,1571693118,,,recv,,77
1762508284479,RX,REL,18,,,,deliver,,0
1762508284512,RX,REL,19,1571693152,,,recv,,77
1762508284512,RX,REL,19,,,,deliver,,0
1762508284545,RX,REL,20,1571693185,,,recv,,77
1762508284545,RX,REL,20,,,,deliver,,0
1762508284579,RX,REL,21,1571693219,,,recv,,79
1762508284579,RX,REL,21,,,,deliver,,0
1762508284611,RX,REL,22,1571693251,,,recv,,78
1762508284612,RX,REL,22,,,,deliver,,0
1762508284645,RX,UNREL,,1571693285,,,recv,,77
1762508284678,RX,REL,23,1571693318,,,recv,,78
1762508284678,RX,REL,23,,,,deliver,,0
1762508284712,RX,REL,24,1571693351,,,recv,,78
1762508284712,RX,REL,24,,,,deliver,,0
1762508284745,RX,REL,25,1571693385,,,recv,,78
1762508284745,RX,REL,25,,,,deliver,,0
1762508284778,RX,REL,26,1571693418,,,recv,,77
1762508284778,RX,REL,26,,,,deliver,,0
1762508284811,RX,REL,27,1571693451,,,recv,,78
1762508284812,RX,REL,27,,,,deliver,,0
1762508284845,RX,REL,28,1571693485,,,recv,,77
1762508284845,RX,REL,28,,,,deliver,,0
1762508284879,RX,REL,29,1571693518,,,recv,,77
1762508284879,RX,REL,29,,,,deliver,,0
1762508284912,RX,UNREL,,1571693551,,,recv,,77
1762508284945,RX,UNREL,,1571693585,,,recv,,78
1762508284978,RX,REL,30,1571693618,,,recv,,76
1762508284978,RX,REL,30,,,,deliver,,0
1762508285012,RX,REL,31,1571693652,,,recv,,77
1762508285012,RX,REL,31,,,,deliver,,0
1762508285045,RX,REL,32,1571693685,,,recv,,77
1762508285045,RX,REL,32,,,,deliver,,0
1762508285078,RX,REL,33,1571693718,,,recv,,79
1762508285079,RX,REL,33,,,,deliver,,0
1762508285111,RX,UNREL,,1571693751,,,recv,,78
1762508285145,RX,REL,34,1571693785,,,recv,,77
1762508285145,RX,REL,34,,,,deliver,,0
1762508285179,RX,REL,35,1571693818,,,recv,,77
1762508285179,RX,REL,35,,,,deliver,,0
1762508285211,RX,REL,36,1571693851,,,recv,,78
1762508285212,RX,REL,36,,,,deliver,,0
1762508285245,RX,REL,37,1571693885,,,recv,,79
1762508285245,RX,REL,37,,,,deliver,,0
1762508285278,RX,REL,38,1571693918,,,recv,,77
1762508285279,RX,REL,38,,,,deliver,,0
1762508285312,RX,REL,39,1571693951,,,recv,,78
1762508285312,RX,REL,39,,,,deliver,,0
1762508285345,RX,UNREL,,1571693985,,,recv,,77
1762508285379,RX,REL,40,1571694019,,,recv,,77
1762508285379,RX,REL,40,,,,deliver,,0
1762508285412,RX,UNREL,,1571694052,,,recv,,77
1762508285445,RX,REL,41,1571694085,,,recv,,77
1762508285446,RX,REL,41,,,,deliver,,0
1762508285479,RX,REL,42,1571694119,,,recv,,77
1762508285479,RX,REL,42,,,,deliver,,0
1762508285512,RX,REL,43,1571694152,,,recv,,77
1762508285513,RX,REL,43,,,,deliver,,0
1762508285545,RX,REL,44,1571694185,,,recv,,77
1762508285546,RX,REL,44,,,,deliver,,0
1762508285579,RX,REL,45,1571694219,,,recv,,78
1762508285579,RX,REL,45,,,,deliver,,0
1762508285613,RX,REL,46,1571694252,,,recv,,77
1762508285613,RX,REL,46,,,,deliver,,0
1762508285645,RX,REL,47,1571694285,,,recv,,78
1762508285645,RX,REL,47,,,,deliver,,0
1762508285679,RX,REL,48,1571694319,,,recv,,78
1762508285679,RX,REL,48,,,,deliver,,0
1762508285711,RX,REL,49,1571694351,,,recv,,76
1762508285712,RX,REL,49,,,,deliver,,0
1762508285745,RX,REL,50,1571694385,,,recv,,78
1762508285745,RX,REL,50,,,,deliver,,0
1762508285779,RX,UNREL,,1571694419,,,recv,,78
1762508285811,RX,REL,51,1571694451,,,recv,,77
1762508285812,RX,REL,51,,,,deliver,,0
1762508285845,RX,REL,52,1571694485,,,recv,,78
1762508285846,RX,REL,52,,,,deliver,,0
1762508285879,RX,REL,53,1571694519,,,recv,,79
1762508285879,RX,REL,53,,,,deliver,,0
1762508285912,RX,REL,54,1571694552,,,recv,,77
1762508285912,RX,REL,54,,,,deliver,,0
1762508285945,RX,UNREL,,1571694585,,,recv,,75
1762508285978,RX,REL,55,1571694618,,,recv,,76
1762508285978,RX,REL,55,,,,deliver,,0
1762508286012,RX,REL,56,1571694652,,,recv,,78
1762508286012,RX,REL,56,,,,deliver,,0
1762508286045,RX,REL,57,1571694685,,,recv,,78
1762508286046,RX,REL,57,,,,deliver,,0
1762508286079,RX,REL,58,1571694719,,,recv,,74
1762508286079,RX,REL,58,,,,deliver,,0
1762508286111,RX,UNREL,,1571694751,,,recv,,77
1762508286145,RX,REL,59,1571694785,,,recv,,78
1762508286145,RX,REL,59,,,,deliver,,0
1762508286178,RX,REL,60,1571694818,,,recv,,77
1762508286178,RX,REL,60,,,,deliver,,0
1762508286212,RX,UNREL,,1571694851,,,recv,,77
1762508286245,RX,REL,61,1571694885,,,recv,,77
1762508286245,RX,REL,61,,,,deliver,,0
1762508286278,RX,REL,62,1571694918,,,recv,,77
1762508286278,RX,REL,62,,,,deliver,,0
1762508286312,RX,REL,63,1571694951,,,recv,,79
1762508286312,RX,REL,63,,,,deliver,,0
1762508286345,RX,REL,64,1571694985,,,recv,,79
1762508286345,RX,REL,64,,,,deliver,,0
1762508286378,RX,REL,65,1571695018,,,recv,,78
1762508286378,RX,REL,65,,,,deliver,,0
1762508286412,RX,UNREL,,1571695051,,,recv,,79
1762508286445,RX,REL,66,1571695085,,,recv,,77
1762508286446,RX,REL,66,,,,deliver,,0
1762508286479,RX,UNREL,,1571695119,,,recv,,76
1762508286512,RX,REL,67,1571695151,,,recv,,78
1762508286512,RX,REL,67,,,,deliver,,0
1762508286545,RX,UNREL,,1571695185,,,recv,,79
1762508286579,RX,REL,68,1571695219,,,recv,,78
1762508286579,RX,REL,68,,,,deliver,,0
