ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762508283678,TX,UNREL,,1762508283678,,0,send,,77
1762508283711,TX,UNREL,,1762508283711,,0,send,,76
1762508283745,TX,REL,0,1762508283745,,0,send,200,77
1762508283745,RX,ACK,0,1571692385,0.0,,ack,,4
1762508283778,TX,REL,1,1762508283778,,0,send,200,76
1762508283779,RX,ACK,1,1571692418,0.0,,ack,,4
1762508283812,TX,REL,2,1762508283812,,0,send,200,78
1762508283812,RX,ACK,2,1571692451,1.0,,ack,,4
1762508283845,TX,REL,3,1762508283845,,0,send,200,78
1762508283845,RX,ACK,3,1571692485,0.0,,ack,,4
1762508283879,TX,REL,4,1762508283879,,0,send,200,78
1762508283879,RX,ACK,4,1571692519,0.0,,ack,,4
1762508283912,TX,UNREL,,1762508283912,,0,send,,77
1762508283945,TX,REL,5,1762508283945,,0,send,200,77
1762508283946,RX,ACK,5,1571692585,1.0,,ack,,4
1762508283979,TX,REL,6,1762508283979,,0,send,200,77
1762508283979,RX,ACK,6,1571692619,0.0,,ack,,4
1762508284012,TX,REL,7,1762508284012,,0,send,200,77
1762508284012,RX,ACK,7,1571692652,0.0,,ack,,4
1762508284045,TX,UNREL,,1762508284045,,0,send,,78
1762508284078,TX,REL,8,1762508284078,,0,send,200,77
1762508284079,RX,ACK,8,1571692718,1.0,,ack,,4
1762508284112,TX,REL,9,1762508284112,,0,send,200,77
1762508284112,RX,ACK,9,1571692752,0.0,,ack,,4
1762508284145,TX,REL,10,1762508284145,,0,send,200,79
1762508284146,RX,ACK,10,1571692785,1.0,,ack,,4
1762508284178,TX,REL,11,1762508284178,,0,send,200,79
1762508284178,RX,ACK,11,1571692818,0.0,,ack,,4
1762508284212,TX,REL,12,1762508284212,,0,send,200,77
1762508284212,RX,ACK,12,1571692852,0.0,,ack,,4
1762508284245,TX,UNREL,,1762508284245,,0,send,,78
1762508284278,TX,REL,13,1762508284278,,0,send,200,78
1762508284278,RX,ACK,13,1571692918,0.0,,ack,,4
1762508284312,TX,REL,14,1762508284312,,0,send,200,78
1762508284312,RX,ACK,14,1571692951,1.0,,ack,,4
1762508284345,TX,REL,15,1762508284345,,0,send,200,79
1762508284345,RX,ACK,15,1571692985,0.0,,ack,,4
1762508284379,TX,UNREL,,1762508284379,,0,send,,78
1762508284411,TX,REL,16,1762508284411,,0,send,200,78
1762508284412,RX,ACK,16,1571693051,1.0,,ack,,4
1762508284445,TX,REL,17,1762508284445,,0,send,200,77
1762508284446,RX,ACK,17,1571693085,1.0,,ack,,4
1762508284478,TX,REL,18,1762508284478,,0,send,200,77
1762508284479,RX,ACK,18,1571693118,1.0,,ack,,4
1762508284512,TX,REL,19,1762508284512,,0,send,200,77
1762508284512,RX,ACK,19,1571693152,0.0,,ack,,4
1762508284545,TX,REL,20,1762508284545,,0,send,200,77
1762508284545,RX,ACK,20,1571693185,0.0,,ack,,4
1762508284579,TX,REL,21,1762508284579,,0,send,200,79
1762508284579,RX,ACK,21,1571693219,0.0,,ack,,4
1762508284611,TX,REL,22,1762508284611,,0,send,200,78
1762508284612,RX,ACK,22,1571693251,1.0,,ack,,4
1762508284645,TX,UNREL,,1762508284645,,0,send,,77
1762508284678,TX,REL,23,1762508284678,,0,send,200,78
1762508284678,RX,ACK,23,1571693318,0.0,,ack,,4
1762508284712,TX,REL,24,1762508284712,,0,send,200,78
1762508284712,RX,ACK,24,1571693351,1.0,,ack,,4
1762508284745,TX,REL,25,1762508284745,,0,send,200,78
1762508284745,RX,ACK,25,1571693385,0.0,,ack,,4
1762508284778,TX,REL,26,1762508284778,,0,send,200,77
1762508284778,RX,ACK,26,1571693418,0.0,,ack,,4
1762508284811,TX,REL,27,1762508284811,,0,send,200,78
1762508284812,RX,ACK,27,1571693451,1.0,,ack,,4
1762508284845,TX,REL,28,1762508284845,,0,send,200,77
1762508284845,RX,ACK,28,1571693485,0.0,,ack,,4
1762508284879,TX,REL,29,1762508284879,,0,send,200,77
1762508284879,RX,ACK,29,1571693518,1.0,,ack,,4
1762508284911,TX,UNREL,,1762508284911,,0,send,,77
1762508284945,TX,UNREL,,1762508284945,,0,send,,78
1762508284978,TX,REL,30,1762508284978,,0,send,200,76
1762508284978,RX,ACK,30,1571693618,0.0,,ack,,4
1762508285012,TX,REL,31,1762508285012,,0,send,200,77
1762508285012,RX,ACK,31,1571693652,0.0,,ack,,4
1762508285045,TX,REL,32,1762508285045,,0,send,200,77
1762508285046,RX,ACK,32,1571693685,0.0,,ack,,4
1762508285078,TX,REL,33,1762508285078,,0,send,200,79
1762508285079,RX,ACK,33,1571693718,1.0,,ack,,4
1762508285111,TX,UNREL,,1762508285111,,0,send,,78
1762508285145,TX,REL,34,1762508285145,,0,send,200,77
1762508285145,RX,ACK,34,1571693785,0.0,,ack,,4
1762508285179,TX,REL,35,1762508285179,,0,send,200,77
1762508285179,RX,ACK,35,1571693818,1.0,,ack,,4
1762508285211,TX,REL,36,1762508285211,,0,send,200,78
1762508285212,RX,ACK,36,1571693851,1.0,,ack,,4
1762508285245,TX,REL,37,1762508285245,,0,send,200,79
1762508285245,RX,ACK,37,1571693885,0.0,,ack,,4
1762508285278,TX,REL,38,1762508285278,,0,send,200,77
1762508285279,RX,ACK,38,1571693918,1.0,,ack,,4
1762508285312,TX,REL,39,1762508285312,,0,send,200,78
1762508285312,RX,ACK,39,1571693951,1.0,,ack,,4
1762508285345,TX,UNREL,,1762508285345,,0,send,,77
1762508285379,TX,REL,40,1762508285379,,0,send,200,77
1762508285379,RX,ACK,40,1571694019,0.0,,ack,,4
1762508285412,TX,UNREL,,1762508285412,,0,send,,77
1762508285445,TX,REL,41,1762508285445,,0,send,200,77
1762508285446,RX,ACK,41,1571694085,1.0,,ack,,4
1762508285479,TX,REL,42,1762508285479,,0,send,200,77
1762508285479,RX,ACK,42,1571694119,0.0,,ack,,4
1762508285512,TX,REL,43,1762508285512,,0,send,200,77
1762508285513,RX,ACK,43,1571694152,1.0,,ack,,4
1762508285545,TX,REL,44,1762508285545,,0,send,200,77
1762508285546,RX,ACK,44,1571694185,1.0,,ack,,4
1762508285579,TX,REL,45,1762508285579,,0,send,200,78
1762508285579,RX,ACK,45,1571694219,0.0,,ack,,4
1762508285613,TX,REL,46,1762508285613,,0,send,200,77
1762508285613,RX,ACK,46,1571694252,1.0,,ack,,4
1762508285645,TX,REL,47,1762508285645,,0,send,200,78
1762508285645,RX,ACK,47,1571694285,0.0,,ack,,4
1762508285679,TX,REL,48,1762508285679,,0,send,200,78
1762508285679,RX,ACK,48,1571694319,0.0,,ack,,4
1762508285711,TX,REL,49,1762508285711,,0,send,200,76
1762508285712,RX,ACK,49,1571694351,1.0,,ack,,4
1762508285745,TX,REL,50,1762508285745,,0,send,200,78
1762508285745,RX,ACK,50,1571694385,0.0,,ack,,4
1762508285779,TX,UNREL,,1762508285779,,0,send,,78
1762508285811,TX,REL,51,1762508285811,,0,send,200,77
1762508285812,RX,ACK,51,1571694451,1.0,,ack,,4
1762508285845,TX,REL,52,1762508285845,,0,send,200,78
1762508285846,RX,ACK,52,1571694485,1.0,,ack,,4
1762508285879,TX,REL,53,1762508285879,,0,send,200,79
1762508285879,RX,ACK,53,1571694519,0.0,,ack,,4
1762508285912,TX,REL,54,1762508285912,,0,send,200,77
1762508285912,RX,ACK,54,1571694552,0.0,,ack,,4
1762508285945,TX,UNREL,,1762508285945,,0,send,,75
1762508285978,TX,REL,55,1762508285978,,0,send,200,76
1762508285979,RX,ACK,55,1571694618,1.0,,ack,,4
1762508286012,TX,REL,56,1762508286012,,0,send,200,78
1762508286012,RX,ACK,56,1571694652,0.0,,ack,,4
1762508286045,TX,REL,57,1762508286045,,0,send,200,78
1762508286046,RX,ACK,57,1571694685,1.0,,ack,,4
1762508286079,TX,REL,58,1762508286079,,0,send,200,74
1762508286079,RX,ACK,58,1571694719,0.0,,ack,,4
1762508286111,TX,UNREL,,1762508286111,,0,send,,77
1762508286145,TX,REL,59,1762508286145,,0,send,200,78
1762508286145,RX,ACK,59,1571694785,0.0,,ack,,4
1762508286178,TX,REL,60,1762508286178,,0,send,200,77
1762508286178,RX,ACK,60,1571694818,0.0,,ack,,4
1762508286211,TX,UNREL,,1762508286211,,0,send,,77
1762508286245,TX,REL,61,1762508286245,,0,send,200,77
1762508286245,RX,ACK,61,1571694885,0.0,,ack,,4
1762508286278,TX,REL,62,1762508286278,,0,send,200,77
1762508286278,RX,ACK,62,1571694918,0.0,,ack,,4
1762508286312,TX,REL,63,1762508286312,,0,send,200,79
1762508286312,RX,ACK,63,1571694951,1.0,,ack,,4
1762508286345,TX,REL,64,1762508286345,,0,send,200,79
1762508286346,RX,ACK,64,1571694985,1.0,,ack,,4
1762508286378,TX,REL,65,1762508286378,,0,send,200,78
1762508286379,RX,ACK,65,1571695018,0.0,,ack,,4
1762508286411,TX,UNREL,,1762508286411,,0,send,,79
1762508286445,TX,REL,66,1762508286445,,0,send,200,77
1762508286446,RX,ACK,66,1571695085,1.0,,ack,,4
1762508286479,TX,UNREL,,1762508286479,,0,send,,76
1762508286512,TX,REL,67,1762508286512,,0,send,200,78
1762508286512,RX,ACK,67,1571695151,1.0,,ack,,4
1762508286545,TX,UNREL,,1762508286545,,0,send,,79
1762508286579,TX,REL,68,1762508286579,,0,send,200,78
1762508286579,RX,ACK,68,1571695219,0.0,,ack,,4
1762508286612,TX,REL,69,1762508286612,,0,send,200,77
1762508286612,RX,ACK,69,1571695252,0.0,,ack,,4
1762508286645,TX,UNREL,,1762508286645,,0,send,,77
1762508286679,TX,UNREL,,1762508286679,,0,send,,75
1762508286712,TX,REL,70,1762508286712,,0,send,200,77
1762508286712,RX,ACK,70,1571695352,0.0,,ack,,4
1762508286745,TX,REL,71,1762508286745,,0,send,200,77
1762508286746,RX,ACK,71,1571695385,1.0,,ack,,4
1762508286778,TX,REL,72,1762508286778,,0,send,200,77
1762508286779,RX,ACK,72,1571695418,1.0,,ack,,4
1762508286812,TX,UNREL,,1762508286812,,0,send,,77
