ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495761585,RX,REL,1,1559170145,,,recv,,76
1762495761585,RX,REL,1,,,,deliver,,0
1762495761619,RX,REL,2,1559170178,,,recv,,77
1762495761619,RX,REL,2,,,,deliver,,0
1762495761652,RX,REL,3,1559170212,,,recv,,76
1762495761652,RX,REL,3,,,,deliver,,0
1762495761685,RX,REL,4,1559170245,,,recv,,77
1762495761685,RX,REL,4,,,,deliver,,0
1762495761718,RX,REL,5,1559170278,,,recv,,76
1762495761719,RX,REL,5,,,,deliver,,0
1762495761752,RX,REL,6,1559170312,,,recv,,76
1762495761752,RX,REL,6,,,,deliver,,0
1762495761785,RX,REL,7,1559170345,,,recv,,76
1762495761785,RX,REL,7,,,,deliver,,0
1762495761818,RX,UNREL,,1559170378,,,recv,,77
1762495761852,RX,REL,8,1559170412,,,recv,,77
1762495761852,RX,REL,8,,,,deliver,,0
1762495761885,RX,REL,9,1559170445,,,recv,,77
1762495761886,RX,REL,9,,,,deliver,,0
1762495761918,RX,UNREL,,1559170478,,,recv,,78
1762495761952,RX,REL,10,1559170512,,,recv,,77
1762495761952,RX,REL,10,,,,deliver,,0
1762495761985,RX,REL,11,1559170545,,,recv,,79
1762495761986,RX,REL,11,,,,deliver,,0
1762495762019,RX,REL,12,1559170578,,,recv,,78
1762495762019,RX,REL,12,,,,deliver,,0
1762495762052,RX,UNREL,,1559170612,,,recv,,77
1762495762085,RX,UNREL,,1559170645,,,recv,,79
1762495762119,RX,REL,13,1559170678,,,recv,,78
1762495762119,RX,REL,13,,,,deliver,,0
1762495762152,RX,REL,14,1559170712,,,recv,,77
1762495762153,RX,REL,14,,,,deliver,,0
1762495762185,RX,REL,15,1559170745,,,recv,,77
1762495762186,RX,REL,15,,,,deliver,,0
1762495762218,RX,UNREL,,1559170778,,,recv,,78
1762495762252,RX,REL,16,1559170812,,,recv,,78
1762495762253,RX,REL,16,,,,deliver,,0
1762495762286,RX,REL,17,1559170845,,,recv,,77
1762495762286,RX,REL,17,,,,deliver,,0
1762495762319,RX,UNREL,,1559170879,,,recv,,78
1762495762352,RX,UNREL,,1559170912,,,recv,,75
1762495762385,RX,UNREL,,1559170945,,,recv,,76
1762495762419,RX,UNREL,,1559170978,,,recv,,79
1762495762452,RX,REL,18,1559171012,,,recv,,75
1762495762452,RX,REL,18,,,,deliver,,0
1762495762485,RX,UNREL,,1559171045,,,recv,,77
1762495762519,RX,REL,19,1559171078,,,recv,,77
1762495762519,RX,REL,19,,,,deliver,,0
1762495762552,RX,REL,20,1559171112,,,recv,,80
1762495762552,RX,REL,20,,,,deliver,,0
1762495762585,RX,REL,21,1559171145,,,recv,,79
1762495762586,RX,REL,21,,,,deliver,,0
1762495762619,RX,REL,22,1559171178,,,recv,,78
1762495762619,RX,REL,22,,,,deliver,,0
1762495762652,RX,REL,23,1559171212,,,recv,,77
1762495762652,RX,REL,23,,,,deliver,,0
1762495762685,RX,REL,24,1559171245,,,recv,,78
1762495762686,RX,REL,24,,,,deliver,,0
1762495762719,RX,REL,25,1559171278,,,recv,,76
1762495762719,RX,REL,25,,,,deliver,,0
1762495762752,RX,REL,26,1559171312,,,recv,,78
1762495762752,RX,REL,26,,,,deliver,,0
1762495762785,RX,REL,27,1559171345,,,recv,,78
1762495762785,RX,REL,27,,,,deliver,,0
1762495762819,RX,REL,28,1559171378,,,recv,,78
