ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495749175,RX,REL,1,1559157735,,,recv,,76
1762495749176,RX,REL,1,,,,deliver,,0
1762495749209,RX,REL,2,1559157768,,,recv,,77
1762495749209,RX,REL,2,,,,deliver,,0
1762495749242,RX,UNREL,,1559157802,,,recv,,76
1762495749275,RX,UNREL,,1559157835,,,recv,,75
1762495749309,RX,REL,3,1559157868,,,recv,,79
1762495749309,RX,REL,3,,,,deliver,,0
1762495749342,RX,UNREL,,1559157902,,,recv,,76
1762495749375,RX,REL,4,1559157935,,,recv,,76
1762495749375,RX,REL,4,,,,deliver,,0
1762495749409,RX,REL,5,1559157968,,,recv,,76
1762495749409,RX,REL,5,,,,deliver,,0
1762495749442,RX,REL,6,1559158002,,,recv,,76
1762495749442,RX,REL,6,,,,deliver,,0
1762495749475,RX,REL,7,1559158035,,,recv,,78
1762495749475,RX,REL,7,,,,deliver,,0
1762495749508,RX,UNREL,,1559158068,,,recv,,78
1762495749542,RX,REL,8,1559158102,,,recv,,79
1762495749542,RX,REL,8,,,,deliver,,0
1762495749575,RX,UNREL,,1559158135,,,recv,,77
1762495749608,RX,REL,9,1559158168,,,recv,,77
1762495749609,RX,REL,9,,,,deliver,,0
1762495749642,RX,REL,10,1559158201,,,recv,,78
1762495749642,RX,REL,10,,,,deliver,,0
1762495749675,RX,REL,11,1559158235,,,recv,,78
1762495749675,RX,REL,11,,,,deliver,,0
1762495749709,RX,REL,12,1559158268,,,recv,,78
1762495749709,RX,REL,12,,,,deliver,,0
1762495749742,RX,REL,13,1559158302,,,recv,,78
1762495749742,RX,REL,13,,,,deliver,,0
1762495749775,RX,REL,14,1559158335,,,recv,,79
1762495749776,RX,REL,14,,,,deliver,,0
1762495749809,RX,REL,15,1559158368,,,recv,,76
1762495749809,RX,REL,15,,,,deliver,,0
1762495749842,RX,REL,16,1559158402,,,recv,,76
1762495749842,RX,REL,16,,,,deliver,,0
1762495749875,RX,REL,17,1559158435,,,recv,,80
1762495749876,RX,REL,17,,,,deliver,,0
1762495749909,RX,REL,18,1559158468,,,recv,,78
1762495749909,RX,REL,18,,,,deliver,,0
1762495749942,RX,REL,19,1559158502,,,recv,,77
1762495749942,RX,REL,19,,,,deliver,,0
