ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495761438,TX,REL,0,1762495761438,,0,send,200,76
1762495761472,TX,UNREL,,1762495761472,,0,send,,76
1762495761505,TX,REL,1,1762495761505,,0,send,200,76
1762495761539,TX,REL,2,1762495761539,,0,send,200,77
1762495761572,TX,REL,3,1762495761572,,0,send,200,76
1762495761605,TX,REL,4,1762495761605,,0,send,200,77
1762495761638,TX,REL,5,1762495761638,,0,send,200,76
1762495761641,TX,REL,0,1762495761641,,0,expire,200,76
1762495761666,RX,ACK,1,1559170145,160.0,,ack,,4
1762495761672,TX,REL,6,1762495761672,,0,send,300,76
1762495761699,RX,ACK,2,1559170178,161.0,,ack,,4
1762495761705,TX,REL,7,1762495761705,,0,send,300,76
1762495761732,RX,ACK,3,1559170212,160.0,,ack,,4
1762495761738,TX,UNREL,,1762495761738,,0,send,,77
1762495761765,RX,ACK,4,1559170245,160.0,,ack,,4
1762495761772,TX,REL,8,1762495761772,,0,send,261,77
1762495761799,RX,ACK,5,1559170278,161.0,,ack,,4
1762495761805,TX,REL,9,1762495761805,,0,send,237,77
1762495761832,RX,ACK,6,1559170312,160.0,,ack,,4
1762495761838,TX,UNREL,,1762495761838,,0,send,,78
1762495761866,RX,ACK,7,1559170345,160.0,,ack,,4
1762495761872,TX,REL,10,1762495761872,,0,send,203,77
1762495761905,TX,REL,11,1762495761905,,0,send,203,79
1762495761932,RX,ACK,8,1559170412,160.0,,ack,,4
1762495761938,TX,REL,12,1762495761938,,0,send,192,78
1762495761966,RX,ACK,9,1559170445,161.0,,ack,,4
1762495761972,TX,UNREL,,1762495761972,,0,send,,77
1762495762005,TX,UNREL,,1762495762005,,0,send,,79
1762495762032,RX,ACK,10,1559170512,160.0,,ack,,4
1762495762039,TX,REL,13,1762495762039,,0,send,179,78
1762495762066,RX,ACK,11,1559170545,161.0,,ack,,4
1762495762072,TX,REL,14,1762495762072,,0,send,175,77
1762495762099,RX,ACK,12,1559170578,161.0,,ack,,4
1762495762105,TX,REL,15,1762495762105,,0,send,172,77
1762495762138,TX,UNREL,,1762495762138,,0,send,,78
1762495762172,TX,REL,16,1762495762172,,0,send,172,78
1762495762199,RX,ACK,13,1559170678,161.0,,ack,,4
1762495762205,TX,REL,17,1762495762205,,0,send,169,77
1762495762233,RX,ACK,14,1559170712,161.0,,ack,,4
1762495762239,TX,UNREL,,1762495762239,,0,send,,78
1762495762266,RX,ACK,15,1559170745,161.0,,ack,,4
1762495762272,TX,UNREL,,1762495762272,,0,send,,75
1762495762305,TX,UNREL,,1762495762305,,0,send,,76
1762495762333,RX,ACK,16,1559170812,161.0,,ack,,4
1762495762339,TX,UNREL,,1762495762339,,0,send,,79
1762495762366,RX,ACK,17,1559170845,161.0,,ack,,4
1762495762372,TX,REL,18,1762495762372,,0,send,164,75
1762495762405,TX,UNREL,,1762495762405,,0,send,,77
1762495762438,TX,REL,19,1762495762438,,0,send,164,77
1762495762472,TX,REL,20,1762495762472,,0,send,164,80
1762495762505,TX,REL,21,1762495762505,,0,send,164,79
1762495762532,RX,ACK,18,1559171012,160.0,,ack,,4
1762495762539,TX,REL,22,1762495762539,,0,send,163,78
1762495762572,TX,REL,23,1762495762572,,0,send,163,77
1762495762599,RX,ACK,19,1559171078,161.0,,ack,,4
1762495762605,TX,REL,24,1762495762605,,0,send,163,78
1762495762632,RX,ACK,20,1559171112,160.0,,ack,,4
1762495762638,TX,REL,25,1762495762638,,0,send,163,76
1762495762666,RX,ACK,21,1559171145,161.0,,ack,,4
1762495762672,TX,REL,26,1762495762672,,0,send,162,78
1762495762699,RX,ACK,22,1559171178,161.0,,ack,,4
1762495762705,TX,REL,27,1762495762705,,0,send,162,78
1762495762733,RX,ACK,23,1559171212,160.0,,ack,,4
1762495762738,TX,REL,28,1762495762738,,0,send,162,78
1762495762766,RX,ACK,24,1559171245,161.0,,ack,,4
1762495762772,TX,REL,29,1762495762772,,0,send,162,78
1762495762799,RX,ACK,25,1559171278,161.0,,ack,,4
1762495762805,TX,REL,30,1762495762805,,0,send,162,76
1762495762832,RX,ACK,26,1559171312,160.0,,ack,,4
1762495762839,TX,REL,31,1762495762839,,0,send,162,77
1762495762866,RX,ACK,27,1559171345,161.0,,ack,,4
1762495762872,TX,REL,32,1762495762872,,0,send,162,78
1762495762899,RX,ACK,28,1559171378,161.0,,ack,,4
1762495762905,TX,REL,33,1762495762905,,0,send,162,77
1762495762933,RX,ACK,29,1559171412,161.0,,ack,,4
1762495762939,TX,REL,34,1762495762939,,0,send,162,77
1762495762966,RX,ACK,30,1559171445,161.0,,ack,,4
1762495762972,TX,REL,35,1762495762972,,0,send,161,77
1762495762999,RX,ACK,31,1559171478,161.0,,ack,,4
1762495763005,TX,REL,36,1762495763005,,0,send,161,75
1762495763032,RX,ACK,32,1559171512,160.0,,ack,,4
1762495763039,TX,UNREL,,1762495763039,,0,send,,77
1762495763066,RX,ACK,33,1559171545,161.0,,ack,,4
1762495763072,TX,UNREL,,1762495763072,,0,send,,78
1762495763099,RX,ACK,34,1559171579,160.0,,ack,,4
1762495763105,TX,REL,37,1762495763105,,0,send,162,80
1762495763132,RX,ACK,35,1559171612,160.0,,ack,,4
1762495763138,TX,REL,38,1762495763138,,0,send,162,78
1762495763166,RX,ACK,36,1559171645,161.0,,ack,,4
1762495763172,TX,UNREL,,1762495763172,,0,send,,77
1762495763205,TX,REL,39,1762495763205,,0,send,162,78
1762495763239,TX,REL,40,1762495763239,,0,send,162,77
1762495763266,RX,ACK,37,1559171745,160.0,,ack,,4
1762495763272,TX,REL,41,1762495763272,,0,send,162,77
1762495763299,RX,ACK,38,1559171778,161.0,,ack,,4
1762495763305,TX,REL,42,1762495763305,,0,send,162,78
1762495763338,TX,REL,43,1762495763338,,0,send,162,78
1762495763366,RX,ACK,39,1559171845,161.0,,ack,,4
1762495763372,TX,REL,44,1762495763372,,0,send,162,76
1762495763399,RX,ACK,40,1559171878,161.0,,ack,,4
1762495763405,TX,REL,45,1762495763405,,0,send,162,79
1762495763433,RX,ACK,41,1559171912,160.0,,ack,,4
1762495763438,TX,REL,46,1762495763438,,0,send,162,78
1762495763466,RX,ACK,42,1559171945,161.0,,ack,,4
1762495763472,TX,UNREL,,1762495763472,,0,send,,78
1762495763499,RX,ACK,43,1559171978,161.0,,ack,,4
1762495763505,TX,REL,47,1762495763505,,0,send,162,77
1762495763533,RX,ACK,44,1559172012,161.0,,ack,,4
1762495763538,TX,UNREL,,1762495763538,,0,send,,77
1762495763566,RX,ACK,45,1559172045,161.0,,ack,,4
1762495763572,TX,UNREL,,1762495763572,,0,send,,77
1762495763599,RX,ACK,46,1559172078,161.0,,ack,,4
1762495763605,TX,REL,48,1762495763605,,0,send,161,78
1762495763639,TX,REL,49,1762495763639,,0,send,161,78
1762495763665,RX,ACK,47,1559172145,160.0,,ack,,4
1762495763672,TX,REL,50,1762495763672,,0,send,162,77
1762495763705,TX,REL,51,1762495763705,,0,send,162,79
1762495763738,TX,REL,52,1762495763738,,0,send,162,78
1762495763766,RX,ACK,48,1559172245,161.0,,ack,,4
1762495763772,TX,REL,53,1762495763772,,0,send,161,79
1762495763799,RX,ACK,49,1559172278,161.0,,ack,,4
1762495763805,TX,REL,54,1762495763805,,0,send,161,78
1762495763832,RX,ACK,50,1559172312,160.0,,ack,,4
1762495763839,TX,REL,55,1762495763839,,0,send,162,77
1762495763866,RX,ACK,51,1559172345,161.0,,ack,,4
1762495763872,TX,REL,56,1762495763872,,0,send,162,79
1762495763899,RX,ACK,52,1559172378,161.0,,ack,,4
1762495763905,TX,REL,57,1762495763905,,0,send,161,79
1762495763933,RX,ACK,53,1559172412,161.0,,ack,,4
1762495763939,TX,UNREL,,1762495763939,,0,send,,77
1762495763966,RX,ACK,54,1559172445,161.0,,ack,,4
1762495763972,TX,REL,58,1762495763972,,0,send,161,77
1762495763999,RX,ACK,55,1559172478,161.0,,ack,,4
1762495764005,TX,REL,59,1762495764005,,0,send,161,77
1762495764032,RX,ACK,56,1559172512,160.0,,ack,,4
1762495764039,TX,REL,60,1762495764039,,0,send,162,78
1762495764066,RX,ACK,57,1559172545,161.0,,ack,,4
1762495764072,TX,REL,61,1762495764072,,0,send,161,77
1762495764105,TX,REL,62,1762495764105,,0,send,161,76
1762495764132,RX,ACK,58,1559172612,160.0,,ack,,4
1762495764138,TX,REL,63,1762495764138,,0,send,162,76
1762495764165,RX,ACK,59,1559172645,160.0,,ack,,4
1762495764172,TX,REL,64,1762495764172,,0,send,162,76
1762495764199,RX,ACK,60,1559172679,160.0,,ack,,4
1762495764205,TX,REL,65,1762495764205,,0,send,162,77
1762495764232,RX,ACK,61,1559172712,160.0,,ack,,4
1762495764238,TX,REL,66,1762495764238,,0,send,162,78
1762495764266,RX,ACK,62,1559172745,160.0,,ack,,4
1762495764272,TX,UNREL,,1762495764272,,0,send,,77
1762495764299,RX,ACK,63,1559172778,161.0,,ack,,4
1762495764305,TX,REL,67,1762495764305,,0,send,162,77
1762495764332,RX,ACK,64,1559172812,160.0,,ack,,4
1762495764339,TX,REL,68,1762495764339,,0,send,161,77
1762495764366,RX,ACK,65,1559172845,161.0,,ack,,4
1762495764372,TX,REL,69,1762495764372,,0,send,162,78
1762495764399,RX,ACK,66,1559172878,161.0,,ack,,4
1762495764405,TX,REL,70,1762495764405,,0,send,162,78
1762495764438,TX,UNREL,,1762495764438,,0,send,,78
1762495764466,RX,ACK,67,1559172945,161.0,,ack,,4
1762495764472,TX,REL,71,1762495764472,,0,send,162,77
1762495764499,RX,ACK,68,1559172978,161.0,,ack,,4
1762495764505,TX,REL,72,1762495764505,,0,send,162,79
1762495764532,RX,ACK,69,1559173012,160.0,,ack,,4
1762495764538,TX,UNREL,,1762495764538,,0,send,,78
1762495764566,RX,ACK,70,1559173045,161.0,,ack,,4
1762495764572,TX,REL,73,1762495764572,,0,send,162,77
1762495764605,TX,REL,74,1762495764605,,0,send,162,77
1762495764632,RX,ACK,71,1559173112,160.0,,ack,,4
1762495764638,TX,REL,75,1762495764638,,0,send,162,77
1762495764666,RX,ACK,72,1559173145,161.0,,ack,,4
1762495764672,TX,UNREL,,1762495764672,,0,send,,77
1762495764705,TX,REL,76,1762495764705,,0,send,162,77
1762495764733,RX,ACK,73,1559173212,161.0,,ack,,4
1762495764739,TX,REL,77,1762495764739,,0,send,162,78
1762495764765,RX,ACK,74,1559173245,160.0,,ack,,4
1762495764772,TX,UNREL,,1762495764772,,0,send,,78
1762495764800,RX,ACK,75,1559173278,161.0,,ack,,4
1762495764805,TX,UNREL,,1762495764805,,0,send,,80
1762495764838,TX,REL,78,1762495764838,,0,send,162,79
1762495764865,RX,ACK,76,1559173345,160.0,,ack,,4
1762495764872,TX,REL,79,1762495764872,,0,send,162,79
1762495764899,RX,ACK,77,1559173378,161.0,,ack,,4
1762495764905,TX,UNREL,,1762495764905,,0,send,,79
1762495764938,TX,REL,80,1762495764938,,0,send,162,79
1762495764972,TX,REL,81,1762495764972,,0,send,162,78
1762495764999,RX,ACK,78,1559173478,161.0,,ack,,4
1762495765005,TX,REL,82,1762495765005,,0,send,162,78
1762495765032,RX,ACK,79,1559173512,160.0,,ack,,4
1762495765038,TX,UNREL,,1762495765038,,0,send,,79
1762495765072,TX,REL,83,1762495765072,,0,send,162,79
1762495765099,RX,ACK,80,1559173578,161.0,,ack,,4
1762495765105,TX,UNREL,,1762495765105,,0,send,,79
1762495765132,RX,ACK,81,1559173612,160.0,,ack,,4
1762495765138,TX,REL,84,1762495765138,,0,send,162,78
1762495765166,RX,ACK,82,1559173645,161.0,,ack,,4
1762495765172,TX,REL,85,1762495765172,,0,send,162,78
1762495765205,TX,REL,86,1762495765205,,0,send,162,79
