ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495749062,TX,REL,0,1762495749062,,0,send,200,76
1762495749095,TX,REL,1,1762495749095,,0,send,200,76
1762495749128,TX,REL,2,1762495749128,,0,send,200,77
1762495749162,TX,UNREL,,1762495749162,,0,send,,76
1762495749195,TX,UNREL,,1762495749195,,0,send,,75
1762495749228,TX,REL,3,1762495749229,,0,send,200,79
1762495749256,RX,ACK,1,1559157735,161.0,,ack,,4
1762495749262,TX,UNREL,,1762495749262,,0,send,,76
1762495749267,TX,REL,0,1762495749267,,0,expire,200,76
1762495749289,RX,ACK,2,1559157768,161.0,,ack,,4
1762495749295,TX,REL,4,1762495749295,,0,send,200,76
1762495749328,TX,REL,5,1762495749328,,0,send,200,76
1762495749362,TX,REL,6,1762495749362,,0,send,200,76
1762495749389,RX,ACK,3,1559157868,161.0,,ack,,4
1762495749395,TX,REL,7,1762495749395,,0,send,200,78
1762495749428,TX,UNREL,,1762495749428,,0,send,,78
1762495749456,RX,ACK,4,1559157935,161.0,,ack,,4
1762495749462,TX,REL,8,1762495749462,,0,send,200,79
1762495749489,RX,ACK,5,1559157968,161.0,,ack,,4
1762495749495,TX,UNREL,,1762495749495,,0,send,,77
1762495749523,RX,ACK,6,1559158002,160.0,,ack,,4
1762495749528,TX,REL,9,1762495749528,,0,send,200,77
1762495749556,RX,ACK,7,1559158035,161.0,,ack,,4
1762495749562,TX,REL,10,1762495749562,,0,send,200,78
1762495749595,TX,REL,11,1762495749595,,0,send,200,78
1762495749622,RX,ACK,8,1559158102,160.0,,ack,,4
1762495749628,TX,REL,12,1762495749628,,0,send,200,78
1762495749662,TX,REL,13,1762495749662,,0,send,200,78
1762495749689,RX,ACK,9,1559158168,161.0,,ack,,4
1762495749695,TX,REL,14,1762495749695,,0,send,200,79
1762495749722,RX,ACK,10,1559158201,161.0,,ack,,4
1762495749728,TX,REL,15,1762495749728,,0,send,200,76
1762495749756,RX,ACK,11,1559158235,161.0,,ack,,4
1762495749762,TX,REL,16,1762495749762,,0,send,200,76
1762495749789,RX,ACK,12,1559158268,161.0,,ack,,4
1762495749795,TX,REL,17,1762495749795,,0,send,200,80
1762495749823,RX,ACK,13,1559158302,160.0,,ack,,4
1762495749828,TX,REL,18,1762495749828,,0,send,200,78
1762495749856,RX,ACK,14,1559158335,161.0,,ack,,4
1762495749862,TX,REL,19,1762495749862,,0,send,200,77
1762495749889,RX,ACK,15,1559158368,161.0,,ack,,4
1762495749895,TX,UNREL,,1762495749895,,0,send,,79
1762495749923,RX,ACK,16,1559158402,161.0,,ack,,4
1762495749928,TX,REL,20,1762495749928,,0,send,200,77
1762495749956,RX,ACK,17,1559158435,161.0,,ack,,4
1762495749962,TX,REL,21,1762495749962,,0,send,200,78
1762495749989,RX,ACK,18,1559158468,161.0,,ack,,4
1762495749995,TX,REL,22,1762495749995,,0,send,200,78
1762495750023,RX,ACK,19,1559158502,160.0,,ack,,4
1762495750028,TX,UNREL,,1762495750028,,0,send,,77
1762495750062,TX,UNREL,,1762495750062,,0,send,,77
1762495750090,RX,ACK,20,1559158568,161.0,,ack,,4
1762495750095,TX,REL,23,1762495750095,,0,send,200,78
1762495750123,RX,ACK,21,1559158602,161.0,,ack,,4
1762495750128,TX,REL,24,1762495750128,,0,send,200,79
1762495750156,RX,ACK,22,1559158635,161.0,,ack,,4
1762495750162,TX,REL,25,1762495750162,,0,send,200,77
1762495750195,TX,REL,26,1762495750195,,0,send,200,77
1762495750228,TX,REL,27,1762495750228,,0,send,200,78
1762495750256,RX,ACK,23,1559158735,161.0,,ack,,4
1762495750262,TX,REL,28,1762495750262,,0,send,200,77
1762495750289,RX,ACK,24,1559158768,161.0,,ack,,4
1762495750295,TX,REL,29,1762495750295,,0,send,200,77
1762495750323,RX,ACK,25,1559158802,161.0,,ack,,4
1762495750328,TX,REL,30,1762495750328,,0,send,200,76
1762495750356,RX,ACK,26,1559158835,161.0,,ack,,4
1762495750362,TX,REL,31,1762495750362,,0,send,200,77
1762495750389,RX,ACK,27,1559158868,161.0,,ack,,4
1762495750395,TX,REL,32,1762495750395,,0,send,200,77
1762495750423,RX,ACK,28,1559158902,161.0,,ack,,4
1762495750428,TX,UNREL,,1762495750428,,0,send,,77
1762495750456,RX,ACK,29,1559158935,161.0,,ack,,4
1762495750462,TX,UNREL,,1762495750462,,0,send,,78
1762495750489,RX,ACK,30,1559158968,161.0,,ack,,4
1762495750495,TX,REL,33,1762495750495,,0,send,200,78
1762495750523,RX,ACK,31,1559159002,161.0,,ack,,4
1762495750528,TX,REL,34,1762495750528,,0,send,200,79
1762495750556,RX,ACK,32,1559159035,161.0,,ack,,4
1762495750562,TX,REL,35,1762495750562,,0,send,200,78
1762495750595,TX,REL,36,1762495750595,,0,send,200,78
1762495750628,TX,REL,37,1762495750628,,0,send,200,76
1762495750656,RX,ACK,33,1559159135,161.0,,ack,,4
1762495750662,TX,REL,38,1762495750662,,0,send,200,75
1762495750689,RX,ACK,34,1559159168,161.0,,ack,,4
1762495750695,TX,UNREL,,1762495750695,,0,send,,77
1762495750723,RX,ACK,35,1559159202,161.0,,ack,,4
1762495750728,TX,REL,39,1762495750728,,0,send,200,78
1762495750756,RX,ACK,36,1559159235,161.0,,ack,,4
1762495750762,TX,REL,40,1762495750762,,0,send,200,77
1762495750790,RX,ACK,37,1559159268,161.0,,ack,,4
1762495750795,TX,UNREL,,1762495750795,,0,send,,77
1762495750823,RX,ACK,38,1559159302,161.0,,ack,,4
1762495750828,TX,UNREL,,1762495750828,,0,send,,78
1762495750862,TX,REL,41,1762495750862,,0,send,200,77
1762495750889,RX,ACK,39,1559159368,161.0,,ack,,4
1762495750895,TX,UNREL,,1762495750895,,0,send,,78
1762495750923,RX,ACK,40,1559159402,161.0,,ack,,4
1762495750928,TX,REL,42,1762495750928,,0,send,200,77
1762495750962,TX,REL,43,1762495750962,,0,send,200,77
1762495750995,TX,REL,44,1762495750995,,0,send,200,80
1762495751023,RX,ACK,41,1559159502,161.0,,ack,,4
1762495751028,TX,UNREL,,1762495751028,,0,send,,77
1762495751062,TX,REL,45,1762495751062,,0,send,200,78
1762495751089,RX,ACK,42,1559159568,161.0,,ack,,4
1762495751095,TX,REL,46,1762495751095,,0,send,200,78
1762495751123,RX,ACK,43,1559159602,161.0,,ack,,4
1762495751128,TX,REL,47,1762495751128,,0,send,200,78
1762495751156,RX,ACK,44,1559159635,161.0,,ack,,4
1762495751162,TX,REL,48,1762495751162,,0,send,200,78
1762495751195,TX,REL,49,1762495751195,,0,send,200,77
1762495751223,RX,ACK,45,1559159701,161.0,,ack,,4
1762495751228,TX,REL,50,1762495751228,,0,send,200,77
1762495751255,RX,ACK,46,1559159735,160.0,,ack,,4
1762495751262,TX,REL,51,1762495751262,,0,send,200,78
1762495751289,RX,ACK,47,1559159768,161.0,,ack,,4
1762495751295,TX,REL,52,1762495751295,,0,send,200,77
1762495751323,RX,ACK,48,1559159802,161.0,,ack,,4
1762495751328,TX,UNREL,,1762495751328,,0,send,,78
1762495751356,RX,ACK,49,1559159835,161.0,,ack,,4
1762495751362,TX,REL,53,1762495751362,,0,send,200,78
1762495751389,RX,ACK,50,1559159868,161.0,,ack,,4
1762495751395,TX,UNREL,,1762495751395,,0,send,,78
1762495751423,RX,ACK,51,1559159901,161.0,,ack,,4
1762495751428,TX,REL,54,1762495751428,,0,send,200,78
1762495751456,RX,ACK,52,1559159935,161.0,,ack,,4
1762495751462,TX,REL,55,1762495751462,,0,send,200,77
1762495751495,TX,REL,56,1762495751495,,0,send,200,77
1762495751523,RX,ACK,53,1559160002,161.0,,ack,,4
1762495751528,TX,REL,57,1762495751528,,0,send,200,77
1762495751562,TX,REL,58,1762495751562,,0,send,200,78
1762495751589,RX,ACK,54,1559160068,161.0,,ack,,4
1762495751595,TX,REL,59,1762495751595,,0,send,200,79
1762495751623,RX,ACK,55,1559160102,161.0,,ack,,4
1762495751628,TX,UNREL,,1762495751628,,0,send,,77
1762495751656,RX,ACK,56,1559160135,161.0,,ack,,4
1762495751662,TX,REL,60,1762495751662,,0,send,200,77
1762495751689,RX,ACK,57,1559160168,161.0,,ack,,4
1762495751695,TX,REL,61,1762495751695,,0,send,200,76
