ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495788142,RX,UNREL,,1559196725,,,recv,,77
1762495788156,RX,REL,2,1559196692,,,recv,,76
1762495788157,RX,REL,2,,,,deliver,,0
1762495788186,RX,REL,3,1559196792,,,recv,,76
1762495788186,RX,REL,3,,,,deliver,,0
1762495788194,RX,UNREL,,1559196759,,,recv,,77
1762495788239,RX,REL,4,1559196826,,,recv,,77
1762495788239,RX,REL,4,,,,deliver,,0
1762495788278,RX,UNREL,,1559196859,,,recv,,76
1762495788306,RX,REL,5,1559196892,,,recv,,77
1762495788306,RX,REL,5,,,,deliver,,0
1762495788328,RX,REL,6,1559196925,,,recv,,77
1762495788329,RX,REL,6,,,,deliver,,0
1762495788363,RX,REL,7,1559196959,,,recv,,77
1762495788363,RX,REL,7,,,,deliver,,0
1762495788386,RX,REL,8,1559196992,,,recv,,77
1762495788387,RX,REL,8,,,,deliver,,0
1762495788458,RX,REL,9,1559197025,,,recv,,79
1762495788458,RX,REL,9,,,,deliver,,0
1762495788476,RX,UNREL,,1559197059,,,recv,,77
1762495788493,RX,REL,10,1559197092,,,recv,,77
1762495788493,RX,REL,10,,,,deliver,,0
1762495788557,RX,REL,11,1559197125,,,recv,,77
1762495788557,RX,REL,11,,,,deliver,,0
1762495788560,RX,REL,12,1559197159,,,recv,,78
1762495788560,RX,REL,12,,,,deliver,,0
1762495788565,RX,UNREL,,1559197192,,,recv,,80
1762495788646,RX,REL,13,1559197225,,,recv,,79
1762495788646,RX,REL,13,,,,deliver,,0
1762495788693,RX,REL,14,1559197259,,,recv,,76
1762495788693,RX,REL,14,,,,deliver,,0
1762495788705,RX,REL,15,1559197292,,,recv,,77
1762495788705,RX,REL,15,,,,deliver,,0
1762495788749,RX,UNREL,,1559197325,,,recv,,77
1762495788783,RX,REL,16,1559197359,,,recv,,77
1762495788783,RX,REL,16,,,,deliver,,0
1762495788832,RX,REL,17,1559197392,,,recv,,76
1762495788832,RX,REL,17,,,,deliver,,0
1762495788835,RX,REL,18,1559197425,,,recv,,77
1762495788835,RX,REL,18,,,,deliver,,0
1762495788846,RX,REL,19,1559197459,,,recv,,78
1762495788846,RX,REL,19,,,,deliver,,0
1762495788904,RX,REL,20,1559197492,,,recv,,79
1762495788904,RX,REL,20,,,,deliver,,0
1762495788944,RX,REL,21,1559197525,,,recv,,78
1762495788944,RX,REL,21,,,,deliver,,0
1762495788996,RX,REL,22,1559197559,,,recv,,78
1762495789000,RX,REL,22,,,,deliver,,0
1762495789006,RX,REL,24,1559197625,,,recv,,78
1762495789006,RX,REL,24,,,,buffer,,0
1762495789013,RX,REL,23,1559197592,,,recv,,78
1762495789013,RX,REL,23,,,,deliver,,0
1762495789013,RX,REL,24,,,,deliver,,0
1762495789058,RX,REL,26,1559197692,,,recv,,78
1762495789058,RX,REL,26,,,,buffer,,0
1762495789076,RX,REL,25,1559197659,,,recv,,78
1762495789076,RX,REL,25,,,,deliver,,0
1762495789076,RX,REL,26,,,,deliver,,0
1762495789157,RX,UNREL,,1559197725,,,recv,,78
1762495789171,RX,REL,28,1559197792,,,recv,,78
1762495789171,RX,REL,28,,,,buffer,,0
1762495789175,RX,REL,27,1559197758,,,recv,,78
1762495789176,RX,REL,27,,,,deliver,,0
1762495789176,RX,REL,28,,,,deliver,,0
1762495789250,RX,REL,30,1559197859,,,recv,,78
1762495789250,RX,REL,30,,,,buffer,,0
