ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495775767,RX,REL,4,1559184380,,,recv,,77
1762495775768,RX,REL,4,,,,deliver,,0
1762495775771,RX,REL,3,1559184347,,,recv,,78
1762495775771,RX,REL,3,,,,dup,,0
1762495775844,RX,REL,5,1559184414,,,recv,,77
1762495775844,RX,REL,5,,,,deliver,,0
1762495775862,RX,UNREL,,1559184480,,,recv,,78
1762495775869,RX,REL,6,1559184447,,,recv,,77
1762495775869,RX,REL,6,,,,deliver,,0
1762495775902,RX,REL,7,1559184513,,,recv,,77
1762495775902,RX,REL,7,,,,deliver,,0
1762495775942,RX,UNREL,,1559184547,,,recv,,76
1762495775990,RX,REL,8,1559184580,,,recv,,78
1762495775991,RX,REL,8,,,,deliver,,0
1762495776004,RX,REL,9,1559184613,,,recv,,79
1762495776004,RX,REL,9,,,,deliver,,0
1762495776043,RX,REL,10,1559184647,,,recv,,79
1762495776044,RX,REL,10,,,,deliver,,0
1762495776087,RX,REL,12,1559184713,,,recv,,78
1762495776087,RX,REL,12,,,,buffer,,0
1762495776096,RX,REL,11,1559184680,,,recv,,76
1762495776096,RX,REL,11,,,,deliver,,0
1762495776096,RX,REL,12,,,,deliver,,0
1762495776141,RX,REL,13,1559184747,,,recv,,77
1762495776141,RX,REL,13,,,,deliver,,0
1762495776199,RX,REL,14,1559184780,,,recv,,77
1762495776199,RX,REL,14,,,,deliver,,0
1762495776223,RX,REL,15,1559184814,,,recv,,77
1762495776223,RX,REL,15,,,,deliver,,0
1762495776262,RX,UNREL,,1559184847,,,recv,,77
1762495776319,RX,UNREL,,1559184880,,,recv,,76
1762495776332,RX,REL,16,1559184914,,,recv,,77
1762495776332,RX,REL,16,,,,deliver,,0
1762495776378,RX,REL,17,1559184947,,,recv,,78
1762495776379,RX,REL,17,,,,deliver,,0
1762495776388,RX,REL,18,1559184980,,,recv,,78
1762495776388,RX,REL,18,,,,deliver,,0
1762495776423,RX,REL,19,1559185014,,,recv,,77
1762495776424,RX,REL,19,,,,deliver,,0
1762495776448,RX,REL,20,1559185047,,,recv,,77
1762495776448,RX,REL,20,,,,deliver,,0
1762495776487,RX,REL,21,1559185080,,,recv,,77
1762495776487,RX,REL,21,,,,deliver,,0
1762495776487,RX,UNREL,,1559185114,,,recv,,77
1762495776548,RX,REL,22,1559185147,,,recv,,79
1762495776548,RX,REL,22,,,,deliver,,0
1762495776612,RX,REL,23,1559185180,,,recv,,78
1762495776612,RX,REL,23,,,,deliver,,0
1762495776647,RX,REL,24,1559185214,,,recv,,77
1762495776647,RX,REL,24,,,,deliver,,0
1762495776647,RX,REL,25,1559185280,,,recv,,79
1762495776648,RX,REL,25,,,,deliver,,0
1762495776664,RX,UNREL,,1559185247,,,recv,,78
1762495776698,RX,REL,26,1559185313,,,recv,,78
1762495776698,RX,REL,26,,,,deliver,,0
1762495776752,RX,REL,27,1559185347,,,recv,,77
1762495776752,RX,REL,27,,,,deliver,,0
1762495776803,RX,REL,28,1559185380,,,recv,,78
1762495776803,RX,REL,28,,,,deliver,,0
1762495776813,RX,UNREL,,1559185414,,,recv,,76
1762495776846,RX,REL,29,1559185447,,,recv,,78
1762495776846,RX,REL,29,,,,deliver,,0
1762495776879,RX,REL,31,1559185514,,,recv,,76
1762495776879,RX,REL,31,,,,buffer,,0
1762495776903,RX,REL,30,1559185480,,,recv,,78
1762495776903,RX,REL,30,,,,deliver,,0
1762495776903,RX,REL,31,,,,deliver,,0
1762495776945,RX,REL,32,1559185547,,,recv,,77
1762495776945,RX,REL,32,,,,deliver,,0
1762495776987,RX,REL,33,1559185580,,,recv,,79
1762495776987,RX,REL,33,,,,deliver,,0
1762495777022,RX,REL,34,1559185614,,,recv,,77
1762495777023,RX,REL,34,,,,deliver,,0
1762495777029,RX,REL,35,1559185647,,,recv,,77
1762495777029,RX,REL,35,,,,deliver,,0
1762495777100,RX,REL,36,1559185680,,,recv,,80
1762495777100,RX,REL,36,,,,deliver,,0
1762495777122,RX,REL,37,1559185713,,,recv,,78
1762495777122,RX,REL,37,,,,deliver,,0
1762495777145,RX,REL,38,1559185747,,,recv,,77
1762495777145,RX,REL,38,,,,deliver,,0
1762495777175,RX,REL,39,1559185780,,,recv,,77
1762495777175,RX,REL,39,,,,deliver,,0
1762495777215,RX,REL,40,1559185813,,,recv,,77
1762495777215,RX,REL,40,,,,deliver,,0
1762495777251,RX,UNREL,,1559185847,,,recv,,78
1762495777269,RX,REL,41,1559185880,,,recv,,79
1762495777269,RX,REL,41,,,,deliver,,0
1762495777316,RX,UNREL,,1559185913,,,recv,,78
1762495777351,RX,UNREL,,1559185947,,,recv,,77
1762495777384,RX,REL,43,1559186013,,,recv,,76
1762495777384,RX,REL,43,,,,buffer,,0
1762495777404,RX,REL,42,1559185980,,,recv,,76
1762495777404,RX,REL,42,,,,deliver,,0
1762495777404,RX,REL,43,,,,deliver,,0
1762495777421,RX,REL,44,1559186047,,,recv,,77
1762495777421,RX,REL,44,,,,deliver,,0
1762495777485,RX,REL,45,1559186080,,,recv,,76
1762495777485,RX,REL,45,,,,deliver,,0
1762495777522,RX,REL,46,1559186114,,,recv,,77
1762495777523,RX,REL,46,,,,deliver,,0
1762495777541,RX,UNREL,,1559186147,,,recv,,78
1762495777563,RX,REL,47,1559186180,,,recv,,76
1762495777563,RX,REL,47,,,,deliver,,0
1762495777574,RX,REL,48,1559186213,,,recv,,78
