ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495787985,TX,REL,0,1762495787985,,0,send,200,76
1762495788019,TX,REL,1,1762495788019,,0,send,200,78
1762495788052,TX,REL,2,1762495788052,,0,send,200,76
1762495788085,TX,UNREL,,1762495788085,,0,send,,77
1762495788119,TX,UNREL,,1762495788119,,0,send,,77
1762495788152,TX,REL,3,1762495788152,,0,send,200,76
1762495788186,TX,REL,4,1762495788186,,0,send,200,77
1762495788191,TX,REL,0,1762495788191,,0,expire,200,76
1762495788201,RX,ACK,2,1559196692,149.0,,ack,,4
1762495788219,TX,UNREL,,1762495788219,,0,send,,76
1762495788220,RX,ACK,3,1559196792,68.0,,ack,,4
1762495788222,TX,REL,1,1762495788222,,0,expire,200,78
1762495788252,TX,REL,5,1762495788252,,0,send,300,77
1762495788285,TX,REL,6,1762495788285,,0,send,300,77
1762495788289,RX,ACK,4,1559196826,103.0,,ack,,4
1762495788319,TX,REL,7,1762495788319,,0,send,300,77
1762495788352,TX,REL,8,1762495788352,,0,send,300,77
1762495788354,RX,ACK,5,1559196892,102.0,,ack,,4
1762495788373,RX,ACK,7,1559196959,54.0,,ack,,4
1762495788385,TX,REL,9,1762495788385,,0,send,300,79
1762495788401,RX,ACK,6,1559196925,116.0,,ack,,4
1762495788419,TX,UNREL,,1762495788419,,0,send,,77
1762495788424,RX,ACK,8,1559196992,72.0,,ack,,4
1762495788452,TX,REL,10,1762495788452,,0,send,258,77
1762495788486,TX,REL,11,1762495788486,,0,send,258,77
1762495788505,RX,ACK,9,1559197025,119.0,,ack,,4
1762495788519,TX,REL,12,1762495788519,,0,send,226,78
1762495788542,RX,ACK,10,1559197092,90.0,,ack,,4
1762495788552,TX,UNREL,,1762495788552,,0,send,,80
1762495788585,TX,REL,13,1762495788585,,0,send,213,79
1762495788595,RX,ACK,12,1559197159,76.0,,ack,,4
1762495788597,RX,ACK,11,1559197125,112.0,,ack,,4
1762495788619,TX,REL,14,1762495788619,,0,send,189,76
1762495788652,TX,REL,15,1762495788652,,0,send,189,77
1762495788675,RX,ACK,13,1559197225,90.0,,ack,,4
1762495788685,TX,UNREL,,1762495788685,,0,send,,77
1762495788719,TX,REL,16,1762495788719,,0,send,179,77
1762495788753,TX,REL,17,1762495788753,,0,send,179,76
1762495788762,RX,ACK,15,1559197292,110.0,,ack,,4
1762495788770,RX,ACK,14,1559197259,151.0,,ack,,4
1762495788786,TX,REL,18,1762495788786,,0,send,189,77
1762495788804,RX,ACK,16,1559197359,85.0,,ack,,4
1762495788819,TX,REL,19,1762495788819,,0,send,186,78
1762495788852,TX,REL,20,1762495788852,,0,send,186,79
1762495788860,RX,ACK,17,1559197392,108.0,,ack,,4
1762495788880,RX,ACK,18,1559197425,95.0,,ack,,4
1762495788886,TX,REL,21,1762495788886,,0,send,161,78
1762495788886,RX,ACK,19,1559197459,67.0,,ack,,4
1762495788919,TX,REL,22,1762495788919,,0,send,172,78
1762495788922,RX,ACK,20,1559197492,70.0,,ack,,4
1762495788952,TX,REL,23,1762495788952,,0,send,174,78
1762495788985,TX,REL,24,1762495788985,,0,send,174,78
1762495789003,RX,ACK,21,1559197525,118.0,,ack,,4
1762495789014,RX,ACK,24,1559197625,29.0,,ack,,4
1762495789019,TX,REL,25,1762495789019,,0,send,199,78
1762495789040,RX,ACK,22,1559197559,121.0,,ack,,4
1762495789052,TX,REL,26,1762495789052,,0,send,198,78
1762495789076,RX,ACK,23,1559197592,124.0,,ack,,4
1762495789076,RX,ACK,26,1559197692,24.0,,ack,,4
1762495789085,TX,UNREL,,1762495789085,,0,send,,78
1762495789118,RX,ACK,25,1559197659,99.0,,ack,,4
1762495789119,TX,REL,27,1762495789119,,0,send,195,78
1762495789152,TX,REL,28,1762495789152,,0,send,195,78
1762495789177,RX,ACK,27,1559197758,59.0,,ack,,4
1762495789186,TX,REL,29,1762495789186,,0,send,189,78
1762495789219,TX,REL,30,1762495789219,,0,send,189,78
1762495789225,RX,ACK,28,1559197792,73.0,,ack,,4
1762495789253,TX,REL,31,1762495789253,,0,send,171,79
1762495789261,RX,ACK,30,1559197859,42.0,,ack,,4
1762495789285,TX,UNREL,,1762495789285,,0,send,,77
1762495789290,RX,ACK,29,1559197825,105.0,,ack,,4
1762495789317,RX,ACK,31,1559197892,65.0,,ack,,4
1762495789319,TX,REL,32,1762495789319,,0,send,162,78
1762495789352,TX,REL,33,1762495789352,,0,send,162,78
1762495789386,TX,REL,34,1762495789386,,0,send,162,78
1762495789386,RX,ACK,32,1559197959,66.0,,ack,,4
1762495789419,TX,REL,35,1762495789419,,0,send,151,77
1762495789440,RX,ACK,33,1559197992,88.0,,ack,,4
1762495789449,RX,ACK,34,1559198025,64.0,,ack,,4
1762495789452,TX,REL,36,1762495789452,,0,send,135,78
1762495789474,RX,ACK,35,1559198059,55.0,,ack,,4
1762495789486,TX,REL,37,1762495789486,,0,send,135,78
1762495789519,TX,REL,38,1762495789519,,0,send,135,79
1762495789552,TX,REL,39,1762495789552,,0,send,135,77
1762495789576,RX,ACK,37,1559198125,91.0,,ack,,4
1762495789585,TX,REL,40,1762495789585,,0,send,134,76
1762495789586,RX,ACK,38,1559198159,67.0,,ack,,4
1762495789590,RX,ACK,36,1559198092,138.0,,ack,,4
1762495789619,TX,REL,41,1762495789619,,0,send,168,77
1762495789628,RX,ACK,39,1559198192,76.0,,ack,,4
1762495789652,TX,UNREL,,1762495789652,,0,send,,79
1762495789655,RX,ACK,40,1559198225,70.0,,ack,,4
1762495789685,TX,UNREL,,1762495789685,,0,send,,78
1762495789719,TX,REL,42,1762495789719,,0,send,142,77
1762495789722,RX,ACK,41,1559198259,103.0,,ack,,4
1762495789752,TX,REL,43,1762495789752,,0,send,146,77
1762495789785,TX,UNREL,,1762495789785,,0,send,,77
1762495789786,RX,ACK,42,1559198359,67.0,,ack,,4
1762495789819,TX,REL,44,1762495789819,,0,send,141,77
1762495789834,RX,ACK,43,1559198392,81.0,,ack,,4
1762495789852,TX,REL,45,1762495789852,,0,send,126,78
1762495789885,TX,REL,46,1762495789885,,0,send,126,77
1762495789903,RX,ACK,44,1559198459,84.0,,ack,,4
1762495789919,TX,REL,47,1762495789919,,0,send,120,79
1762495789919,RX,ACK,45,1559198492,67.0,,ack,,4
1762495789952,TX,REL,48,1762495789952,,0,send,120,78
1762495789985,TX,REL,49,1762495789985,,0,send,120,78
1762495790017,RX,ACK,46,1559198525,131.0,,ack,,4
1762495790019,TX,REL,50,1762495790019,,0,send,153,78
1762495790022,RX,ACK,47,1559198559,103.0,,ack,,4
1762495790039,RX,ACK,48,1559198592,87.0,,ack,,4
1762495790052,TX,REL,51,1762495790052,,0,send,136,78
1762495790053,RX,ACK,49,1559198625,68.0,,ack,,4
1762495790085,TX,UNREL,,1762495790085,,0,send,,79
1762495790105,RX,ACK,50,1559198659,86.0,,ack,,4
1762495790119,TX,REL,52,1762495790119,,0,send,124,78
1762495790131,RX,ACK,51,1559198692,79.0,,ack,,4
1762495790152,TX,REL,53,1762495790152,,0,send,120,78
1762495790185,TX,UNREL,,1762495790185,,0,send,,75
1762495790211,RX,ACK,53,1559198792,59.0,,ack,,4
1762495790214,RX,ACK,52,1559198758,96.0,,ack,,4
1762495790218,TX,UNREL,,1762495790218,,0,send,,77
1762495790252,TX,REL,54,1762495790252,,0,send,127,78
1762495790285,TX,REL,55,1762495790285,,0,send,127,77
1762495790319,TX,REL,56,1762495790319,,0,send,127,77
1762495790348,RX,ACK,54,1559198892,96.0,,ack,,4
1762495790352,TX,REL,57,1762495790352,,0,send,127,78
1762495790372,RX,ACK,55,1559198925,87.0,,ack,,4
1762495790385,TX,REL,58,1762495790385,,0,send,120,77
1762495790393,RX,ACK,56,1559198959,74.0,,ack,,4
1762495790419,TX,REL,59,1762495790419,,0,send,120,78
1762495790451,RX,ACK,57,1559198992,99.0,,ack,,4
1762495790452,TX,UNREL,,1762495790452,,0,send,,77
1762495790485,RX,ACK,58,1559199025,99.0,,ack,,4
1762495790485,TX,REL,60,1762495790485,,0,send,124,77
1762495790501,RX,ACK,59,1559199058,83.0,,ack,,4
1762495790512,RX,ACK,60,1559199125,27.0,,ack,,4
1762495790519,TX,REL,61,1762495790519,,0,send,147,77
1762495790552,TX,REL,62,1762495790552,,0,send,147,77
1762495790585,TX,REL,63,1762495790585,,0,send,147,77
1762495790609,RX,ACK,61,1559199158,90.0,,ack,,4
1762495790619,TX,REL,64,1762495790619,,0,send,139,80
1762495790625,RX,ACK,62,1559199192,73.0,,ack,,4
1762495790652,TX,REL,65,1762495790652,,0,send,129,77
1762495790675,RX,ACK,63,1559199225,90.0,,ack,,4
1762495790679,RX,ACK,64,1559199258,61.0,,ack,,4
1762495790685,TX,REL,66,1762495790685,,0,send,127,78
1762495790718,TX,REL,67,1762495790718,,0,send,127,79
1762495790752,TX,REL,68,1762495790752,,0,send,127,76
1762495790763,RX,ACK,66,1559199325,77.0,,ack,,4
1762495790776,RX,ACK,65,1559199292,124.0,,ack,,4
1762495790785,TX,REL,69,1762495790785,,0,send,146,77
1762495790819,TX,REL,70,1762495790819,,0,send,146,77
1762495790831,RX,ACK,67,1559199358,113.0,,ack,,4
1762495790852,RX,ACK,68,1559199392,99.0,,ack,,4
1762495790852,TX,REL,71,1762495790852,,0,send,149,77
1762495790885,TX,REL,72,1762495790885,,0,send,149,79
1762495790890,RX,ACK,69,1559199425,105.0,,ack,,4
1762495790919,TX,UNREL,,1762495790919,,0,send,,77
1762495790936,RX,ACK,70,1559199458,117.0,,ack,,4
1762495790940,RX,ACK,71,1559199492,88.0,,ack,,4
1762495790952,TX,REL,73,1762495790952,,0,send,144,77
1762495790960,RX,ACK,72,1559199525,75.0,,ack,,4
1762495790985,TX,REL,74,1762495790985,,0,send,143,79
1762495791018,TX,UNREL,,1762495791018,,0,send,,76
1762495791032,RX,ACK,73,1559199592,80.0,,ack,,4
1762495791052,TX,REL,75,1762495791052,,0,send,137,77
1762495791064,RX,ACK,74,1559199625,78.0,,ack,,4
1762495791085,TX,REL,76,1762495791085,,0,send,132,78
