ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495775607,TX,REL,0,1762495775607,,0,send,200,77
1762495775640,TX,REL,1,1762495775640,,0,send,200,77
1762495775674,TX,REL,2,1762495775674,,0,send,200,76
1762495775707,TX,REL,3,1762495775707,,0,send,200,78
1762495775740,TX,REL,4,1762495775740,,0,send,200,77
1762495775774,TX,REL,5,1762495775774,,0,send,200,77
1762495775794,RX,ACK,3,1559184347,87.0,,ack,,4
1762495775807,TX,REL,6,1762495775807,,0,send,200,77
1762495775812,TX,REL,0,1762495775812,,0,expire,200,77
1762495775832,RX,ACK,4,1559184380,92.0,,ack,,4
1762495775840,TX,UNREL,,1762495775840,,0,send,,78
1762495775843,TX,REL,1,1762495775843,,0,expire,200,77
1762495775874,TX,REL,7,1762495775874,,0,send,200,77
1762495775874,TX,REL,2,1762495775874,,0,expire,200,76
1762495775878,RX,ACK,5,1559184414,104.0,,ack,,4
1762495775907,TX,UNREL,,1762495775907,,0,send,,76
1762495775914,RX,ACK,6,1559184447,106.0,,ack,,4
1762495775935,RX,ACK,7,1559184513,62.0,,ack,,4
1762495775940,TX,REL,8,1762495775940,,0,send,200,78
1762495775973,TX,REL,9,1762495775973,,0,send,200,79
1762495776007,TX,REL,10,1762495776007,,0,send,200,79
1762495776040,TX,REL,11,1762495776040,,0,send,200,76
1762495776060,RX,ACK,9,1559184613,87.0,,ack,,4
1762495776068,RX,ACK,8,1559184580,128.0,,ack,,4
1762495776071,RX,ACK,10,1559184647,64.0,,ack,,4
1762495776074,TX,REL,12,1762495776074,,0,send,200,78
1762495776105,RX,ACK,12,1559184713,32.0,,ack,,4
1762495776107,TX,REL,13,1762495776107,,0,send,200,77
1762495776140,TX,REL,14,1762495776140,,0,send,200,77
1762495776141,RX,ACK,11,1559184680,101.0,,ack,,4
1762495776166,RX,ACK,13,1559184747,59.0,,ack,,4
1762495776174,TX,REL,15,1762495776174,,0,send,200,77
1762495776207,TX,UNREL,,1762495776207,,0,send,,77
1762495776233,RX,ACK,14,1559184780,92.0,,ack,,4
1762495776240,TX,UNREL,,1762495776240,,0,send,,76
1762495776247,RX,ACK,15,1559184814,73.0,,ack,,4
1762495776274,TX,REL,16,1762495776274,,0,send,200,77
1762495776307,TX,REL,17,1762495776307,,0,send,200,78
1762495776340,TX,REL,18,1762495776340,,0,send,200,78
1762495776374,TX,REL,19,1762495776374,,0,send,200,77
1762495776375,RX,ACK,16,1559184914,101.0,,ack,,4
1762495776407,TX,REL,20,1762495776407,,0,send,200,77
1762495776440,TX,REL,21,1762495776440,,0,send,200,77
1762495776447,RX,ACK,18,1559184980,107.0,,ack,,4
1762495776452,RX,ACK,19,1559185014,78.0,,ack,,4
