ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495814424,RX,REL,6,1559223064,,,recv,,76
1762495814424,RX,REL,6,,,,deliver,,0
1762495814429,RX,REL,1,1559223069,,,recv,,79
1762495814429,RX,REL,1,,,,dup,,0
1762495814429,RX,REL,2,1559223069,,,recv,,74
1762495814429,RX,REL,2,,,,dup,,0
1762495814457,RX,REL,7,1559223097,,,recv,,77
1762495814457,RX,REL,7,,,,deliver,,0
1762495814481,RX,REL,4,1559223121,,,recv,,78
1762495814482,RX,REL,4,,,,dup,,0
1762495814512,RX,REL,5,1559223152,,,recv,,76
1762495814513,RX,REL,5,,,,dup,,0
1762495814524,RX,REL,9,1559223164,,,recv,,76
1762495814524,RX,REL,9,,,,buffer,,0
1762495814558,RX,REL,10,1559223197,,,recv,,78
1762495814558,RX,REL,10,,,,buffer,,0
1762495814591,RX,REL,11,1559223230,,,recv,,77
1762495814591,RX,REL,11,,,,buffer,,0
1762495814624,RX,REL,12,1559223264,,,recv,,77
1762495814624,RX,REL,12,,,,buffer,,0
1762495814657,RX,UNREL,,1559223297,,,recv,,77
1762495814691,RX,REL,13,1559223331,,,recv,,77
1762495814691,RX,REL,13,,,,buffer,,0
1762495814725,RX,REL,14,1559223364,,,recv,,77
1762495814725,RX,REL,8,,,,skip,,0
1762495814725,RX,REL,9,,,,deliver,,0
1762495814725,RX,REL,10,,,,deliver,,0
1762495814726,RX,REL,11,,,,deliver,,0
1762495814726,RX,REL,12,,,,deliver,,0
1762495814726,RX,REL,13,,,,deliver,,0
1762495814727,RX,REL,14,,,,deliver,,0
1762495814758,RX,REL,15,1559223397,,,recv,,77
1762495814758,RX,REL,15,,,,deliver,,0
1762495814791,RX,REL,16,1559223430,,,recv,,77
1762495814791,RX,REL,16,,,,deliver,,0
1762495814824,RX,REL,17,1559223464,,,recv,,77
1762495814825,RX,REL,17,,,,deliver,,0
1762495814857,RX,REL,18,1559223497,,,recv,,78
1762495814857,RX,REL,18,,,,deliver,,0
1762495814891,RX,REL,19,1559223531,,,recv,,77
1762495814892,RX,REL,19,,,,deliver,,0
1762495814924,RX,REL,20,1559223564,,,recv,,77
1762495814925,RX,REL,20,,,,deliver,,0
1762495814958,RX,REL,21,1559223597,,,recv,,76
1762495814958,RX,REL,21,,,,deliver,,0
1762495814991,RX,REL,22,1559223630,,,recv,,78
1762495814991,RX,REL,22,,,,deliver,,0
1762495815024,RX,REL,23,1559223664,,,recv,,77
1762495815024,RX,REL,23,,,,deliver,,0
1762495815057,RX,REL,24,1559223697,,,recv,,77
1762495815058,RX,REL,24,,,,deliver,,0
1762495815091,RX,REL,25,1559223731,,,recv,,78
1762495815091,RX,REL,25,,,,deliver,,0
1762495815124,RX,REL,26,1559223764,,,recv,,77
1762495815124,RX,REL,26,,,,deliver,,0
1762495815157,RX,REL,27,1559223797,,,recv,,79
1762495815158,RX,REL,27,,,,deliver,,0
1762495815191,RX,REL,28,1559223830,,,recv,,79
1762495815191,RX,REL,28,,,,deliver,,0
1762495815224,RX,REL,29,1559223864,,,recv,,78
1762495815224,RX,REL,29,,,,deliver,,0
1762495815258,RX,UNREL,,1559223897,,,recv,,80
1762495815291,RX,UNREL,,1559223931,,,recv,,78
1762495815324,RX,UNREL,,1559223964,,,recv,,77
1762495815357,RX,REL,30,1559223997,,,recv,,77
1762495815358,RX,REL,30,,,,deliver,,0
1762495815391,RX,REL,31,1559224031,,,recv,,78
1762495815392,RX,REL,31,,,,deliver,,0
1762495815424,RX,REL,32,1559224064,,,recv,,78
1762495815425,RX,REL,32,,,,deliver,,0
1762495815458,RX,UNREL,,1559224097,,,recv,,78
1762495815491,RX,REL,33,1559224131,,,recv,,77
1762495815491,RX,REL,33,,,,deliver,,0
1762495815524,RX,REL,34,1559224164,,,recv,,78
1762495815524,RX,REL,34,,,,deliver,,0
1762495815558,RX,REL,35,1559224197,,,recv,,78
1762495815558,RX,REL,35,,,,deliver,,0
1762495815591,RX,UNREL,,1559224231,,,recv,,77
1762495815624,RX,REL,36,1559224264,,,recv,,77
1762495815625,RX,REL,36,,,,deliver,,0
1762495815658,RX,REL,37,1559224297,,,recv,,75
1762495815658,RX,REL,37,,,,deliver,,0
1762495815691,RX,UNREL,,1559224331,,,recv,,78
1762495815724,RX,REL,38,1559224364,,,recv,,77
1762495815725,RX,REL,38,,,,deliver,,0
1762495815757,RX,REL,39,1559224397,,,recv,,77
1762495815758,RX,REL,39,,,,deliver,,0
1762495815791,RX,REL,40,1559224431,,,recv,,78
1762495815791,RX,REL,40,,,,deliver,,0
1762495815824,RX,REL,41,1559224464,,,recv,,77
1762495815824,RX,REL,41,,,,deliver,,0
1762495815857,RX,REL,42,1559224497,,,recv,,78
1762495815858,RX,REL,42,,,,deliver,,0
1762495815891,RX,REL,43,1559224531,,,recv,,79
1762495815891,RX,REL,43,,,,deliver,,0
1762495815924,RX,REL,44,1559224564,,,recv,,79
1762495815924,RX,REL,44,,,,deliver,,0
1762495815991,RX,REL,46,1559224631,,,recv,,78
1762495815991,RX,REL,46,,,,buffer,,0
1762495816024,RX,REL,47,1559224664,,,recv,,77
1762495816024,RX,REL,47,,,,buffer,,0
1762495816058,RX,REL,48,1559224697,,,recv,,77
1762495816058,RX,REL,48,,,,buffer,,0
1762495816091,RX,REL,49,1559224731,,,recv,,77
1762495816091,RX,REL,49,,,,buffer,,0
1762495816124,RX,REL,50,1559224764,,,recv,,79
1762495816124,RX,REL,50,,,,buffer,,0
1762495816157,RX,REL,51,1559224797,,,recv,,77
1762495816158,RX,REL,51,,,,buffer,,0
1762495816191,RX,UNREL,,1559224831,,,recv,,78
1762495816224,RX,UNREL,,1559224864,,,recv,,77
1762495816258,RX,REL,52,1559224898,,,recv,,77
1762495816258,RX,REL,45,,,,skip,,0
1762495816258,RX,REL,46,,,,deliver,,0
1762495816258,RX,REL,47,,,,deliver,,0
1762495816258,RX,REL,48,,,,deliver,,0
1762495816259,RX,REL,49,,,,deliver,,0
1762495816259,RX,REL,50,,,,deliver,,0
1762495816259,RX,REL,51,,,,deliver,,0
1762495816259,RX,REL,52,,,,deliver,,0
1762495816291,RX,REL,53,1559224930,,,recv,,78
1762495816291,RX,REL,53,,,,deliver,,0
1762495816324,RX,REL,54,1559224964,,,recv,,78
