ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495802004,RX,REL,5,1559210643,,,recv,,76
1762495802006,RX,REL,5,,,,deliver,,0
1762495802011,RX,REL,0,1559210650,,,recv,,76
1762495802011,RX,REL,0,,,,dup,,0
1762495802011,RX,REL,1,1559210651,,,recv,,78
1762495802011,RX,REL,1,,,,dup,,0
1762495802031,RX,REL,2,1559210671,,,recv,,75
1762495802031,RX,REL,2,,,,dup,,0
1762495802037,RX,REL,6,1559210676,,,recv,,78
1762495802037,RX,REL,6,,,,deliver,,0
1762495802063,RX,REL,3,1559210702,,,recv,,76
1762495802063,RX,REL,3,,,,dup,,0
1762495802070,RX,REL,7,1559210710,,,recv,,77
1762495802071,RX,REL,7,,,,deliver,,0
1762495802104,RX,UNREL,,1559210743,,,recv,,77
1762495802137,RX,REL,8,1559210776,,,recv,,76
1762495802137,RX,REL,8,,,,deliver,,0
1762495802170,RX,REL,9,1559210810,,,recv,,77
1762495802170,RX,REL,9,,,,deliver,,0
1762495802204,RX,REL,10,1559210843,,,recv,,77
1762495802204,RX,REL,10,,,,deliver,,0
1762495802237,RX,REL,11,1559210877,,,recv,,76
1762495802237,RX,REL,11,,,,deliver,,0
1762495802270,RX,REL,12,1559210910,,,recv,,77
1762495802271,RX,REL,12,,,,deliver,,0
1762495802304,RX,REL,13,1559210943,,,recv,,77
1762495802304,RX,REL,13,,,,deliver,,0
1762495802330,RX,REL,10,1559210970,,,recv,,77
1762495802330,RX,REL,10,,,,dup,,0
1762495802337,RX,REL,14,1559210976,,,recv,,78
1762495802337,RX,REL,14,,,,deliver,,0
1762495802370,RX,REL,15,1559211010,,,recv,,80
1762495802371,RX,REL,15,,,,deliver,,0
1762495802404,RX,UNREL,,1559211043,,,recv,,77
1762495802437,RX,REL,16,1559211077,,,recv,,79
1762495802437,RX,REL,16,,,,deliver,,0
1762495802470,RX,REL,17,1559211110,,,recv,,77
1762495802471,RX,REL,17,,,,deliver,,0
1762495802503,RX,UNREL,,1559211143,,,recv,,76
1762495802537,RX,REL,18,1559211177,,,recv,,79
1762495802537,RX,REL,18,,,,deliver,,0
1762495802570,RX,REL,19,1559211210,,,recv,,80
1762495802571,RX,REL,19,,,,deliver,,0
1762495802603,RX,REL,20,1559211243,,,recv,,77
1762495802604,RX,REL,20,,,,deliver,,0
1762495802637,RX,REL,21,1559211277,,,recv,,76
1762495802637,RX,REL,21,,,,deliver,,0
1762495802670,RX,REL,22,1559211310,,,recv,,77
1762495802670,RX,REL,22,,,,deliver,,0
1762495802699,RX,REL,19,1559211339,,,recv,,80
1762495802699,RX,REL,19,,,,dup,,0
1762495802704,RX,REL,23,1559211343,,,recv,,78
1762495802704,RX,REL,23,,,,deliver,,0
1762495802737,RX,REL,24,1559211377,,,recv,,77
1762495802737,RX,REL,24,,,,deliver,,0
1762495802770,RX,REL,25,1559211410,,,recv,,77
1762495802771,RX,REL,25,,,,deliver,,0
1762495802804,RX,REL,26,1559211443,,,recv,,77
1762495802804,RX,REL,26,,,,deliver,,0
1762495802837,RX,REL,27,1559211477,,,recv,,77
1762495802837,RX,REL,27,,,,deliver,,0
1762495802870,RX,REL,28,1559211510,,,recv,,78
1762495802870,RX,REL,28,,,,deliver,,0
1762495802904,RX,REL,29,1559211543,,,recv,,78
1762495802904,RX,REL,29,,,,deliver,,0
1762495802937,RX,REL,30,1559211577,,,recv,,78
1762495802937,RX,REL,30,,,,deliver,,0
1762495803070,RX,REL,32,1559211710,,,recv,,77
1762495803071,RX,REL,32,,,,buffer,,0
1762495803090,RX,REL,31,1559211730,,,recv,,79
1762495803090,RX,REL,31,,,,deliver,,0
1762495803090,RX,REL,32,,,,deliver,,0
1762495803104,RX,REL,33,1559211743,,,recv,,77
1762495803104,RX,REL,33,,,,deliver,,0
1762495803137,RX,REL,34,1559211777,,,recv,,78
