ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495814224,TX,REL,0,1762495814224,,0,send,200,77
1762495814257,TX,REL,1,1762495814257,,0,send,200,79
1762495814291,TX,REL,2,1762495814291,,0,send,200,74
1762495814324,TX,REL,3,1762495814324,,0,send,200,78
1762495814357,TX,REL,4,1762495814357,,0,send,200,78
1762495814391,TX,REL,5,1762495814391,,0,send,200,76
1762495814424,TX,REL,6,1762495814424,,0,send,200,76
1762495814424,RX,ACK,6,1559223064,0.0,,ack,,4
1762495814429,TX,REL,0,1762495814429,,0,expire,200,77
1762495814429,TX,REL,1,1762495814429,,1,retransmit,,79
1762495814429,TX,REL,2,1762495814429,,1,retransmit,,74
1762495814429,RX,ACK,1,1559223069,0.0,,ack,,4
1762495814429,RX,ACK,2,1559223069,0.0,,ack,,4
1762495814450,TX,REL,3,1762495814450,,1,retransmit,,78
1762495814457,TX,REL,7,1762495814457,,0,send,120,77
1762495814457,RX,ACK,7,1559223097,0.0,,ack,,4
1762495814481,TX,REL,4,1762495814481,,1,retransmit,,78
1762495814482,RX,ACK,4,1559223121,1.0,,ack,,4
1762495814491,TX,REL,8,1762495814491,,0,send,120,77
1762495814512,TX,REL,5,1762495814512,,1,retransmit,,76
1762495814513,RX,ACK,5,1559223152,1.0,,ack,,4
1762495814524,TX,REL,9,1762495814524,,0,send,120,76
1762495814524,RX,ACK,9,1559223164,0.0,,ack,,4
1762495814533,TX,REL,3,1762495814533,,1,expire,200,78
1762495814557,TX,REL,10,1762495814557,,0,send,120,78
1762495814558,RX,ACK,10,1559223197,1.0,,ack,,4
1762495814591,TX,REL,11,1762495814591,,0,send,120,77
1762495814591,RX,ACK,11,1559223230,1.0,,ack,,4
1762495814616,TX,REL,8,1762495814616,,0,expire,120,77
1762495814624,TX,REL,12,1762495814624,,0,send,120,77
1762495814657,TX,UNREL,,1762495814657,,0,send,,77
1762495814691,TX,REL,13,1762495814691,,0,send,120,77
1762495814725,TX,REL,14,1762495814725,,0,send,120,77
1762495814725,RX,ACK,14,1559223364,1.0,,ack,,4
1762495814751,TX,REL,12,1762495814751,,0,expire,120,77
1762495814758,TX,REL,15,1762495814758,,0,send,120,77
1762495814758,RX,ACK,15,1559223397,1.0,,ack,,4
1762495814791,TX,REL,16,1762495814791,,0,send,120,77
1762495814791,RX,ACK,16,1559223430,1.0,,ack,,4
1762495814813,TX,REL,13,1762495814813,,0,expire,120,77
1762495814825,TX,REL,17,1762495814825,,0,send,120,77
1762495814825,RX,ACK,17,1559223464,1.0,,ack,,4
1762495814857,TX,REL,18,1762495814857,,0,send,120,78
1762495814857,RX,ACK,18,1559223497,0.0,,ack,,4
1762495814891,TX,REL,19,1762495814891,,0,send,120,77
1762495814924,TX,REL,20,1762495814924,,0,send,120,77
1762495814925,RX,ACK,20,1559223564,1.0,,ack,,4
1762495814958,TX,REL,21,1762495814958,,0,send,120,76
1762495814958,RX,ACK,21,1559223597,1.0,,ack,,4
1762495814991,TX,REL,22,1762495814991,,0,send,120,78
1762495814991,RX,ACK,22,1559223630,1.0,,ack,,4
1762495815020,TX,REL,19,1762495815020,,0,expire,120,77
1762495815024,TX,REL,23,1762495815024,,0,send,120,77
1762495815024,RX,ACK,23,1559223664,0.0,,ack,,4
1762495815057,TX,REL,24,1762495815057,,0,send,120,77
1762495815058,RX,ACK,24,1559223697,0.0,,ack,,4
1762495815091,TX,REL,25,1762495815091,,0,send,120,78
1762495815091,RX,ACK,25,1559223731,0.0,,ack,,4
1762495815124,TX,REL,26,1762495815124,,0,send,120,77
1762495815124,RX,ACK,26,1559223764,0.0,,ack,,4
1762495815157,TX,REL,27,1762495815157,,0,send,120,79
1762495815158,RX,ACK,27,1559223797,1.0,,ack,,4
1762495815191,TX,REL,28,1762495815191,,0,send,120,79
1762495815191,RX,ACK,28,1559223830,1.0,,ack,,4
1762495815224,TX,REL,29,1762495815224,,0,send,120,78
1762495815225,RX,ACK,29,1559223864,0.0,,ack,,4
1762495815257,TX,UNREL,,1762495815257,,0,send,,80
1762495815291,TX,UNREL,,1762495815291,,0,send,,78
1762495815324,TX,UNREL,,1762495815324,,0,send,,77
1762495815357,TX,REL,30,1762495815357,,0,send,120,77
1762495815392,TX,REL,31,1762495815392,,0,send,120,78
1762495815392,RX,ACK,31,1559224031,1.0,,ack,,4
1762495815424,TX,REL,32,1762495815424,,0,send,120,78
1762495815425,RX,ACK,32,1559224064,1.0,,ack,,4
1762495815458,TX,UNREL,,1762495815458,,0,send,,78
1762495815485,TX,REL,30,1762495815485,,0,expire,120,77
1762495815491,TX,REL,33,1762495815491,,0,send,120,77
1762495815491,RX,ACK,33,1559224131,0.0,,ack,,4
1762495815524,TX,REL,34,1762495815524,,0,send,120,78
1762495815524,RX,ACK,34,1559224164,0.0,,ack,,4
1762495815558,TX,REL,35,1762495815558,,0,send,120,78
1762495815558,RX,ACK,35,1559224197,1.0,,ack,,4
1762495815591,TX,UNREL,,1762495815591,,0,send,,77
1762495815624,TX,REL,36,1762495815624,,0,send,120,77
1762495815625,RX,ACK,36,1559224264,1.0,,ack,,4
1762495815658,TX,REL,37,1762495815658,,0,send,120,75
1762495815691,TX,UNREL,,1762495815691,,0,send,,78
1762495815724,TX,REL,38,1762495815724,,0,send,120,77
1762495815725,RX,ACK,38,1559224364,1.0,,ack,,4
1762495815757,TX,REL,39,1762495815757,,0,send,120,77
1762495815758,RX,ACK,39,1559224397,1.0,,ack,,4
1762495815785,TX,REL,37,1762495815785,,0,expire,120,75
1762495815791,TX,REL,40,1762495815791,,0,send,120,78
1762495815791,RX,ACK,40,1559224431,0.0,,ack,,4
1762495815824,TX,REL,41,1762495815824,,0,send,120,77
