ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495801836,TX,REL,0,1762495801836,,0,send,200,76
1762495801870,TX,REL,1,1762495801870,,0,send,200,78
1762495801903,TX,REL,2,1762495801903,,0,send,200,75
1762495801937,TX,REL,3,1762495801937,,0,send,200,76
1762495801970,TX,REL,4,1762495801970,,0,send,200,77
1762495802004,TX,REL,5,1762495802004,,0,send,200,76
1762495802006,RX,ACK,5,1559210643,3.0,,ack,,4
1762495802010,TX,REL,0,1762495802010,,1,retransmit,,76
1762495802011,TX,REL,1,1762495802011,,1,retransmit,,78
1762495802011,RX,ACK,0,1559210650,1.0,,ack,,4
1762495802011,RX,ACK,1,1559210651,0.0,,ack,,4
1762495802031,TX,REL,2,1762495802031,,1,retransmit,,75
1762495802032,RX,ACK,2,1559210671,0.0,,ack,,4
1762495802037,TX,REL,6,1762495802037,,0,send,200,78
1762495802037,RX,ACK,6,1559210676,1.0,,ack,,4
1762495802062,TX,REL,3,1762495802062,,1,retransmit,,76
1762495802063,RX,ACK,3,1559210702,1.0,,ack,,4
1762495802070,TX,REL,7,1762495802070,,0,send,200,77
1762495802071,RX,ACK,7,1559210710,1.0,,ack,,4
1762495802094,TX,REL,4,1762495802094,,1,retransmit,,77
1762495802104,TX,UNREL,,1762495802104,,0,send,,77
1762495802137,TX,REL,8,1762495802137,,0,send,200,76
1762495802137,RX,ACK,8,1559210776,1.0,,ack,,4
1762495802170,TX,REL,9,1762495802170,,0,send,200,77
1762495802170,RX,ACK,9,1559210810,0.0,,ack,,4
1762495802176,TX,REL,4,1762495802176,,1,expire,200,77
1762495802204,TX,REL,10,1762495802204,,0,send,200,77
1762495802237,TX,REL,11,1762495802237,,0,send,200,76
1762495802237,RX,ACK,11,1559210877,0.0,,ack,,4
1762495802270,TX,REL,12,1762495802270,,0,send,200,77
1762495802271,RX,ACK,12,1559210910,1.0,,ack,,4
1762495802304,TX,REL,13,1762495802304,,0,send,200,77
1762495802304,RX,ACK,13,1559210943,1.0,,ack,,4
1762495802330,TX,REL,10,1762495802330,,1,retransmit,,77
1762495802330,RX,ACK,10,1559210970,0.0,,ack,,4
1762495802337,TX,REL,14,1762495802337,,0,send,200,78
1762495802337,RX,ACK,14,1559210976,1.0,,ack,,4
1762495802370,TX,REL,15,1762495802370,,0,send,200,80
1762495802371,RX,ACK,15,1559211010,1.0,,ack,,4
1762495802404,TX,UNREL,,1762495802404,,0,send,,77
1762495802437,TX,REL,16,1762495802437,,0,send,200,79
1762495802437,RX,ACK,16,1559211077,0.0,,ack,,4
1762495802470,TX,REL,17,1762495802470,,0,send,200,77
1762495802471,RX,ACK,17,1559211110,1.0,,ack,,4
1762495802503,TX,UNREL,,1762495802503,,0,send,,76
1762495802537,TX,REL,18,1762495802537,,0,send,200,79
1762495802537,RX,ACK,18,1559211177,0.0,,ack,,4
1762495802570,TX,REL,19,1762495802570,,0,send,200,80
1762495802603,TX,REL,20,1762495802603,,0,send,200,77
1762495802604,RX,ACK,20,1559211243,1.0,,ack,,4
1762495802637,TX,REL,21,1762495802637,,0,send,200,76
1762495802637,RX,ACK,21,1559211277,0.0,,ack,,4
1762495802670,TX,REL,22,1762495802670,,0,send,200,77
1762495802670,RX,ACK,22,1559211310,0.0,,ack,,4
1762495802699,TX,REL,19,1762495802699,,1,retransmit,,80
1762495802700,RX,ACK,19,1559211339,1.0,,ack,,4
1762495802703,TX,REL,23,1762495802703,,0,send,200,78
1762495802704,RX,ACK,23,1559211343,1.0,,ack,,4
1762495802737,TX,REL,24,1762495802737,,0,send,200,77
1762495802737,RX,ACK,24,1559211377,0.0,,ack,,4
1762495802770,TX,REL,25,1762495802770,,0,send,200,77
1762495802771,RX,ACK,25,1559211410,1.0,,ack,,4
1762495802804,TX,REL,26,1762495802804,,0,send,200,77
1762495802804,RX,ACK,26,1559211443,1.0,,ack,,4
1762495802837,TX,REL,27,1762495802837,,0,send,200,77
1762495802837,RX,ACK,27,1559211477,0.0,,ack,,4
1762495802870,TX,REL,28,1762495802870,,0,send,200,78
1762495802870,RX,ACK,28,1559211510,0.0,,ack,,4
1762495802904,TX,REL,29,1762495802904,,0,send,200,78
1762495802904,RX,ACK,29,1559211543,1.0,,ack,,4
1762495802937,TX,REL,30,1762495802937,,0,send,200,78
1762495802937,RX,ACK,30,1559211577,0.0,,ack,,4
1762495802970,TX,REL,31,1762495802970,,0,send,200,79
1762495803003,TX,UNREL,,1762495803003,,0,send,,77
1762495803037,TX,UNREL,,1762495803037,,0,send,,76
1762495803070,TX,REL,32,1762495803070,,0,send,200,77
1762495803071,RX,ACK,32,1559211710,1.0,,ack,,4
1762495803090,TX,REL,31,1762495803090,,1,retransmit,,79
1762495803090,RX,ACK,31,1559211730,0.0,,ack,,4
1762495803104,TX,REL,33,1762495803104,,0,send,200,77
1762495803104,RX,ACK,33,1559211743,1.0,,ack,,4
1762495803138,TX,REL,34,1762495803138,,0,send,200,78
1762495803138,RX,ACK,34,1559211777,1.0,,ack,,4
1762495803170,TX,REL,35,1762495803170,,0,send,200,77
1762495803170,RX,ACK,35,1559211810,0.0,,ack,,4
1762495803204,TX,REL,36,1762495803204,,0,send,200,77
1762495803204,RX,ACK,36,1559211844,0.0,,ack,,4
1762495803237,TX,UNREL,,1762495803237,,0,send,,78
1762495803270,TX,REL,37,1762495803270,,0,send,200,78
1762495803270,RX,ACK,37,1559211910,0.0,,ack,,4
1762495803303,TX,REL,38,1762495803303,,0,send,200,77
1762495803337,TX,REL,39,1762495803337,,0,send,200,77
1762495803370,TX,REL,40,1762495803370,,0,send,200,77
1762495803371,RX,ACK,40,1559212010,1.0,,ack,,4
1762495803403,TX,REL,41,1762495803403,,0,send,200,77
1762495803403,RX,ACK,41,1559212043,0.0,,ack,,4
1762495803429,TX,REL,38,1762495803429,,1,retransmit,,77
1762495803437,TX,REL,42,1762495803437,,0,send,200,77
1762495803438,RX,ACK,42,1559212077,1.0,,ack,,4
1762495803460,TX,REL,39,1762495803460,,1,retransmit,,77
1762495803461,RX,ACK,39,1559212100,0.0,,ack,,4
1762495803470,TX,REL,43,1762495803470,,0,send,200,78
1762495803471,RX,ACK,43,1559212110,1.0,,ack,,4
1762495803504,TX,REL,44,1762495803504,,0,send,200,78
1762495803504,RX,ACK,44,1559212143,1.0,,ack,,4
1762495803512,TX,REL,38,1762495803512,,1,expire,200,77
1762495803537,TX,REL,45,1762495803537,,0,send,200,77
1762495803537,RX,ACK,45,1559212177,0.0,,ack,,4
1762495803571,TX,REL,46,1762495803571,,0,send,200,77
1762495803571,RX,ACK,46,1559212210,1.0,,ack,,4
1762495803604,TX,UNREL,,1762495803604,,0,send,,76
1762495803637,TX,REL,47,1762495803637,,0,send,200,77
1762495803638,RX,ACK,47,1559212277,1.0,,ack,,4
1762495803670,TX,REL,48,1762495803670,,0,send,200,78
1762495803670,RX,ACK,48,1559212310,0.0,,ack,,4
1762495803703,TX,REL,49,1762495803703,,0,send,200,76
1762495803737,TX,REL,50,1762495803737,,0,send,200,77
1762495803737,RX,ACK,50,1559212377,0.0,,ack,,4
1762495803771,TX,REL,51,1762495803771,,0,send,200,77
1762495803771,RX,ACK,51,1559212410,1.0,,ack,,4
1762495803803,TX,REL,52,1762495803803,,0,send,200,78
1762495803804,RX,ACK,52,1559212443,1.0,,ack,,4
1762495803831,TX,REL,49,1762495803831,,1,retransmit,,76
1762495803831,RX,ACK,49,1559212471,0.0,,ack,,4
1762495803837,TX,REL,53,1762495803837,,0,send,200,78
1762495803837,RX,ACK,53,1559212477,0.0,,ack,,4
1762495803870,TX,REL,54,1762495803870,,0,send,200,78
1762495803870,RX,ACK,54,1559212510,0.0,,ack,,4
1762495803903,TX,UNREL,,1762495803903,,0,send,,77
1762495803937,TX,REL,55,1762495803937,,0,send,200,77
1762495803937,RX,ACK,55,1559212577,0.0,,ack,,4
1762495803970,TX,REL,56,1762495803970,,0,send,200,78
1762495803970,RX,ACK,56,1559212610,0.0,,ack,,4
1762495804004,TX,REL,57,1762495804004,,0,send,200,77
1762495804037,TX,UNREL,,1762495804037,,0,send,,77
1762495804070,TX,REL,58,1762495804070,,0,send,200,77
1762495804070,RX,ACK,58,1559212710,0.0,,ack,,4
1762495804104,TX,REL,59,1762495804104,,0,send,200,77
1762495804130,TX,REL,57,1762495804130,,1,retransmit,,77
1762495804130,RX,ACK,57,1559212770,0.0,,ack,,4
1762495804137,TX,REL,60,1762495804137,,0,send,200,78
1762495804137,RX,ACK,60,1559212777,0.0,,ack,,4
1762495804170,TX,REL,61,1762495804170,,0,send,200,77
1762495804171,RX,ACK,61,1559212810,0.0,,ack,,4
1762495804204,TX,REL,62,1762495804204,,0,send,200,77
1762495804204,RX,ACK,62,1559212843,1.0,,ack,,4
1762495804233,TX,REL,59,1762495804233,,1,retransmit,,77
1762495804233,RX,ACK,59,1559212873,0.0,,ack,,4
1762495804237,TX,UNREL,,1762495804237,,0,send,,79
1762495804270,TX,UNREL,,1762495804270,,0,send,,79
1762495804304,TX,REL,63,1762495804304,,0,send,200,81
1762495804304,RX,ACK,63,1559212943,1.0,,ack,,4
1762495804337,TX,UNREL,,1762495804337,,0,send,,76
1762495804370,TX,REL,64,1762495804370,,0,send,200,77
1762495804370,RX,ACK,64,1559213010,0.0,,ack,,4
1762495804404,TX,REL,65,1762495804404,,0,send,200,77
1762495804404,RX,ACK,65,1559213043,1.0,,ack,,4
1762495804437,TX,REL,66,1762495804437,,0,send,200,76
1762495804437,RX,ACK,66,1559213077,0.0,,ack,,4
1762495804470,TX,REL,67,1762495804470,,0,send,200,78
1762495804471,RX,ACK,67,1559213110,0.0,,ack,,4
1762495804504,TX,REL,68,1762495804504,,0,send,200,79
1762495804505,RX,ACK,68,1559213143,1.0,,ack,,4
1762495804537,TX,UNREL,,1762495804537,,0,send,,77
1762495804570,TX,REL,69,1762495804570,,0,send,200,78
1762495804571,RX,ACK,69,1559213210,1.0,,ack,,4
1762495804604,TX,REL,70,1762495804604,,0,send,200,79
1762495804604,RX,ACK,70,1559213243,1.0,,ack,,4
1762495804637,TX,REL,71,1762495804637,,0,send,200,77
1762495804638,RX,ACK,71,1559213277,1.0,,ack,,4
1762495804670,TX,REL,72,1762495804670,,0,send,200,79
1762495804671,RX,ACK,72,1559213310,1.0,,ack,,4
1762495804704,TX,REL,73,1762495804704,,0,send,200,79
1762495804704,RX,ACK,73,1559213343,1.0,,ack,,4
1762495804737,TX,REL,74,1762495804737,,0,send,200,78
1762495804737,RX,ACK,74,1559213377,0.0,,ack,,4
1762495804770,TX,REL,75,1762495804770,,0,send,200,77
1762495804770,RX,ACK,75,1559213410,0.0,,ack,,4
1762495804803,TX,REL,76,1762495804803,,0,send,200,78
1762495804804,RX,ACK,76,1559213443,1.0,,ack,,4
1762495804837,TX,REL,77,1762495804837,,0,send,200,77
1762495804837,RX,ACK,77,1559213477,0.0,,ack,,4
1762495804870,TX,REL,78,1762495804870,,0,send,200,79
1762495804870,RX,ACK,78,1559213510,0.0,,ack,,4
1762495804904,TX,REL,79,1762495804904,,0,send,200,77
1762495804904,RX,ACK,79,1559213543,1.0,,ack,,4
1762495804937,TX,REL,80,1762495804937,,0,send,200,78
1762495804970,TX,REL,81,1762495804970,,0,send,200,77
1762495804971,RX,ACK,81,1559213610,0.0,,ack,,4
1762495805003,TX,REL,82,1762495805003,,0,send,200,78
1762495805004,RX,ACK,82,1559213643,1.0,,ack,,4
1762495805037,TX,REL,83,1762495805037,,0,send,200,77
1762495805037,RX,ACK,83,1559213677,0.0,,ack,,4
1762495805066,TX,REL,80,1762495805066,,1,retransmit,,78
1762495805066,RX,ACK,80,1559213706,0.0,,ack,,4
1762495805070,TX,REL,84,1762495805070,,0,send,200,79
1762495805070,RX,ACK,84,1559213710,0.0,,ack,,4
1762495805104,TX,REL,85,1762495805104,,0,send,200,77
1762495805104,RX,ACK,85,1559213743,1.0,,ack,,4
1762495805137,TX,REL,86,1762495805137,,0,send,200,78
1762495805137,RX,ACK,86,1559213777,0.0,,ack,,4
1762495805170,TX,REL,87,1762495805170,,0,send,200,79
1762495805170,RX,ACK,87,1559213810,0.0,,ack,,4
1762495805204,TX,REL,88,1762495805204,,0,send,200,80
1762495805204,RX,ACK,88,1559213843,1.0,,ack,,4
1762495805237,TX,REL,89,1762495805237,,0,send,200,77
1762495805237,RX,ACK,89,1559213876,1.0,,ack,,4
1762495805270,TX,REL,90,1762495805270,,0,send,200,79
1762495805270,RX,ACK,90,1559213910,0.0,,ack,,4
1762495805304,TX,REL,91,1762495805304,,0,send,200,78
