ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495840709,RX,REL,2,1559249348,,,recv,,76
1762495840709,RX,REL,2,,,,deliver,,0
1762495840719,RX,REL,0,1559249357,,,recv,,77
1762495840719,RX,REL,0,,,,dup,,0
1762495840742,RX,REL,3,1559249381,,,recv,,78
1762495840743,RX,REL,3,,,,deliver,,0
1762495840776,RX,REL,4,1559249415,,,recv,,76
1762495840776,RX,REL,4,,,,deliver,,0
1762495840801,RX,REL,1,1559249439,,,recv,,75
1762495840801,RX,REL,1,,,,dup,,0
1762495840809,RX,REL,5,1559249448,,,recv,,75
1762495840809,RX,REL,5,,,,deliver,,0
1762495840842,RX,REL,6,1559249481,,,recv,,76
1762495840843,RX,REL,6,,,,deliver,,0
1762495840876,RX,REL,7,1559249515,,,recv,,76
1762495840876,RX,REL,7,,,,deliver,,0
1762495840909,RX,REL,8,1559249548,,,recv,,78
1762495840910,RX,REL,8,,,,deliver,,0
1762495840943,RX,REL,9,1559249581,,,recv,,77
1762495840943,RX,REL,9,,,,deliver,,0
1762495840976,RX,REL,10,1559249615,,,recv,,79
1762495840976,RX,REL,10,,,,deliver,,0
1762495841010,RX,UNREL,,1559249648,,,recv,,78
1762495841043,RX,REL,11,1559249682,,,recv,,77
1762495841043,RX,REL,11,,,,deliver,,0
1762495841076,RX,REL,12,1559249715,,,recv,,78
1762495841077,RX,REL,12,,,,deliver,,0
1762495841109,RX,REL,13,1559249748,,,recv,,77
1762495841109,RX,REL,13,,,,deliver,,0
1762495841143,RX,REL,14,1559249782,,,recv,,77
1762495841143,RX,REL,14,,,,deliver,,0
1762495841176,RX,REL,15,1559249815,,,recv,,79
1762495841176,RX,REL,15,,,,deliver,,0
1762495841209,RX,REL,16,1559249848,,,recv,,76
1762495841209,RX,REL,16,,,,deliver,,0
1762495841243,RX,REL,17,1559249882,,,recv,,77
1762495841243,RX,REL,17,,,,deliver,,0
1762495841276,RX,REL,18,1559249915,,,recv,,79
1762495841276,RX,REL,18,,,,deliver,,0
1762495841309,RX,REL,19,1559249948,,,recv,,77
1762495841309,RX,REL,19,,,,deliver,,0
1762495841343,RX,UNREL,,1559249981,,,recv,,77
1762495841376,RX,REL,20,1559250014,,,recv,,78
1762495841376,RX,REL,20,,,,deliver,,0
1762495841409,RX,REL,21,1559250048,,,recv,,77
1762495841409,RX,REL,21,,,,deliver,,0
1762495841442,RX,REL,22,1559250081,,,recv,,77
1762495841442,RX,REL,22,,,,deliver,,0
1762495841476,RX,REL,23,1559250115,,,recv,,77
1762495841476,RX,REL,23,,,,deliver,,0
1762495841509,RX,UNREL,,1559250148,,,recv,,78
1762495841543,RX,REL,24,1559250181,,,recv,,77
1762495841543,RX,REL,24,,,,deliver,,0
1762495841576,RX,REL,25,1559250215,,,recv,,77
1762495841576,RX,REL,25,,,,deliver,,0
1762495841609,RX,REL,26,1559250248,,,recv,,78
1762495841610,RX,REL,26,,,,deliver,,0
1762495841642,RX,REL,27,1559250281,,,recv,,78
1762495841643,RX,REL,27,,,,deliver,,0
1762495841676,RX,REL,28,1559250315,,,recv,,76
1762495841677,RX,REL,28,,,,deliver,,0
1762495841710,RX,REL,29,1559250348,,,recv,,78
1762495841710,RX,REL,29,,,,deliver,,0
1762495841742,RX,REL,30,1559250381,,,recv,,77
1762495841743,RX,REL,30,,,,deliver,,0
1762495841776,RX,UNREL,,1559250415,,,recv,,78
1762495841809,RX,REL,31,1559250448,,,recv,,77
1762495841809,RX,REL,31,,,,deliver,,0
1762495841843,RX,REL,32,1559250481,,,recv,,78
1762495841843,RX,REL,32,,,,deliver,,0
1762495841877,RX,REL,33,1559250515,,,recv,,77
1762495841877,RX,REL,33,,,,deliver,,0
1762495841909,RX,REL,34,1559250548,,,recv,,78
1762495841910,RX,REL,34,,,,deliver,,0
1762495841943,RX,REL,35,1559250581,,,recv,,76
1762495841944,RX,REL,35,,,,deliver,,0
1762495841976,RX,REL,36,1559250615,,,recv,,78
1762495841976,RX,REL,36,,,,deliver,,0
1762495842010,RX,REL,37,1559250648,,,recv,,79
1762495842010,RX,REL,37,,,,deliver,,0
1762495842043,RX,REL,38,1559250681,,,recv,,77
1762495842043,RX,REL,38,,,,deliver,,0
1762495842076,RX,REL,39,1559250715,,,recv,,77
1762495842076,RX,REL,39,,,,deliver,,0
1762495842109,RX,REL,40,1559250748,,,recv,,77
1762495842110,RX,REL,40,,,,deliver,,0
1762495842143,RX,REL,41,1559250781,,,recv,,80
1762495842143,RX,REL,41,,,,deliver,,0
1762495842176,RX,REL,42,1559250815,,,recv,,77
1762495842176,RX,REL,42,,,,deliver,,0
1762495842209,RX,REL,43,1559250848,,,recv,,77
1762495842209,RX,REL,43,,,,deliver,,0
1762495842243,RX,REL,44,1559250881,,,recv,,76
1762495842243,RX,REL,44,,,,deliver,,0
1762495842276,RX,REL,45,1559250915,,,recv,,77
1762495842276,RX,REL,45,,,,deliver,,0
1762495842310,RX,UNREL,,1559250948,,,recv,,78
1762495842342,RX,REL,46,1559250981,,,recv,,77
1762495842343,RX,REL,46,,,,deliver,,0
1762495842376,RX,REL,47,1559251015,,,recv,,78
1762495842376,RX,REL,47,,,,deliver,,0
1762495842409,RX,REL,48,1559251048,,,recv,,78
1762495842409,RX,REL,48,,,,deliver,,0
1762495842443,RX,UNREL,,1559251081,,,recv,,78
1762495842476,RX,REL,49,1559251115,,,recv,,78
1762495842476,RX,REL,49,,,,deliver,,0
1762495842509,RX,REL,50,1559251148,,,recv,,79
1762495842509,RX,REL,50,,,,deliver,,0
1762495842543,RX,REL,51,1559251181,,,recv,,79
1762495842543,RX,REL,51,,,,deliver,,0
1762495842576,RX,REL,52,1559251215,,,recv,,77
1762495842576,RX,REL,52,,,,deliver,,0
1762495842609,RX,REL,53,1559251248,,,recv,,78
1762495842610,RX,REL,53,,,,deliver,,0
1762495842643,RX,REL,54,1559251281,,,recv,,80
1762495842643,RX,REL,54,,,,deliver,,0
1762495842676,RX,REL,55,1559251315,,,recv,,77
1762495842676,RX,REL,55,,,,deliver,,0
1762495842709,RX,UNREL,,1559251348,,,recv,,77
1762495842743,RX,REL,56,1559251381,,,recv,,77
1762495842743,RX,REL,56,,,,deliver,,0
1762495842776,RX,REL,57,1559251415,,,recv,,76
1762495842776,RX,REL,57,,,,deliver,,0
1762495842810,RX,UNREL,,1559251448,,,recv,,78
1762495842843,RX,REL,58,1559251481,,,recv,,79
1762495842843,RX,REL,58,,,,deliver,,0
1762495842876,RX,REL,59,1559251515,,,recv,,78
1762495842876,RX,REL,59,,,,deliver,,0
1762495842909,RX,UNREL,,1559251548,,,recv,,77
1762495842943,RX,REL,60,1559251581,,,recv,,78
1762495842943,RX,REL,60,,,,deliver,,0
1762495842976,RX,REL,61,1559251615,,,recv,,78
1762495842976,RX,REL,61,,,,deliver,,0
1762495843009,RX,REL,62,1559251648,,,recv,,78
1762495843010,RX,REL,62,,,,deliver,,0
1762495843043,RX,REL,63,1559251682,,,recv,,77
1762495843043,RX,REL,63,,,,deliver,,0
1762495843076,RX,REL,64,1559251715,,,recv,,76
1762495843076,RX,REL,64,,,,deliver,,0
1762495843109,RX,REL,65,1559251748,,,recv,,80
1762495843109,RX,REL,65,,,,deliver,,0
1762495843143,RX,REL,66,1559251782,,,recv,,78
1762495843143,RX,REL,66,,,,deliver,,0
1762495843176,RX,REL,67,1559251815,,,recv,,78
1762495843176,RX,REL,67,,,,deliver,,0
1762495843209,RX,REL,68,1559251848,,,recv,,78
1762495843209,RX,REL,68,,,,deliver,,0
1762495843243,RX,REL,69,1559251882,,,recv,,77
1762495843243,RX,REL,69,,,,deliver,,0
1762495843276,RX,REL,70,1559251915,,,recv,,76
1762495843276,RX,REL,70,,,,deliver,,0
1762495843309,RX,REL,71,1559251948,,,recv,,75
1762495843309,RX,REL,71,,,,deliver,,0
1762495843343,RX,REL,72,1559251982,,,recv,,78
1762495843343,RX,REL,72,,,,deliver,,0
1762495843376,RX,UNREL,,1559252015,,,recv,,78
1762495843409,RX,REL,73,1559252048,,,recv,,76
1762495843410,RX,REL,73,,,,deliver,,0
1762495843443,RX,REL,74,1559252082,,,recv,,75
1762495843443,RX,REL,74,,,,deliver,,0
1762495843476,RX,UNREL,,1559252115,,,recv,,77
1762495843509,RX,REL,75,1559252148,,,recv,,77
1762495843509,RX,REL,75,,,,deliver,,0
1762495843543,RX,REL,76,1559252182,,,recv,,78
1762495843543,RX,REL,76,,,,deliver,,0
1762495843576,RX,UNREL,,1559252215,,,recv,,79
1762495843609,RX,REL,77,1559252248,,,recv,,77
1762495843610,RX,REL,77,,,,deliver,,0
1762495843643,RX,UNREL,,1559252282,,,recv,,77
1762495843676,RX,REL,78,1559252315,,,recv,,79
1762495843676,RX,REL,78,,,,deliver,,0
1762495843710,RX,REL,79,1559252348,,,recv,,77
1762495843710,RX,REL,79,,,,deliver,,0
1762495843743,RX,REL,80,1559252382,,,recv,,77
1762495843744,RX,REL,80,,,,deliver,,0
1762495843776,RX,REL,81,1559252415,,,recv,,77
1762495843777,RX,REL,81,,,,deliver,,0
1762495843810,RX,UNREL,,1559252448,,,recv,,78
1762495843843,RX,REL,82,1559252481,,,recv,,77
1762495843843,RX,REL,82,,,,deliver,,0
1762495843876,RX,REL,83,1559252515,,,recv,,79
1762495843876,RX,REL,83,,,,deliver,,0
1762495843910,RX,REL,84,1559252548,,,recv,,78
1762495843910,RX,REL,84,,,,deliver,,0
1762495843943,RX,REL,85,1559252581,,,recv,,80
1762495843943,RX,REL,85,,,,deliver,,0
1762495843976,RX,UNREL,,1559252615,,,recv,,79
1762495844009,RX,REL,86,1559252648,,,recv,,78
1762495844010,RX,REL,86,,,,deliver,,0
1762495844043,RX,REL,87,1559252682,,,recv,,78
1762495844043,RX,REL,87,,,,deliver,,0
1762495844076,RX,REL,88,1559252715,,,recv,,79
1762495844077,RX,REL,88,,,,deliver,,0
1762495844109,RX,REL,89,1559252748,,,recv,,79
1762495844110,RX,REL,89,,,,deliver,,0
1762495844143,RX,REL,90,1559252782,,,recv,,80
1762495844144,RX,REL,90,,,,deliver,,0
1762495844176,RX,REL,91,1559252815,,,recv,,80
1762495844176,RX,REL,91,,,,deliver,,0
1762495844210,RX,REL,92,1559252848,,,recv,,78
1762495844210,RX,REL,92,,,,deliver,,0
1762495844243,RX,REL,93,1559252881,,,recv,,78
1762495844250,RX,REL,93,,,,deliver,,0
1762495844276,RX,REL,94,1559252915,,,recv,,80
1762495844276,RX,REL,94,,,,deliver,,0
1762495844310,RX,REL,95,1559252948,,,recv,,78
1762495844310,RX,REL,95,,,,deliver,,0
1762495844343,RX,REL,96,1559252981,,,recv,,80
1762495844343,RX,REL,96,,,,deliver,,0
1762495844376,RX,REL,97,1559253014,,,recv,,79
