ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495828359,RX,REL,4,1559236997,,,recv,,76
1762495828359,RX,REL,4,,,,deliver,,0
1762495828365,RX,REL,0,1559237003,,,recv,,77
1762495828365,RX,REL,0,,,,dup,,0
1762495828365,RX,REL,1,1559237004,,,recv,,78
1762495828365,RX,REL,1,,,,dup,,0
1762495828386,RX,REL,2,1559237024,,,recv,,77
1762495828386,RX,REL,2,,,,dup,,0
1762495828392,RX,REL,5,1559237031,,,recv,,78
1762495828392,RX,REL,5,,,,deliver,,0
1762495828417,RX,REL,3,1559237055,,,recv,,76
1762495828417,RX,REL,3,,,,dup,,0
1762495828425,RX,REL,6,1559237064,,,recv,,78
1762495828426,RX,REL,6,,,,deliver,,0
1762495828459,RX,REL,7,1559237098,,,recv,,75
1762495828459,RX,REL,7,,,,deliver,,0
1762495828492,RX,REL,8,1559237131,,,recv,,76
1762495828493,RX,REL,8,,,,deliver,,0
1762495828525,RX,REL,9,1559237164,,,recv,,77
1762495828525,RX,REL,9,,,,deliver,,0
1762495828559,RX,REL,10,1559237197,,,recv,,77
1762495828559,RX,REL,10,,,,deliver,,0
1762495828592,RX,REL,11,1559237231,,,recv,,77
1762495828592,RX,REL,11,,,,deliver,,0
1762495828625,RX,REL,12,1559237264,,,recv,,75
1762495828626,RX,REL,12,,,,deliver,,0
1762495828659,RX,REL,13,1559237297,,,recv,,77
1762495828659,RX,REL,13,,,,deliver,,0
1762495828692,RX,UNREL,,1559237331,,,recv,,77
1762495828725,RX,REL,14,1559237364,,,recv,,76
1762495828726,RX,REL,14,,,,deliver,,0
1762495828759,RX,REL,15,1559237398,,,recv,,78
1762495828759,RX,REL,15,,,,deliver,,0
1762495828792,RX,REL,16,1559237431,,,recv,,76
1762495828793,RX,REL,16,,,,deliver,,0
1762495828825,RX,REL,17,1559237464,,,recv,,77
1762495828826,RX,REL,17,,,,deliver,,0
1762495828859,RX,REL,18,1559237498,,,recv,,77
1762495828859,RX,REL,18,,,,deliver,,0
1762495828892,RX,REL,19,1559237531,,,recv,,77
1762495828893,RX,REL,19,,,,deliver,,0
1762495828925,RX,UNREL,,1559237564,,,recv,,79
1762495828959,RX,REL,20,1559237597,,,recv,,77
1762495828959,RX,REL,20,,,,deliver,,0
1762495828993,RX,REL,21,1559237631,,,recv,,78
1762495828993,RX,REL,21,,,,deliver,,0
1762495829026,RX,REL,22,1559237664,,,recv,,77
1762495829026,RX,REL,22,,,,deliver,,0
1762495829059,RX,REL,23,1559237698,,,recv,,78
1762495829060,RX,REL,23,,,,deliver,,0
1762495829092,RX,REL,24,1559237731,,,recv,,79
1762495829093,RX,REL,24,,,,deliver,,0
1762495829126,RX,REL,25,1559237764,,,recv,,77
1762495829127,RX,REL,25,,,,deliver,,0
1762495829159,RX,REL,26,1559237798,,,recv,,77
1762495829160,RX,REL,26,,,,deliver,,0
1762495829192,RX,REL,27,1559237831,,,recv,,78
1762495829193,RX,REL,27,,,,deliver,,0
1762495829226,RX,REL,28,1559237864,,,recv,,77
1762495829233,RX,REL,28,,,,deliver,,0
1762495829259,RX,REL,29,1559237898,,,recv,,77
1762495829259,RX,REL,29,,,,deliver,,0
1762495829292,RX,REL,30,1559237931,,,recv,,77
1762495829292,RX,REL,30,,,,deliver,,0
1762495829325,RX,REL,31,1559237964,,,recv,,76
1762495829326,RX,REL,31,,,,deliver,,0
1762495829359,RX,REL,32,1559237998,,,recv,,78
1762495829360,RX,REL,32,,,,deliver,,0
1762495829392,RX,REL,33,1559238031,,,recv,,76
1762495829392,RX,REL,33,,,,deliver,,0
1762495829425,RX,REL,34,1559238064,,,recv,,78
1762495829426,RX,REL,34,,,,deliver,,0
1762495829459,RX,REL,35,1559238098,,,recv,,78
1762495829459,RX,REL,35,,,,deliver,,0
1762495829492,RX,REL,36,1559238131,,,recv,,78
1762495829493,RX,REL,36,,,,deliver,,0
1762495829525,RX,REL,37,1559238164,,,recv,,78
1762495829526,RX,REL,37,,,,deliver,,0
1762495829559,RX,UNREL,,1559238198,,,recv,,77
1762495829592,RX,REL,38,1559238231,,,recv,,77
1762495829592,RX,REL,38,,,,deliver,,0
1762495829626,RX,UNREL,,1559238264,,,recv,,77
1762495829659,RX,REL,39,1559238298,,,recv,,77
1762495829659,RX,REL,39,,,,deliver,,0
1762495829692,RX,REL,40,1559238331,,,recv,,77
1762495829693,RX,REL,40,,,,deliver,,0
1762495829726,RX,UNREL,,1559238364,,,recv,,77
1762495829759,RX,REL,41,1559238398,,,recv,,79
1762495829759,RX,REL,41,,,,deliver,,0
1762495829792,RX,UNREL,,1559238431,,,recv,,78
1762495829825,RX,UNREL,,1559238464,,,recv,,77
1762495829859,RX,REL,42,1559238498,,,recv,,79
1762495829859,RX,REL,42,,,,deliver,,0
1762495829892,RX,REL,43,1559238531,,,recv,,77
1762495829892,RX,REL,43,,,,deliver,,0
1762495829925,RX,REL,44,1559238564,,,recv,,77
1762495829926,RX,REL,44,,,,deliver,,0
1762495829959,RX,REL,45,1559238598,,,recv,,78
1762495829959,RX,REL,45,,,,deliver,,0
1762495829992,RX,UNREL,,1559238631,,,recv,,74
1762495830026,RX,UNREL,,1559238664,,,recv,,76
1762495830059,RX,REL,46,1559238698,,,recv,,77
1762495830059,RX,REL,46,,,,deliver,,0
1762495830092,RX,REL,47,1559238731,,,recv,,78
1762495830092,RX,REL,47,,,,deliver,,0
1762495830126,RX,REL,48,1559238764,,,recv,,78
1762495830126,RX,REL,48,,,,deliver,,0
1762495830159,RX,REL,49,1559238798,,,recv,,77
1762495830159,RX,REL,49,,,,deliver,,0
1762495830192,RX,UNREL,,1559238831,,,recv,,79
1762495830225,RX,REL,50,1559238864,,,recv,,77
1762495830226,RX,REL,50,,,,deliver,,0
1762495830259,RX,UNREL,,1559238898,,,recv,,80
1762495830292,RX,REL,51,1559238931,,,recv,,77
1762495830292,RX,REL,51,,,,deliver,,0
1762495830326,RX,UNREL,,1559238964,,,recv,,77
1762495830359,RX,UNREL,,1559238998,,,recv,,75
1762495830392,RX,UNREL,,1559239031,,,recv,,77
1762495830425,RX,REL,52,1559239064,,,recv,,78
1762495830426,RX,REL,52,,,,deliver,,0
1762495830459,RX,REL,53,1559239098,,,recv,,79
1762495830459,RX,REL,53,,,,deliver,,0
1762495830492,RX,REL,54,1559239131,,,recv,,77
1762495830492,RX,REL,54,,,,deliver,,0
1762495830526,RX,REL,55,1559239164,,,recv,,77
1762495830526,RX,REL,55,,,,deliver,,0
1762495830559,RX,REL,56,1559239198,,,recv,,78
1762495830559,RX,REL,56,,,,deliver,,0
1762495830592,RX,REL,57,1559239231,,,recv,,77
1762495830592,RX,REL,57,,,,deliver,,0
1762495830625,RX,REL,58,1559239264,,,recv,,78
1762495830626,RX,REL,58,,,,deliver,,0
1762495830659,RX,REL,59,1559239298,,,recv,,77
1762495830659,RX,REL,59,,,,deliver,,0
1762495830692,RX,REL,60,1559239331,,,recv,,77
1762495830692,RX,REL,60,,,,deliver,,0
1762495830726,RX,UNREL,,1559239364,,,recv,,77
1762495830759,RX,REL,61,1559239398,,,recv,,76
1762495830759,RX,REL,61,,,,deliver,,0
1762495830792,RX,REL,62,1559239431,,,recv,,77
1762495830792,RX,REL,62,,,,deliver,,0
1762495830826,RX,REL,63,1559239464,,,recv,,76
1762495830826,RX,REL,63,,,,deliver,,0
1762495830859,RX,REL,64,1559239497,,,recv,,77
1762495830859,RX,REL,64,,,,deliver,,0
1762495830892,RX,UNREL,,1559239531,,,recv,,79
1762495830925,RX,REL,65,1559239564,,,recv,,77
