ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495840574,TX,REL,0,1762495840574,,0,send,200,77
1762495840608,TX,UNREL,,1762495840608,,0,send,,79
1762495840641,TX,UNREL,,1762495840641,,0,send,,76
1762495840675,TX,REL,1,1762495840675,,0,send,200,75
1762495840708,TX,REL,2,1762495840708,,0,send,200,76
1762495840711,RX,ACK,2,1559249348,3.0,,ack,,4
1762495840717,TX,REL,0,1762495840717,,1,retransmit,,77
1762495840720,RX,ACK,0,1559249357,3.0,,ack,,4
1762495840741,TX,REL,3,1762495840741,,0,send,120,78
1762495840744,RX,ACK,3,1559249381,3.0,,ack,,4
1762495840775,TX,REL,4,1762495840775,,0,send,120,76
1762495840778,RX,ACK,4,1559249415,3.0,,ack,,4
1762495840800,TX,REL,1,1762495840799,,1,retransmit,,75
1762495840803,RX,ACK,1,1559249439,3.0,,ack,,4
1762495840808,TX,REL,5,1762495840808,,0,send,120,75
1762495840810,RX,ACK,5,1559249448,2.0,,ack,,4
1762495840841,TX,REL,6,1762495840841,,0,send,120,76
1762495840844,RX,ACK,6,1559249481,3.0,,ack,,4
1762495840875,TX,REL,7,1762495840875,,0,send,120,76
1762495840878,RX,ACK,7,1559249515,2.0,,ack,,4
1762495840908,TX,REL,8,1762495840908,,0,send,120,78
1762495840911,RX,ACK,8,1559249548,3.0,,ack,,4
1762495840942,TX,REL,9,1762495840942,,0,send,120,77
1762495840944,RX,ACK,9,1559249581,3.0,,ack,,4
1762495840975,TX,REL,10,1762495840975,,0,send,120,79
1762495840978,RX,ACK,10,1559249615,3.0,,ack,,4
1762495841008,TX,UNREL,,1762495841008,,0,send,,78
1762495841042,TX,REL,11,1762495841042,,0,send,120,77
1762495841044,RX,ACK,11,1559249682,2.0,,ack,,4
1762495841075,TX,REL,12,1762495841075,,0,send,120,78
1762495841078,RX,ACK,12,1559249715,3.0,,ack,,4
1762495841108,TX,REL,13,1762495841108,,0,send,120,77
1762495841110,RX,ACK,13,1559249748,2.0,,ack,,4
1762495841142,TX,REL,14,1762495841142,,0,send,120,77
1762495841144,RX,ACK,14,1559249782,2.0,,ack,,4
1762495841175,TX,REL,15,1762495841175,,0,send,120,79
1762495841178,RX,ACK,15,1559249815,3.0,,ack,,4
1762495841208,TX,REL,16,1762495841208,,0,send,120,76
1762495841211,RX,ACK,16,1559249848,3.0,,ack,,4
1762495841242,TX,REL,17,1762495841242,,0,send,120,77
1762495841244,RX,ACK,17,1559249882,2.0,,ack,,4
1762495841275,TX,REL,18,1762495841275,,0,send,120,79
1762495841277,RX,ACK,18,1559249915,2.0,,ack,,4
1762495841308,TX,REL,19,1762495841308,,0,send,120,77
1762495841311,RX,ACK,19,1559249948,2.0,,ack,,4
1762495841341,TX,UNREL,,1762495841341,,0,send,,77
1762495841375,TX,REL,20,1762495841375,,0,send,120,78
1762495841377,RX,ACK,20,1559250014,3.0,,ack,,4
1762495841408,TX,REL,21,1762495841408,,0,send,120,77
1762495841411,RX,ACK,21,1559250048,3.0,,ack,,4
1762495841441,TX,REL,22,1762495841441,,0,send,120,77
1762495841444,RX,ACK,22,1559250081,3.0,,ack,,4
1762495841475,TX,REL,23,1762495841475,,0,send,120,77
1762495841477,RX,ACK,23,1559250115,2.0,,ack,,4
1762495841508,TX,UNREL,,1762495841508,,0,send,,78
1762495841541,TX,REL,24,1762495841541,,0,send,120,77
1762495841544,RX,ACK,24,1559250181,3.0,,ack,,4
1762495841575,TX,REL,25,1762495841575,,0,send,120,77
1762495841577,RX,ACK,25,1559250215,2.0,,ack,,4
1762495841608,TX,REL,26,1762495841608,,0,send,120,78
1762495841611,RX,ACK,26,1559250248,3.0,,ack,,4
1762495841641,TX,REL,27,1762495841641,,0,send,120,78
1762495841644,RX,ACK,27,1559250281,3.0,,ack,,4
1762495841675,TX,REL,28,1762495841675,,0,send,120,76
1762495841678,RX,ACK,28,1559250315,3.0,,ack,,4
1762495841708,TX,REL,29,1762495841708,,0,send,120,78
1762495841711,RX,ACK,29,1559250348,3.0,,ack,,4
1762495841741,TX,REL,30,1762495841741,,0,send,120,77
1762495841744,RX,ACK,30,1559250381,3.0,,ack,,4
1762495841775,TX,UNREL,,1762495841775,,0,send,,78
1762495841808,TX,REL,31,1762495841808,,0,send,120,77
1762495841811,RX,ACK,31,1559250448,3.0,,ack,,4
1762495841842,TX,REL,32,1762495841842,,0,send,120,78
1762495841844,RX,ACK,32,1559250481,3.0,,ack,,4
1762495841875,TX,REL,33,1762495841875,,0,send,120,77
1762495841878,RX,ACK,33,1559250515,3.0,,ack,,4
1762495841908,TX,REL,34,1762495841908,,0,send,120,78
1762495841911,RX,ACK,34,1559250548,3.0,,ack,,4
1762495841942,TX,REL,35,1762495841942,,0,send,120,76
1762495841944,RX,ACK,35,1559250581,3.0,,ack,,4
1762495841975,TX,REL,36,1762495841975,,0,send,120,78
1762495841977,RX,ACK,36,1559250615,2.0,,ack,,4
1762495842008,TX,REL,37,1762495842008,,0,send,120,79
1762495842011,RX,ACK,37,1559250648,3.0,,ack,,4
1762495842042,TX,REL,38,1762495842042,,0,send,120,77
1762495842044,RX,ACK,38,1559250681,3.0,,ack,,4
1762495842075,TX,REL,39,1762495842075,,0,send,120,77
1762495842078,RX,ACK,39,1559250715,2.0,,ack,,4
1762495842108,TX,REL,40,1762495842108,,0,send,120,77
1762495842111,RX,ACK,40,1559250748,3.0,,ack,,4
1762495842142,TX,REL,41,1762495842142,,0,send,120,80
1762495842144,RX,ACK,41,1559250781,3.0,,ack,,4
1762495842175,TX,REL,42,1762495842175,,0,send,120,77
1762495842177,RX,ACK,42,1559250815,2.0,,ack,,4
1762495842208,TX,REL,43,1762495842208,,0,send,120,77
1762495842211,RX,ACK,43,1559250848,2.0,,ack,,4
1762495842241,TX,REL,44,1762495842241,,0,send,120,76
1762495842244,RX,ACK,44,1559250881,3.0,,ack,,4
1762495842275,TX,REL,45,1762495842275,,0,send,120,77
1762495842277,RX,ACK,45,1559250915,2.0,,ack,,4
1762495842308,TX,UNREL,,1762495842308,,0,send,,78
1762495842341,TX,REL,46,1762495842341,,0,send,120,77
1762495842344,RX,ACK,46,1559250981,3.0,,ack,,4
1762495842375,TX,REL,47,1762495842375,,0,send,120,78
1762495842378,RX,ACK,47,1559251015,3.0,,ack,,4
1762495842408,TX,REL,48,1762495842408,,0,send,120,78
1762495842411,RX,ACK,48,1559251048,3.0,,ack,,4
1762495842441,TX,UNREL,,1762495842441,,0,send,,78
1762495842475,TX,REL,49,1762495842475,,0,send,120,78
1762495842478,RX,ACK,49,1559251115,2.0,,ack,,4
1762495842508,TX,REL,50,1762495842508,,0,send,120,79
1762495842511,RX,ACK,50,1559251148,2.0,,ack,,4
1762495842541,TX,REL,51,1762495842541,,0,send,120,79
1762495842544,RX,ACK,51,1559251181,3.0,,ack,,4
1762495842575,TX,REL,52,1762495842575,,0,send,120,77
1762495842577,RX,ACK,52,1559251215,2.0,,ack,,4
1762495842608,TX,REL,53,1762495842608,,0,send,120,78
1762495842611,RX,ACK,53,1559251248,3.0,,ack,,4
1762495842641,TX,REL,54,1762495842641,,0,send,120,80
1762495842644,RX,ACK,54,1559251281,3.0,,ack,,4
1762495842675,TX,REL,55,1762495842675,,0,send,120,77
1762495842677,RX,ACK,55,1559251315,2.0,,ack,,4
1762495842708,TX,UNREL,,1762495842708,,0,send,,77
1762495842742,TX,REL,56,1762495842742,,0,send,120,77
1762495842744,RX,ACK,56,1559251381,3.0,,ack,,4
1762495842775,TX,REL,57,1762495842775,,0,send,120,76
1762495842778,RX,ACK,57,1559251415,2.0,,ack,,4
1762495842808,TX,UNREL,,1762495842808,,0,send,,78
1762495842842,TX,REL,58,1762495842842,,0,send,120,79
1762495842844,RX,ACK,58,1559251481,3.0,,ack,,4
1762495842875,TX,REL,59,1762495842875,,0,send,120,78
1762495842878,RX,ACK,59,1559251515,3.0,,ack,,4
1762495842908,TX,UNREL,,1762495842908,,0,send,,77
1762495842942,TX,REL,60,1762495842942,,0,send,120,78
1762495842944,RX,ACK,60,1559251581,3.0,,ack,,4
1762495842975,TX,REL,61,1762495842975,,0,send,120,78
1762495842978,RX,ACK,61,1559251615,3.0,,ack,,4
1762495843008,TX,REL,62,1762495843008,,0,send,120,78
1762495843011,RX,ACK,62,1559251648,3.0,,ack,,4
1762495843042,TX,REL,63,1762495843042,,0,send,120,77
1762495843044,RX,ACK,63,1559251682,2.0,,ack,,4
1762495843075,TX,REL,64,1762495843075,,0,send,120,76
1762495843078,RX,ACK,64,1559251715,2.0,,ack,,4
1762495843108,TX,REL,65,1762495843108,,0,send,120,80
1762495843111,RX,ACK,65,1559251748,3.0,,ack,,4
1762495843142,TX,REL,66,1762495843142,,0,send,120,78
1762495843144,RX,ACK,66,1559251782,2.0,,ack,,4
1762495843175,TX,REL,67,1762495843175,,0,send,120,78
1762495843177,RX,ACK,67,1559251815,2.0,,ack,,4
1762495843208,TX,REL,68,1762495843208,,0,send,120,78
1762495843211,RX,ACK,68,1559251848,3.0,,ack,,4
1762495843242,TX,REL,69,1762495843242,,0,send,120,77
