ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762495828191,TX,REL,0,1762495828191,,0,send,200,77
1762495828224,TX,REL,1,1762495828224,,0,send,200,78
1762495828258,TX,REL,2,1762495828258,,0,send,200,77
1762495828291,TX,REL,3,1762495828291,,0,send,200,76
1762495828324,TX,UNREL,,1762495828324,,0,send,,77
1762495828358,TX,REL,4,1762495828358,,0,send,200,76
1762495828360,RX,ACK,4,1559236997,3.0,,ack,,4
1762495828363,TX,REL,0,1762495828363,,1,retransmit,,77
1762495828364,TX,REL,1,1762495828364,,1,retransmit,,78
1762495828366,RX,ACK,0,1559237003,3.0,,ack,,4
1762495828366,RX,ACK,1,1559237004,2.0,,ack,,4
1762495828384,TX,REL,2,1762495828384,,1,retransmit,,77
1762495828388,RX,ACK,2,1559237024,3.0,,ack,,4
1762495828391,TX,REL,5,1762495828391,,0,send,200,78
1762495828394,RX,ACK,5,1559237031,3.0,,ack,,4
1762495828415,TX,REL,3,1762495828415,,1,retransmit,,76
1762495828418,RX,ACK,3,1559237055,3.0,,ack,,4
1762495828424,TX,REL,6,1762495828424,,0,send,200,78
1762495828427,RX,ACK,6,1559237064,3.0,,ack,,4
1762495828458,TX,REL,7,1762495828458,,0,send,200,75
1762495828460,RX,ACK,7,1559237098,2.0,,ack,,4
1762495828491,TX,REL,8,1762495828491,,0,send,200,76
1762495828494,RX,ACK,8,1559237131,3.0,,ack,,4
1762495828524,TX,REL,9,1762495828524,,0,send,200,77
1762495828527,RX,ACK,9,1559237164,3.0,,ack,,4
1762495828558,TX,REL,10,1762495828558,,0,send,200,77
1762495828560,RX,ACK,10,1559237197,3.0,,ack,,4
1762495828591,TX,REL,11,1762495828591,,0,send,200,77
1762495828594,RX,ACK,11,1559237231,2.0,,ack,,4
1762495828624,TX,REL,12,1762495828624,,0,send,200,75
1762495828627,RX,ACK,12,1559237264,3.0,,ack,,4
1762495828658,TX,REL,13,1762495828658,,0,send,200,77
1762495828660,RX,ACK,13,1559237297,3.0,,ack,,4
1762495828691,TX,UNREL,,1762495828691,,0,send,,77
1762495828724,TX,REL,14,1762495828724,,0,send,200,76
1762495828727,RX,ACK,14,1559237364,3.0,,ack,,4
1762495828758,TX,REL,15,1762495828758,,0,send,200,78
1762495828760,RX,ACK,15,1559237398,2.0,,ack,,4
