ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762351729296,RX,UNREL,,1415137936,,,recv,,76
1762351729346,RX,UNREL,,1415137986,,,recv,,76
1762351729396,RX,REL,0,1415138036,,,recv,,77
1762351729397,RX,REL,0,,,,deliver,,0
1762351729446,RX,REL,1,1415138086,,,recv,,77
1762351729447,RX,REL,1,,,,deliver,,0
1762351729496,RX,UNREL,,1415138136,,,recv,,76
1762351729546,RX,REL,2,1415138186,,,recv,,78
1762351729547,RX,REL,2,,,,deliver,,0
1762351729596,RX,REL,3,1415138236,,,recv,,77
1762351729597,RX,REL,3,,,,deliver,,0
1762351729598,RX,REL,0,1415138237,,,recv,,77
1762351729598,RX,REL,0,,,,dup,,0
1762351729646,RX,REL,4,1415138286,,,recv,,79
1762351729647,RX,REL,4,,,,deliver,,0
1762351729648,RX,REL,1,1415138288,,,recv,,77
1762351729648,RX,REL,1,,,,dup,,0
1762351729696,RX,UNREL,,1415138336,,,recv,,78
1762351729746,RX,REL,5,1415138386,,,recv,,76
1762351729747,RX,REL,5,,,,deliver,,0
1762351729748,RX,REL,2,1415138388,,,recv,,78
1762351729749,RX,REL,2,,,,dup,,0
1762351729796,RX,REL,6,1415138436,,,recv,,78
1762351729797,RX,REL,6,,,,deliver,,0
1762351729799,RX,REL,0,1415138439,,,recv,,77
1762351729799,RX,REL,0,,,,dup,,0
1762351729799,RX,REL,3,1415138439,,,recv,,77
1762351729799,RX,REL,3,,,,dup,,0
1762351729846,RX,REL,7,1415138486,,,recv,,77
1762351729847,RX,REL,7,,,,deliver,,0
1762351729849,RX,REL,1,1415138489,,,recv,,77
1762351729849,RX,REL,1,,,,dup,,0
1762351729850,RX,REL,4,1415138489,,,recv,,79
1762351729850,RX,REL,4,,,,dup,,0
1762351729896,RX,UNREL,,1415138536,,,recv,,78
1762351729946,RX,UNREL,,1415138586,,,recv,,77
1762351729950,RX,REL,2,1415138590,,,recv,,78
