ts_recv_ms,dir,channel,seq,send_ts_ms,rtt_ms,retries,event,deadline_t_ms,len_bytes
1762351729296,TX,UNREL,,1762351729296,,0,send,,76
1762351729346,TX,UNREL,,1762351729346,,0,send,,76
1762351729396,TX,REL,0,1762351729396,,0,send,,77
1762351729446,TX,REL,1,1762351729446,,0,send,,77
1762351729496,TX,UNREL,,1762351729496,,0,send,,76
1762351729546,TX,REL,2,1762351729546,,0,send,,78
1762351729596,TX,REL,3,1762351729596,,0,send,,77
1762351729646,TX,REL,4,1762351729646,,0,send,,79
1762351729696,TX,UNREL,,1762351729696,,0,send,,78
1762351729746,TX,REL,5,1762351729746,,0,send,,76
1762351729796,TX,REL,6,1762351729796,,0,send,,78
1762351729846,TX,REL,7,1762351729846,,0,send,,77
1762351729896,TX,UNREL,,1762351729896,,0,send,,78
1762351729946,TX,UNREL,,1762351729946,,0,send,,77
1762351729996,TX,REL,8,1762351729996,,0,send,,76
1762351730046,TX,REL,9,1762351730046,,0,send,,78
1762351730096,TX,REL,10,1762351730096,,0,send,,76
1762351730146,TX,UNREL,,1762351730146,,0,send,,78
1762351730196,TX,UNREL,,1762351730196,,0,send,,78
1762351730246,TX,UNREL,,1762351730246,,0,send,,77
1762351730296,TX,REL,11,1762351730296,,0,send,,77
1762351730346,TX,UNREL,,1762351730346,,0,send,,78
1762351730396,TX,UNREL,,1762351730396,,0,send,,79
1762351730447,TX,REL,12,1762351730447,,0,send,,78
1762351730496,TX,UNREL,,1762351730496,,0,send,,77
1762351730546,TX,UNREL,,1762351730546,,0,send,,79
1762351730596,TX,REL,13,1762351730596,,0,send,,79
1762351730646,TX,UNREL,,1762351730646,,0,send,,77
1762351730696,TX,REL,14,1762351730696,,0,send,,77
1762351730746,TX,UNREL,,1762351730746,,0,send,,79
1762351730796,TX,REL,15,1762351730796,,0,send,,78
1762351730846,TX,REL,16,1762351730846,,0,send,,77
1762351730896,TX,REL,17,1762351730896,,0,send,,77
1762351730946,TX,UNREL,,1762351730946,,0,send,,78
1762351730996,TX,UNREL,,1762351730996,,0,send,,77
1762351731046,TX,UNREL,,1762351731046,,0,send,,78
1762351731096,TX,UNREL,,1762351731096,,0,send,,78
1762351731146,TX,REL,18,1762351731146,,0,send,,77
1762351731196,TX,REL,19,1762351731196,,0,send,,78
1762351731246,TX,REL,20,1762351731246,,0,send,,77
1762351731296,TX,UNREL,,1762351731296,,0,send,,77
1762351731346,TX,REL,21,1762351731346,,0,send,,78
1762351731396,TX,REL,22,1762351731396,,0,send,,78
1762351731446,TX,UNREL,,1762351731446,,0,send,,79
1762351731496,TX,UNREL,,1762351731496,,0,send,,78
1762351731546,TX,UNREL,,1762351731546,,0,send,,78
1762351731596,TX,UNREL,,1762351731596,,0,send,,78
1762351731646,TX,UNREL,,1762351731646,,0,send,,78
1762351731696,TX,REL,23,1762351731696,,0,send,,78
1762351731746,TX,REL,24,1762351731746,,0,send,,77
1762351731796,TX,UNREL,,1762351731796,,0,send,,79
1762351731846,TX,UNREL,,1762351731846,,0,send,,78
1762351731896,TX,UNREL,,1762351731896,,0,send,,79
1762351731946,TX,REL,25,1762351731946,,0,send,,75
1762351731997,TX,UNREL,,1762351731997,,0,send,,77
1762351732046,TX,REL,26,1762351732046,,0,send,,78
1762351732096,TX,REL,27,1762351732096,,0,send,,78
1762351732146,TX,UNREL,,1762351732146,,0,send,,78
1762351732196,TX,UNREL,,1762351732196,,0,send,,77
1762351732247,TX,REL,28,1762351732247,,0,send,,78
1762351732296,TX,REL,29,1762351732296,,0,send,,78
1762351732346,TX,UNREL,,1762351732346,,0,send,,78
1762351732396,TX,UNREL,,1762351732396,,0,send,,77
1762351732446,TX,UNREL,,1762351732446,,0,send,,76
1762351732496,TX,REL,30,1762351732496,,0,send,,78
1762351732546,TX,REL,31,1762351732546,,0,send,,77
1762351732596,TX,UNREL,,1762351732596,,0,send,,80
1762351732646,TX,UNREL,,1762351732646,,0,send,,78
1762351732696,TX,UNREL,,1762351732696,,0,send,,76
1762351732746,TX,UNREL,,1762351732746,,0,send,,77
1762351732796,TX,REL,32,1762351732796,,0,send,,77
1762351732846,TX,REL,33,1762351732846,,0,send,,77
1762351732896,TX,UNREL,,1762351732896,,0,send,,76
1762351732946,TX,UNREL,,1762351732946,,0,send,,77
1762351732996,TX,UNREL,,1762351732996,,0,send,,77
1762351733046,TX,REL,34,1762351733046,,0,send,,78
1762351733096,TX,UNREL,,1762351733096,,0,send,,79
1762351733146,TX,UNREL,,1762351733146,,0,send,,77
1762351733196,TX,UNREL,,1762351733196,,0,send,,77
1762351733246,TX,UNREL,,1762351733246,,0,send,,77
1762351733296,TX,UNREL,,1762351733296,,0,send,,77
1762351733346,TX,REL,35,1762351733346,,0,send,,76
1762351733397,TX,UNREL,,1762351733397,,0,send,,76
1762351733446,TX,REL,36,1762351733446,,0,send,,77
1762351733496,TX,UNREL,,1762351733496,,0,send,,78
1762351733546,TX,UNREL,,1762351733546,,0,send,,78
1762351733596,TX,UNREL,,1762351733596,,0,send,,76
1762351733646,TX,UNREL,,1762351733646,,0,send,,76
1762351733696,TX,UNREL,,1762351733696,,0,send,,77
1762351733746,TX,UNREL,,1762351733746,,0,send,,79
1762351733796,TX,REL,37,1762351733796,,0,send,,77
1762351733846,TX,UNREL,,1762351733846,,0,send,,77
1762351733896,TX,UNREL,,1762351733896,,0,send,,78
1762351733946,TX,REL,38,1762351733946,,0,send,,79
1762351733996,TX,UNREL,,1762351733996,,0,send,,78
1762351734046,TX,UNREL,,1762351734046,,0,send,,79
1762351734096,TX,REL,39,1762351734096,,0,send,,78
1762351734146,TX,UNREL,,1762351734146,,0,send,,77
1762351734196,TX,REL,40,1762351734196,,0,send,,77
1762351734246,TX,REL,41,1762351734246,,0,send,,77
1762351734296,TX,UNREL,,1762351734296,,0,send,,78
1762351734346,TX,UNREL,,1762351734346,,0,send,,78
1762351734396,TX,UNREL,,1762351734396,,0,send,,79
1762351734446,TX,REL,42,1762351734446,,0,send,,79
1762351734496,TX,REL,43,1762351734496,,0,send,,79
1762351734546,TX,UNREL,,1762351734546,,0,send,,78
1762351734596,TX,REL,44,1762351734596,,0,send,,78
1762351734646,TX,UNREL,,1762351734646,,0,send,,80
1762351734696,TX,UNREL,,1762351734696,,0,send,,82
1762351734746,TX,REL,45,1762351734746,,0,send,,79
1762351734796,TX,UNREL,,1762351734796,,0,send,,79
1762351734846,TX,UNREL,,1762351734846,,0,send,,78
1762351734896,TX,REL,46,1762351734896,,0,send,,79
1762351734946,TX,REL,47,1762351734946,,0,send,,78
1762351734996,TX,REL,48,1762351734996,,0,send,,79
1762351735046,TX,UNREL,,1762351735046,,0,send,,77
1762351735096,TX,UNREL,,1762351735096,,0,send,,78
1762351735146,TX,UNREL,,1762351735146,,0,send,,77
1762351735196,TX,UNREL,,1762351735196,,0,send,,78
1762351735246,TX,REL,49,1762351735246,,0,send,,78
1762351735296,TX,REL,50,1762351735296,,0,send,,77
1762351735346,TX,REL,51,1762351735346,,0,send,,79
1762351735396,TX,UNREL,,1762351735396,,0,send,,77
1762351735446,TX,UNREL,,1762351735446,,0,send,,79
1762351735496,TX,REL,52,1762351735496,,0,send,,78
1762351735546,TX,UNREL,,1762351735546,,0,send,,79
1762351735596,TX,REL,53,1762351735596,,0,send,,78
1762351735646,TX,UNREL,,1762351735646,,0,send,,78
1762351735696,TX,UNREL,,1762351735696,,0,send,,78
1762351735746,TX,UNREL,,1762351735746,,0,send,,80
