Channel,Packet Number,Time Sent,Time Received,RTT Unreliable,Time ACK Received,RTT Reliable
0,0,3821189222,Unknown,NA,3821189246,24
1,1,3821189232,3821189246,14,0,0
1,2,3821189236,3821189262,26,0,0
1,4,3821189241,3821189286,45,0,0
0,3,3821189239,Unknown,NA,3821189288,49
0,5,3821189253,Unknown,NA,3821189295,42
1,8,3821189260,3821189298,38,0,0
0,6,3821189255,Unknown,NA,3821189301,46
1,9,3821189262,3821189304,42,0,0
1,11,3821189307,3821189314,7,0,0
0,7,3821189258,Unknown,NA,3821189314,56
0,10,3821189298,Unknown,NA,3821189325,27
0,12,3821189321,Unknown,NA,3821189331,10
0,13,3821189335,Unknown,NA,3821189345,10
1,15,3821189340,3821189345,5,0,0
0,14,3821189338,Unknown,NA,3821189351,13
1,17,3821189348,3821189352,4,0,0
0,16,3821189342,Unknown,NA,3821189357,15
1,18,3821189354,3821189362,8,0,0
1,20,3821189362,3821189374,12,0,0
0,19,3821189360,Unknown,NA,3821189376,16
1,22,3821189367,3821189382,15,0,0
0,21,3821189364,Unknown,NA,3821189382,18
1,23,3821189368,3821189386,18,0,0
0,24,3821189373,Unknown,NA,3821189394,21
0,25,3821189397,Unknown,NA,3821189406,9
1,27,3821189401,3821189406,5,0,0
0,26,3821189399,Unknown,NA,3821189411,12
1,29,3821189409,3821189413,4,0,0
0,28,3821189403,Unknown,NA,3821189417,14
0,30,3821189415,Unknown,NA,3821189423,8
0,31,3821189420,Unknown,NA,3821189428,8
0,32,3821189431,Unknown,NA,3821189440,9
1,34,3821189435,3821189440,5,0,0
1,35,3821189437,3821189444,7,0,0
0,33,3821189433,Unknown,NA,3821189445,12
1,36,3821189442,3821189448,6,0,0
1,38,3821189450,3821189455,5,0,0
0,37,3821189448,Unknown,NA,3821189457,9
0,39,3821189453,Unknown,NA,3821189463,10
1,41,3821189460,3821189463,3,0,0
0,40,3821189454,Unknown,NA,3821189468,14
1,42,3821189465,3821189470,5,0,0
0,43,3821189471,Unknown,NA,3821189480,9
1,45,3821189475,3821189481,6,0,0
0,44,3821189473,Unknown,NA,3821189485,12
1,46,3821189477,3821189487,10,0,0
0,47,3821189483,Unknown,NA,3821189495,12
1,49,3821189490,3821189496,6,0,0
0,48,3821189488,Unknown,NA,3821189498,10
0,50,3821189492,Unknown,NA,3821189504,12
